gene	in_original117	n_direct_relations	metabolite_keys	metabolite_names	relation_keys	scope
PMM2	True	1	KEGG:C00275	mannose 6-phosphate	KEGG:C00275|PMM2	Direct biochemical candidate; no new patient/function test
PNP	True	3	KEGG:C00242;KEGG:C00262;KEGG:C00294	guanine ; hypoxanthine ; inosine	KEGG:C00242|PNP;KEGG:C00262|PNP;KEGG:C00294|PNP	Direct biochemical candidate; no new patient/function test
PPA1	True	2	KEGG:C00009;KEGG:C00013	phosphate ; pyrophosphate (PPi)	KEGG:C00009|PPA1;KEGG:C00013|PPA1	Direct biochemical candidate; no new patient/function test
PPA2	True	2	KEGG:C00009;KEGG:C00013	phosphate ; pyrophosphate (PPi)	KEGG:C00009|PPA2;KEGG:C00013|PPA2	Direct biochemical candidate; no new patient/function test
PRODH	True	1	KEGG:C00148	proline	KEGG:C00148|PRODH	Direct biochemical candidate; no new patient/function test
PRODH2	True	1	KEGG:C01157	trans-4-hydroxyproline	KEGG:C01157|PRODH2	Direct biochemical candidate; no new patient/function test
PTGS1	False	1	KEGG:C00219	arachidonate (20:4n6)	KEGG:C00219|PTGS1	Direct biochemical candidate; no new patient/function test
PTGS2	False	1	KEGG:C00219	arachidonate (20:4n6)	KEGG:C00219|PTGS2	Direct biochemical candidate; no new patient/function test
PUDP	False	1	KEGG:C02067	pseudouridine	KEGG:C02067|PUDP	Direct biochemical candidate; no new patient/function test
PYCR1	True	1	KEGG:C00148	proline	KEGG:C00148|PYCR1	Direct biochemical candidate; no new patient/function test
PYCR2	True	1	KEGG:C00148	proline	KEGG:C00148|PYCR2	Direct biochemical candidate; no new patient/function test
PYCR3	True	1	KEGG:C00148	proline	KEGG:C00148|PYCR3	Direct biochemical candidate; no new patient/function test
RBKS	True	1	KEGG:C00121	ribose	KEGG:C00121|RBKS	Direct biochemical candidate; no new patient/function test
RFK	True	1	KEGG:C00255	riboflavin (Vitamin B2)	KEGG:C00255|RFK	Direct biochemical candidate; no new patient/function test
SDHA	False	1	KEGG:C00042	succinate	KEGG:C00042|SDHA	Direct biochemical candidate; no new patient/function test
SDHB	False	1	KEGG:C00042	succinate	KEGG:C00042|SDHB	Direct biochemical candidate; no new patient/function test
SDHC	False	1	KEGG:C00042	succinate	KEGG:C00042|SDHC	Direct biochemical candidate; no new patient/function test
SDHD	False	1	KEGG:C00042	succinate	KEGG:C00042|SDHD	Direct biochemical candidate; no new patient/function test
SHMT1	True	2	KEGG:C00037;KEGG:C00065	glycine ; serine	KEGG:C00037|SHMT1;KEGG:C00065|SHMT1	Direct biochemical candidate; no new patient/function test
SHMT2	True	2	KEGG:C00037;KEGG:C00065	glycine ; serine	KEGG:C00037|SHMT2;KEGG:C00065|SHMT2	Direct biochemical candidate; no new patient/function test
SLC13A3	False	1	KEGG:C00042	succinate	KEGG:C00042|SLC13A3	Direct biochemical candidate; no new patient/function test
SLC22A2	False	3	KEGG:C00114;KEGG:C00791;KEGG:C02918	choline ; creatinine ; 1-methylnicotinamide	KEGG:C00114|SLC22A2;KEGG:C00791|SLC22A2;KEGG:C02918|SLC22A2	Direct biochemical candidate; no new patient/function test
SLC22A4	False	1	KEGG:C10172	stachydrine	KEGG:C10172|SLC22A4	Direct biochemical candidate; no new patient/function test
SLC25A10	False	1	KEGG:C00042	succinate	KEGG:C00042|SLC25A10	Direct biochemical candidate; no new patient/function test
SLC25A20	False	2	KEGG:C02990;KEGG:C03017	palmitoylcarnitine ; propionylcarnitine	KEGG:C02990|SLC25A20;KEGG:C03017|SLC25A20	Direct biochemical candidate; no new patient/function test
