cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	partition	celltype	n_source_labels_total	n_source_labels_eligible	n_cells_total	n_cells_eligible	mean_detection_fraction	median_donor_mean	q25	q75	annotation_origin	normalization
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKM	author_patient	32	NA	donor_equal_mean_log1pCP10k	0.01963402818166181	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P08237	CARE2025_primary	Oligodendrocyte	55	32	13481	13385	0.01947967988709729	0.019837468902342767	0.010261718990807368	0.028863552500281903	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKM	author_patient	32	NA	donor_equal_mean_log1pCP10k	0.03688035912781739	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P08237	CARE2025_primary	Unresolved	55	32	5079	4940	0.031054189581028718	0.024008126585407033	0.011105773902042676	0.044542093911199725	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKM	author_patient	30	NA	donor_equal_mean_log1pCP10k	0.04882954419272204	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P08237	CARE2025_primary	Vascular	55	30	3053	2872	0.05912705869649993	0.051850060155217516	0.0030587240932164594	0.08229339895101666	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKP	author_patient	21	NA	donor_equal_mean_log1pCP10k	0.5011026350167694	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:Q01813	CARE2025_primary	Astrocyte	55	21	2205	2057	0.4393154787518851	0.5143618899277858	0.3333534447077137	0.6437513745641057	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKP	author_patient	24	NA	donor_equal_mean_log1pCP10k	0.17905324251810883	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:Q01813	CARE2025_primary	Lymphoid	55	24	2765	2575	0.11172650976794478	0.1685783274278182	0.11333360932888897	0.24084644882361458	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKP	author_patient	51	NA	donor_equal_mean_log1pCP10k	0.08984364575669379	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:Q01813	CARE2025_primary	Myeloid	55	51	33051	33034	0.07124049709565598	0.05617784897864024	0.029151097804256974	0.1144345651169889	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKP	author_patient	55	NA	donor_equal_mean_log1pCP10k	0.20571725525572498	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:Q01813	CARE2025_primary	Neoplastic	55	55	133107	133107	0.20595443125523702	0.1827285256874163	0.12684157165929258	0.25222208479931313	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKP	author_patient	23	NA	donor_equal_mean_log1pCP10k	0.2786579138902081	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:Q01813	CARE2025_primary	Neuron	55	23	7482	7352	0.37274753009539024	0.26710238385735685	0.20549622349514732	0.3742628552884906	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKP	author_patient	20	NA	donor_equal_mean_log1pCP10k	0.13344985214060162	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:Q01813	CARE2025_primary	OPC	55	20	5657	5503	0.13080396506373226	0.12402612045654256	0.07379492791901976	0.16491848045973723	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	PFKP	author_patient	32	NA	donor_equal_mean_log1pCP10k	0.01636185801767029	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:Q01813	CARE2025_primary	Oligodendrocyte	55	32	13481	13385	0.014451231989276066	0.011229822591829468	0.004125734243238522	0.021768807797985994	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
