study	gene	stable_gene_id	status	reason	top_celltype	runner_celltype	top_gap	bootstrap_top_frequency	bootstrap_valid	rank_tie
CARE2025_primary	PLA2G4A	HGNC:9035	DONE	expression_source_only;not_function	Myeloid	Vascular	0.40834147039934526	1.0	1000	False
CARE2025_primary	PLA2G6	HGNC:9039	DONE	expression_source_only;not_function	Astrocyte	Lymphoid	0.0026309868552649163	0.35	1000	False
CARE2025_primary	FOLH1	UniProt:Q04609	DONE	expression_source_only;not_function	Oligodendrocyte	Vascular	0.9448927875876344	1.0	1000	False
CARE2025_primary	GLS	hsa:2744	DONE	expression_source_only;not_function	Neuron	Lymphoid	0.037809945448271653	0.65	1000	False
CARE2025_primary	GLS2	hsa:27165	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.05040845634507213	0.987	1000	False
CARE2025_primary	GLUL	hsa:2752	DONE	expression_source_only;not_function	Myeloid	Astrocyte	0.0003207040648294246	0.51	1000	False
CARE2025_primary	OAT	UniProt:P04181	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.019694783807305993	0.684	1000	False
CARE2025_primary	SLC7A11	hsa:23657	DONE	expression_source_only;not_function	Vascular	Astrocyte	0.20819359178416508	0.954	1000	False
CARE2025_primary	TAT	hsa:6898	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_primary	LYPLA2	hsa:11313	DONE	expression_source_only;not_function	Vascular	Neoplastic	0.0023275464035417137	0.633	1000	False
CARE2025_primary	DPEP1	HGNC:3002	DONE	expression_source_only;not_function	Vascular	Neuron	0.12798743854931396	1.0	1000	False
CARE2025_primary	GCAT	HGNC:4188	DONE	expression_source_only;not_function	OPC	Neoplastic	0.00028429818255937267	0.418	1000	False
CARE2025_primary	GSS	hsa:2937	DONE	expression_source_only;not_function	Neoplastic	Neuron	0.005631794062337589	0.63	1000	False
CARE2025_primary	PEPD	UniProt:P12955	DONE	expression_source_only;not_function	Neoplastic	Myeloid	0.03828768054109968	0.704	1000	False
CARE2025_primary	SLC22A7	hsa:10864	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.0017549742155509905	0.834	1000	False
CARE2025_primary	SLC47A1	hsa:55244	DONE	expression_source_only;not_function	Neuron	Myeloid	0.021893491941393894	0.797	1000	False
CARE2025_primary	SLC47A2	hsa:146802	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.01334547876405559	0.708	1000	False
CARE2025_primary	KHK	UniProt:P50053	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.011586135390865695	0.92	1000	False
CARE2025_primary	SORD	UniProt:Q00796	DONE	expression_source_only;not_function	Oligodendrocyte	Neuron	0.024124705491807896	0.879	1000	False
CARE2025_recurrent	GPI	UniProt:P06744	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.020037659004905006	0.704	1000	False
CARE2025_recurrent	MPI	UniProt:P34949	DONE	expression_source_only;not_function	Myeloid	Neoplastic	0.01382195180869486	0.972	1000	False
CARE2025_recurrent	PFKL	UniProt:P17858	DONE	expression_source_only;not_function	Vascular	Astrocyte	0.031244929405030097	0.908	1000	False
CARE2025_recurrent	PFKM	UniProt:P08237	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.011981006978885045	0.873	1000	False
CARE2025_recurrent	PFKP	UniProt:Q01813	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.25092956229819235	1.0	1000	False
CARE2025_recurrent	ACSL3	UniProt:O95573	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.010567486777526058	0.426	1000	False
CARE2025_recurrent	ACSL4	UniProt:O60488	DONE	expression_source_only;not_function	Myeloid	Vascular	0.26670105301567015	1.0	1000	False
CARE2025_recurrent	ALOX15	UniProt:P16050	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_recurrent	CYP4F2	UniProt:P78329	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_recurrent	BCAT1	hsa:586	DONE	expression_source_only;not_function	Myeloid	OPC	0.2854736558443284	0.999	1000	False
CARE2025_recurrent	BCAT2	hsa:587	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.09169054966619275	1.0	1000	False
CARE2025_recurrent	IARS1	hsa:3376	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False
CARE2025_recurrent	IARS2	hsa:55699	DONE	expression_source_only;not_function	Neoplastic	Oligodendrocyte	0.004612007674584778	0.7	1000	False
CARE2025_recurrent	SLC43A1	hsa:8501	DONE	expression_source_only;not_function	Neuron	Lymphoid	0.005324659062175059	0.693	1000	False
CARE2025_recurrent	SLC43A2	hsa:124935	DONE	expression_source_only;not_function	Myeloid	Astrocyte	0.2757372435042277	1.0	1000	False
CARE2025_recurrent	SLC6A14	hsa:11254	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_recurrent	SLC6A15	hsa:55117	DONE	expression_source_only;not_function	Neuron	Oligodendrocyte	0.02358997804746482	0.744	1000	False
CARE2025_recurrent	SLC6A19	hsa:340024	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_recurrent	SLC7A5	hsa:8140	DONE	expression_source_only;not_function	Vascular	Myeloid	0.22847024318113796	0.993	1000	False
CARE2025_recurrent	SLC7A8	hsa:23428	DONE	expression_source_only;not_function	Myeloid	Neuron	0.043015163403654966	0.885	1000	False
CARE2025_recurrent	ADO	hsa:84890	DONE	expression_source_only;not_function	Oligodendrocyte	Myeloid	0.02133115244069904	1.0	1000	False
CARE2025_recurrent	CSAD	hsa:51380	DONE	expression_source_only;not_function	Neoplastic	Neuron	0.03527051070542009	0.891	1000	False
CARE2025_recurrent	FMO1	hsa:2326	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_recurrent	FMO3	hsa:2328	DONE	expression_source_only;not_function	OPC	Vascular	0.004732714037170863	0.644	1000	False
CARE2025_recurrent	GADL1	hsa:339896	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.008425238036865722	0.925	1000	False
CARE2025_recurrent	SLC6A1	hsa:6529	DONE	expression_source_only;not_function	OPC	Oligodendrocyte	0.0030543150423191223	0.543	1000	False
CARE2025_recurrent	SLC6A11	hsa:6538	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.10863047488530972	0.991	1000	False
CARE2025_recurrent	SLC6A13	hsa:6540	DONE	expression_source_only;not_function	Vascular	Astrocyte	0.06803256980615627	0.993	1000	False
CARE2025_recurrent	SLC6A6	hsa:6533	DONE	expression_source_only;not_function	Oligodendrocyte	Lymphoid	0.048120308205465145	0.844	1000	False
CARE2025_recurrent	ACLY	hsa:47	DONE	expression_source_only;not_function	Neoplastic	Vascular	0.04867610220132956	0.992	1000	False
CARE2025_recurrent	ACO1	hsa:48	DONE	expression_source_only;not_function	Astrocyte	Vascular	0.08453440456442637	0.998	1000	False
CARE2025_recurrent	ACO2	hsa:50	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.13717518202067902	1.0	1000	False
CARE2025_recurrent	ANKH	hsa:56172	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.07652185772408948	0.909	1000	False
CARE2025_recurrent	CS	hsa:1431	DONE	expression_source_only;not_function	Neoplastic	Myeloid	0.016107483542883994	0.883	1000	False
CARE2025_recurrent	RIMKLB	hsa:57494	DONE	expression_source_only;not_function	Vascular	Neoplastic	0.04896930760039464	0.765	1000	False
CARE2025_recurrent	SFXN5	hsa:94097	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.6794536757934839	1.0	1000	False
CARE2025_recurrent	SLC13A2	hsa:9058	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_recurrent	SLC13A5	hsa:284111	DONE	expression_source_only;not_function	Astrocyte	OPC	0.03290669511144889	0.985	1000	False
CARE2025_recurrent	SLC25A1	hsa:6576	DONE	expression_source_only;not_function	OPC	Neoplastic	0.007704331628814426	0.732	1000	False
CARE2025_recurrent	SLC25A14	hsa:9016	DONE	expression_source_only;not_function	Neoplastic	Neuron	0.0010148415984492648	0.576	1000	False
CARE2025_recurrent	SLC25A21	hsa:89874	DONE	expression_source_only;not_function	Neuron	Astrocyte	0.07125699547729411	0.998	1000	False
CARE2025_recurrent	CYP27A1	HGNC:2605	DONE	expression_source_only;not_function	Oligodendrocyte	Astrocyte	0.3353358382745911	1.0	1000	False
CARE2025_recurrent	SOAT1	UniProt:P35610	DONE	expression_source_only;not_function	Myeloid	Lymphoid	0.5787100707438697	1.0	1000	False
CARE2025_recurrent	SOAT2	UniProt:O75908	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_recurrent	AOC1	hsa:26	DONE	expression_source_only;not_function	Neoplastic	Neuron	0.0032129443575762	0.699	1000	False
CARE2025_recurrent	ATP13A3	UniProt:Q9H7F0	DONE	expression_source_only;not_function	Myeloid	Astrocyte	0.10365758886251752	0.914	1000	False
CARE2025_recurrent	HDAC10	UniProt:Q969S8	DONE	expression_source_only;not_function	Vascular	Lymphoid	0.014660281873573884	0.865	1000	False
CARE2025_recurrent	ODC1	UniProt:P11926	DONE	expression_source_only;not_function	Neoplastic	OPC	0.032623957942627374	0.968	1000	False
CARE2025_recurrent	PAOX	hsa:196743	DONE	expression_source_only;not_function	Oligodendrocyte	Myeloid	8.173820000625942e-05	0.506	1000	False
CARE2025_recurrent	SLC22A1	hsa:6580	DONE	expression_source_only;not_function	Myeloid	Astrocyte	0.002707487915947923	0.635	1000	False
CARE2025_recurrent	SLC22A2	hsa:6582	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.00904459133857919	0.874	1000	False
CARE2025_recurrent	SLC45A4	hsa:57210	DONE	expression_source_only;not_function	Myeloid	Neuron	0.002158878514798679	0.447	1000	False
CARE2025_recurrent	SRM	hsa:6723	DONE	expression_source_only;not_function	Neoplastic	Vascular	0.031779889243502515	0.997	1000	False
CARE2025_recurrent	SHMT1	hsa:6470	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.06134838142003182	0.997	1000	False
CARE2025_recurrent	SHMT2	UniProt:P34897	DONE	expression_source_only;not_function	Neoplastic	Lymphoid	0.012055429807252143	0.909	1000	False
