gene	status
FRRS1	LOW_EXPRESSION
AC118553.1	LOW_EXPRESSION
SASS6	TESTED
LRRC39	LOW_EXPRESSION
DBT	TESTED
RTCA-AS1	LOW_EXPRESSION
EXTL2	TESTED
DPH5	TESTED
AL109741.1	LOW_EXPRESSION
COL11A1	LOW_EXPRESSION
VAV3	TESTED
SLC25A24	TESTED
HENMT1	TESTED
AKNAD1	LOW_EXPRESSION
CLCC1	TESTED
WDR47	TESTED
TAF13	TESTED
AL356488.3	TESTED
C1orf194	LOW_EXPRESSION
PSRC1	TESTED
MYBPHL	LOW_EXPRESSION
SORT1	TESTED
PSMA5	TESTED
AMIGO1	LOW_EXPRESSION
AL355310.3	LOW_EXPRESSION
GNAT2	LOW_EXPRESSION
GSTM3	TESTED
EPS8L3	TESTED
AL450468.1	LOW_EXPRESSION
ALX3	LOW_EXPRESSION
LINC02586	LOW_EXPRESSION
RBM15-AS1	LOW_EXPRESSION
SLC16A4	TESTED
LAMTOR5	TESTED
AL365361.1	LOW_EXPRESSION
KCNA3	LOW_EXPRESSION
LRIF1	TESTED
DRAM2	TESTED
AL355816.1	LOW_EXPRESSION
AL355816.2	LOW_EXPRESSION
DENND2D	TESTED
OVGP1	TESTED
WDR77	TESTED
TMIGD3	LOW_EXPRESSION
LINC01160	LOW_EXPRESSION
INKA2	LOW_EXPRESSION
KCND3	TESTED
AL354760.1	LOW_EXPRESSION
ST7L	TESTED
AL603832.1	LOW_EXPRESSION
RHOC	TESTED
PPM1J	LOW_EXPRESSION
LINC01356	LOW_EXPRESSION
SLC16A1	TESTED
AL357055.3	LOW_EXPRESSION
PHTF1	TESTED
RSBN1	TESTED
PTPN22	TESTED
BCL2L15	TESTED
AP4B1	TESTED
HIPK1-AS1	LOW_EXPRESSION
SYT6	LOW_EXPRESSION
TRIM33	TESTED
BCAS2	TESTED
DENND2C	LOW_EXPRESSION
AMPD1	LOW_EXPRESSION
NRAS	TESTED
CSDE1	TESTED
SIKE1	TESTED
TSPAN2	TESTED
NGF	LOW_EXPRESSION
CASQ2	LOW_EXPRESSION
LINC01762	LOW_EXPRESSION
AL390066.1	LOW_EXPRESSION
CD58	TESTED
IGSF3	TESTED
AL157904.1	LOW_EXPRESSION
AL445231.1	LOW_EXPRESSION
TRIM45	TESTED
VTCN1	LOW_EXPRESSION
AL358072.1	LOW_EXPRESSION
AL157902.1	LOW_EXPRESSION
GDAP2	TESTED
SPAG17	LOW_EXPRESSION
TBX15	LOW_EXPRESSION
WARS2	TESTED
ZNF697	TESTED
HMGCS2	TESTED
REG4	TESTED
ADAM30	LOW_EXPRESSION
NOTCH2	TESTED
SEC22B	TESTED
FAM72B	LOW_EXPRESSION
AL592494.3	LOW_EXPRESSION
AC239798.2	LOW_EXPRESSION
FAM72C	LOW_EXPRESSION
AC245595.1	TESTED
AC246785.3	LOW_EXPRESSION
NBPF15	LOW_EXPRESSION
SRGAP2B	LOW_EXPRESSION
NBPF20	LOW_EXPRESSION
PDZK1	LOW_EXPRESSION
RNF115	TESTED
PIAS3	TESTED
ANKRD35	LOW_EXPRESSION
ITGA10	LOW_EXPRESSION
PEX11B	TESTED
RBM8A	TESTED
LIX1L	LOW_EXPRESSION
ANKRD34A	LOW_EXPRESSION
TXNIP	TESTED
NBPF10	LOW_EXPRESSION
PRKAB2	TESTED
FMO5	LOW_EXPRESSION
LINC00624	LOW_EXPRESSION
ACP6	TESTED
GJA5	LOW_EXPRESSION
NBPF11	TESTED
AC245100.7	LOW_EXPRESSION
NBPF14	TESTED
NBPF9	LOW_EXPRESSION
HIST2H2BF	TESTED
HIST2H3D	LOW_EXPRESSION
HIST2H2AA3	LOW_EXPRESSION
HIST2H2BE	TESTED
HIST2H2AB	LOW_EXPRESSION
SV2A	LOW_EXPRESSION
SF3B4	TESTED
MTMR11	TESTED
OTUD7B	TESTED
ANP32E	TESTED
APH1A	TESTED
AL356356.1	LOW_EXPRESSION
MCL1	TESTED
ENSA	LOW_EXPRESSION
GOLPH3L	TESTED
