pathway_id	pathway	direction	background_genes	selected_genes	pathway_tested_genes	overlap	fold_enrichment	p_value	overlap_genes	status	reason	selected
R-HSA-4839726	Chromatin organization	higher_in_LYPLA1_high	11058	39	270	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-499943	Interconversion of nucleotide di- and triphosphates	higher_in_LYPLA1_high	11058	39	23	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-499943	Interconversion of nucleotide di- and triphosphates	lower_in_LYPLA1_high	11058	92	23	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	higher_in_LYPLA1_high	11058	39	32	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	lower_in_LYPLA1_high	11058	92	32	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5173105	O-linked glycosylation	higher_in_LYPLA1_high	11058	39	58	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5205647	Mitophagy	higher_in_LYPLA1_high	11058	39	36	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5205647	Mitophagy	lower_in_LYPLA1_high	11058	92	36	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5205685	PINK1-PRKN Mediated Mitophagy	higher_in_LYPLA1_high	11058	39	29	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5205685	PINK1-PRKN Mediated Mitophagy	lower_in_LYPLA1_high	11058	92	29	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5213460	RIPK1-mediated regulated necrosis	higher_in_LYPLA1_high	11058	39	29	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5213460	RIPK1-mediated regulated necrosis	lower_in_LYPLA1_high	11058	92	29	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5218859	Regulated Necrosis	higher_in_LYPLA1_high	11058	39	50	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
R-HSA-5218859	Regulated Necrosis	lower_in_LYPLA1_high	11058	92	50	0	0.0	1.0		DONE	NOMINAL_P_EXPLORATORY	False
