config	gene	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction
merge035	SLC2A10	turquoise	918	0.515111664780521	309	0.336601307189543	0.440378876991933	0.160480349344978
merge035	SP3	brown	757	0.37140440998284	618	0.816380449141347	0.322954722496716	0.504623513870542
merge035	NHLRC3	turquoise	918	0.392546846323657	656	0.714596949891068	0.405320196180102	0.218340611353712
merge035	FBXO21	turquoise	918	0.484620519118045	378	0.411764705882353	0.274751902363894	0.46943231441048
merge035	ATF7IP	grey	NA	NA	NA	NA	NA	NA
merge035	GPAT4	turquoise	918	0.394345239202723	653	0.711328976034858	0.320196045002077	0.379912663755459
merge035	STK19	grey	NA	NA	NA	NA	NA	NA
merge035	NAA60	brown	757	0.40929083521617	540	0.71334214002642	0.351326434567206	0.409511228533686
merge035	NFKBIB	grey	NA	NA	NA	NA	NA	NA
merge035	FAIM	grey	NA	NA	NA	NA	NA	NA
merge035	DNAH14	grey	NA	NA	NA	NA	NA	NA
merge035	NIBAN1	turquoise	918	0.292647075743507	876	0.954248366013072	0.0909998905265634	0.851528384279476
merge035	C8orf76	blue	849	0.329322153487676	745	0.877502944640754	0.503504753808273	0.148409893992933
merge035	TLE3	turquoise	918	0.57108724890699	231	0.251633986928105	0.459454976357774	0.14410480349345
merge035	PAM16	pink	147	0.579832415103932	39	0.26530612244898	-0.307944442764654	0.979452054794521
merge035	EGR3	turquoise	918	0.565186899493797	238	0.259259259259259	0.297804498316913	0.424672489082969
merge035	STX3	grey	NA	NA	NA	NA	NA	NA
merge035	FAM111A	grey	NA	NA	NA	NA	NA	NA
merge035	SPATS2L	grey	NA	NA	NA	NA	NA	NA
merge035	RAB17	turquoise	918	0.460722300962746	444	0.483660130718954	0.489564402778064	0.115720524017467
merge035	CDCA4	yellow	616	0.428114986082563	365	0.592532467532468	0.466315514545838	0.169381107491857
merge035	TXNDC15	turquoise	918	0.483077371717445	382	0.416122004357298	-0.00186468088963392	0.942139737991266
merge035	RNF144B	magenta	56	0.555996541630747	23	0.410714285714286	0.227307502760481	0.660714285714286
merge035	DDX41	green	227	0.379915522271193	205	0.903083700440529	0.298201521296316	0.594713656387665
merge035	ZNF385A	turquoise	918	0.636586284589323	129	0.140522875816993	0.266300357116981	0.496724890829694
merge035	ATP5F1EP2	red	213	0.521716264244021	109	0.511737089201878	NA	NA
merge035	EPS8	grey	NA	NA	NA	NA	NA	NA
merge035	RING1	brown	757	0.363351672974344	630	0.83223249669749	0.0684912287923777	0.931307793923382
merge035	SLC12A2-DT	grey	NA	NA	NA	NA	NA	NA
merge035	BNIPL	turquoise	918	0.642905450599271	119	0.12962962962963	0.219098763286749	0.608078602620087
merge035	EMC9	grey	NA	NA	NA	NA	NA	NA
merge035	PPP6R3	brown	757	0.416619181617181	518	0.684280052840158	0.405843802929304	0.243064729194188
merge035	AFF3	turquoise	918	0.629184026073569	141	0.15359477124183	0.632901083077744	0.0305676855895196
merge035	ERBIN	turquoise	918	0.430056484324737	544	0.592592592592593	0.290547868051867	0.442139737991266
merge035	RAB3D	magenta	56	0.551037750230092	25	0.446428571428571	0.489345731761025	0.214285714285714
merge035	SIAH1	grey	NA	NA	NA	NA	NA	NA
merge035	MED1	grey	NA	NA	NA	NA	NA	NA
merge035	DHRS4-AS1	turquoise	918	0.46687256268167	426	0.464052287581699	0.313715544780751	0.391921397379913
merge035	B4GALT7	grey	NA	NA	NA	NA	NA	NA
merge035	RDH10	yellow	616	0.185782457923315	591	0.959415584415584	0.217243960115978	0.719869706840391
merge035	BPHL	grey	NA	NA	NA	NA	NA	NA
merge035	EPB41L5	brown	757	0.413405723921645	529	0.698811096433289	0.315804810382899	0.516512549537649
merge035	BCL2L13	grey	NA	NA	NA	NA	NA	NA
merge035	DYNLT2B	red	213	0.518690232163846	111	0.52112676056338	0.364110179292814	0.25
merge035	SUCLA2	green	227	0.563169938428529	65	0.286343612334802	0.417321356087591	0.220264317180617
