gene	config	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction	status	reason	baseline_module_jaccard	top10_percent	top20_percent
ETNK1	min60	brown	452.0	0.39368435178129	393.0	0.869469026548673	0.228551164268502	0.81858407079646	DONE		0.632034632034632	False	False
GPCPD1	min60	brown	452.0	0.42717093701084	356.0	0.787610619469027	0.304111706913504	0.626106194690266	DONE		0.18872870249017	False	False
LPCAT3	min60	grey							NOT_EVALUABLE	unassigned grey		False	False
LYPLA1	min60	black	220.0	0.497291310186908	125.0	0.568181818181818	0.496038117117545	0.045662100456621	DONE		0.968181818181818	False	False
LYPLA2	min60	blue	604.0	0.501873366827213	263.0	0.435430463576159	0.31676532679186	0.627483443708609	DONE		0.998344370860927	False	False
PCYT2	min60	blue	604.0	0.376743373497499	504.0	0.834437086092715	0.378358223479149	0.45364238410596	DONE		0.998344370860927	False	False
GDPD5	min60								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CEPT1	min60								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT1	min60								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
CHKB	min60								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1A	min60								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ENPP2	min60								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
ETNK2	min60								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT4	min60								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
LPCAT2	min60								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
PCYT1B	min60								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
SLC22A2	min60								NOT_EVALUABLE	not in frozen 6000 gene input		False	False
