config	gene	module	module_size	kME	rank	rank_fraction	Pal_kME	Pal_rank_fraction
split1	TIMM17A	black	272	0.649434139001361	53	0.194852941176471	0.393369106960519	0.386029411764706
split1	EMC4	blue	627	0.676706996971332	54	0.0861244019138756	0.346985253376432	0.543859649122807
split1	DCTPP1	blue	627	0.51996976290473	230	0.366826156299841	0.223622895928455	0.824561403508772
split1	POLD2	blue	627	0.485640843424143	284	0.452950558213716	0.215286235136852	0.834130781499203
split1	KRT23	brown	491	0.511122565144781	178	0.362525458248472	-0.0131907564272021	0.973523421588595
split1	LRRC59	purple	154	0.482145006949751	107	0.694805194805195	0.335023821076385	0.720779220779221
split1	PCNP	black	272	0.49175626357169	143	0.525735294117647	0.178174284432054	0.761029411764706
split1	RRBP1	grey	NA	NA	NA	NA	NA	NA
split1	APEX1	blue	627	0.578379607182721	140	0.223285486443381	0.546154691635763	0.0845295055821372
split1	HNRNPR	blue	627	0.511345027877295	242	0.385964912280702	0.358786313806978	0.513556618819777
split1	PNKD	black	272	0.532495892378495	115	0.422794117647059	0.439857413126681	0.272058823529412
split1	EBPL	magenta	171	0.48919637623	106	0.619883040935672	0.239004090082966	0.619883040935672
split1	UCHL1	green	293	0.47406149461819	208	0.709897610921502	0.341985346522457	0.597938144329897
split1	CYB5R3	grey	NA	NA	NA	NA	NA	NA
split1	TPR	grey	NA	NA	NA	NA	NA	NA
split1	MRPS33	black	272	0.640773945552691	64	0.235294117647059	0.495960385785481	0.169117647058824
split1	ENAH	grey	NA	NA	NA	NA	NA	NA
split1	SELENOF	black	272	0.447140747286156	178	0.654411764705882	0.245680281602873	0.650735294117647
split1	HNRNPM	blue	627	0.62819509807425	97	0.154704944178628	0.317568906585255	0.625199362041467
split1	FAM177A1	turquoise	771	0.533442149980619	267	0.346303501945525	0.0803716649802359	0.897402597402597
split1	CNOT7	grey	NA	NA	NA	NA	NA	NA
split1	REX1BD	brown	491	0.451226729953424	280	0.570264765784114	0.062330360841784	0.930753564154786
split1	SDC1	grey	NA	NA	NA	NA	NA	NA
split1	AR	brown	491	0.822649719585952	1	0.00203665987780041	0.447773442127901	0.173116089613035
split1	LSM8	grey	NA	NA	NA	NA	NA	NA
split1	PPP1CB	red	286	0.611696410779321	76	0.265734265734266	0.271632957844676	0.533333333333333
split1	CLTB	grey	NA	NA	NA	NA	NA	NA
split1	VCP	grey	NA	NA	NA	NA	NA	NA
split1	SNRPB2	black	272	0.540458756749551	106	0.389705882352941	0.387076277457531	0.422794117647059
split1	FGG	grey	NA	NA	NA	NA	NA	NA
split1	MRPS12	blue	627	0.462182071321098	324	0.516746411483254	0.392355090335925	0.424242424242424
split1	BTF3L4	cyan	37	0.441400513830282	29	0.783783783783784	0.233003786012977	0.648648648648649
split1	SUPT4H1	black	272	0.389890738483685	217	0.797794117647059	0.275963831476133	0.591911764705882
split1	FKBP8	green	293	0.531523626497458	132	0.450511945392491	0.140205033423694	0.945017182130584
split1	KDM5B	yellow	299	0.543195526826587	136	0.454849498327759	0.238509726465198	0.775919732441472
split1	TMEM167A	black	272	0.625915389146269	68	0.25	0.541535869709336	0.113970588235294
split1	TOMM40	green	293	0.704046054228075	23	0.0784982935153584	0.333999853144039	0.625429553264605
split1	DDAH2	turquoise	771	0.412449641865679	527	0.683527885862516	0.0471246488272734	0.923376623376623
split1	PSMD2	blue	627	0.69674082751386	41	0.0653907496012759	0.563045690985859	0.062200956937799
split1	RAB18	blue	627	0.526286741758637	216	0.344497607655502	0.313516943686458	0.633173843700159
split1	TRAPPC3	blue	627	0.638645603030244	82	0.130781499202552	0.47092679692373	0.221690590111643
split1	TMEM134	grey	NA	NA	NA	NA	NA	NA
split1	SNHG7	magenta	171	0.570359814686441	82	0.47953216374269	0.378048023581081	0.555555555555556
split1	MRPL43	greenyellow	145	0.594693859339512	31	0.213793103448276	0.0355488933386172	0.722222222222222
split1	SEPTIN2	grey	NA	NA	NA	NA	NA	NA
split1	MAP1LC3B	grey	NA	NA	NA	NA	NA	NA
split1	CPNE3	grey	NA	NA	NA	NA	NA	NA
split1	MT1E	purple	154	0.340328561958398	150	0.974025974025974	0.0221860872319725	0.987012987012987
split1	TRAF4	yellow	299	0.59175814071304	95	0.317725752508361	0.262323176411139	0.71571906354515
split1	CARHSP1	purple	154	0.497170241650269	100	0.649350649350649	0.429149366280433	0.525974025974026
split1	RSRP1	yellow	299	0.651616278753029	56	0.187290969899666	0.332451963550043	0.538461538461538
split1	NUDT5	green	293	0.668795381722172	37	0.126279863481229	0.418244055336646	0.426116838487972
split1	RBCK1	salmon	45	0.44125425055566	40	0.888888888888889	0.207734453153853	0.933333333333333
split1	NOL7	blue	627	0.714993371395576	31	0.0494417862838915	0.39934909704156	0.393939393939394
split1	SYNCRIP	blue	627	0.571912855243591	151	0.240829346092504	0.610126653240625	0.0318979266347687
split1	MAP3K13	grey	NA	NA	NA	NA	NA	NA
split1	RASD1	turquoise	771	0.433490872155985	459	0.595330739299611	0.138494093730769	0.819480519480519
split1	HEBP1	turquoise	771	0.34565486866351	677	0.878080415045396	0.311275186410886	0.463636363636364
split1	C6orf15	grey	NA	NA	NA	NA	NA	NA
split1	LTBR	grey	NA	NA	NA	NA	NA	NA
split1	CHPT1	red	286	0.543223849201183	120	0.41958041958042	0.117411760514998	0.852631578947368
split1	PPP1R2	turquoise	771	0.465342897127022	398	0.51621271076524	0.0125790059803461	0.957142857142857
split1	TMEM9	pink	187	0.508968481094817	103	0.550802139037433	0.312373386176324	0.295698924731183
split1	LMO4	tan	127	0.598777493310881	37	0.291338582677165	0.514231736829958	0.385826771653543
split1	MYADM	turquoise	771	0.62945519783458	148	0.191958495460441	0.212827871924895	0.67012987012987
split1	DKK1	magenta	171	0.36139483447195	142	0.830409356725146	-0.0610366277843341	0.947368421052632
split1	WDR1	green	293	0.541479931306335	121	0.41296928327645	0.287854206785576	0.769759450171821
split1	PRSS8	brown	491	0.464977374753095	257	0.523421588594705	0.443274730310752	0.185336048879837
split1	NR4A2	yellow	299	0.752940272052765	16	0.0535117056856187	0.372145049539043	0.434782608695652
