gene	stable_gene_id	partition_cancer	top_celltype_cancer	runner_celltype_cancer	top_gap_cancer	bootstrap_top_frequency_cancer	bootstrap_valid_cancer	n_eligible_celltypes_cancer	status_cancer	reason_cancer	partition_adj_benign	top_celltype_adj_benign	runner_celltype_adj_benign	top_gap_adj_benign	bootstrap_top_frequency_adj_benign	bootstrap_valid_adj_benign	n_eligible_celltypes_adj_benign	status_adj_benign	reason_adj_benign	same_study_not_independent
NUDT5	HGNC:8052	cancer	Epithelial_malignant	PNS_glial	0.0017127633752191673	0.426	1000	10	DONE	descriptive_only	adj_benign	Epithelial_altered_benign	Epithelial_normal	0.01017657028777258	0.589	1000	10	DONE	descriptive_only	True
NUDT9	HGNC:8056	cancer	Epithelial_malignant	Epithelial_altered_benign	0.18477455403874904	1.0	1000	10	DONE	descriptive_only	adj_benign	Epithelial_malignant	Epithelial_altered_benign	0.10863941737583707	0.976	1000	10	DONE	descriptive_only	True
OAT	HGNC:8091	cancer	SMCs	CAFs	0.09047402292490003	0.997	1000	10	DONE	descriptive_only	adj_benign	CAFs	SMCs	0.0033929901245313143	0.432	1000	10	DONE	descriptive_only	True
ODC1	HGNC:8109	cancer	B-cells	Epithelial_malignant	0.13209670857221134	0.802	1000	10	DONE	descriptive_only	adj_benign	B-cells	Epithelial_malignant	0.0050096954618181755	0.369	1000	10	DONE	descriptive_only	True
OTC	HGNC:8512	cancer	Endothelial	Myeloid	0.012677224075499302	1.0	844	10	DONE	descriptive_only	adj_benign	Endothelial	Epithelial_normal	0.010884213092781248	1.0	546	10	DONE	descriptive_only	True
PEPD	HGNC:8840	cancer	PNS_glial	SMCs	0.0411930323888858	0.892	1000	10	DONE	descriptive_only	adj_benign	PNS_glial	SMCs	0.04918452079097427	0.772	1000	10	DONE	descriptive_only	True
PGAM1	HGNC:8888	cancer	SMCs	CAFs	0.1460282403975725	1.0	1000	10	DONE	descriptive_only	adj_benign	SMCs	CAFs	0.1520220556320288	1.0	1000	10	DONE	descriptive_only	True
PGAM2	HGNC:8889	cancer	SMCs	PNS_glial	0.10195976430550217	1.0	1000	10	DONE	descriptive_only	adj_benign	SMCs	PNS_glial	0.0874486389880379	1.0	1000	10	DONE	descriptive_only	True
PGK1	HGNC:8896	cancer	Myeloid	T-cells	0.15623175501823428	1.0	1000	10	DONE	descriptive_only	adj_benign	Myeloid	T-cells	0.13376094698905938	1.0	1000	10	DONE	descriptive_only	True
PGK2	HGNC:8898	cancer	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	adj_benign	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	True
PHGDH	HGNC:8923	cancer	Epithelial_normal	Epithelial_altered_benign	0.007441122581561377	0.545	1000	10	DONE	descriptive_only	adj_benign	Epithelial_malignant	Epithelial_normal	0.09340773309980122	0.976	1000	10	DONE	descriptive_only	True
PLA2G4A	HGNC:9035	cancer	CAFs	Myeloid	0.054595067631453276	0.999	1000	10	DONE	descriptive_only	adj_benign	CAFs	PNS_glial	0.1005397428973363	0.991	1000	10	DONE	descriptive_only	True
PLA2G6	HGNC:9039	cancer	Epithelial_normal	Epithelial_altered_benign	0.010275801581641028	0.814	1000	10	DONE	descriptive_only	adj_benign	Epithelial_malignant	Epithelial_normal	0.005407748477799554	0.579	1000	10	DONE	descriptive_only	True
PNP	HGNC:7892	cancer	Endothelial	Myeloid	0.13005534758170445	0.997	1000	10	DONE	descriptive_only	adj_benign	Endothelial	Myeloid	0.052359988292058346	0.76	1000	10	DONE	descriptive_only	True
SDS	HGNC:10691	cancer	Myeloid	Epithelial_normal	0.2346882244339213	1.0	1000	10	DONE	descriptive_only	adj_benign	Myeloid	Epithelial_normal	0.3488903825997286	1.0	1000	10	DONE	descriptive_only	True
SDSL	HGNC:30404	cancer	Epithelial_malignant	Myeloid	0.011012916918843985	0.819	1000	10	DONE	descriptive_only	adj_benign	Myeloid	Epithelial_malignant	0.04490564974202288	0.973	1000	10	DONE	descriptive_only	True
SHMT1	HGNC:10850	cancer	PNS_glial	Epithelial_normal	0.04364041816443204	0.952	1000	10	DONE	descriptive_only	adj_benign	PNS_glial	Epithelial_normal	0.05778235197067261	0.883	1000	10	DONE	descriptive_only	True
SHMT2	HGNC:10852	cancer	Epithelial_malignant	Epithelial_altered_benign	0.05728844617876938	1.0	1000	10	DONE	descriptive_only	adj_benign	Epithelial_malignant	Myeloid	0.028130459776591676	0.862	1000	10	DONE	descriptive_only	True
SLC22A12	HGNC:17989	cancer	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	adj_benign	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	True
SLC22A2	HGNC:10966	cancer	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	adj_benign	NA	NA	NA	NA	0	10	NOT_EVALUABLE	max_detection_below1pct	True
SLC25A20	HGNC:1421	cancer	Epithelial_malignant	B-cells	0.008432135870288904	0.721	1000	10	DONE	descriptive_only	adj_benign	PNS_glial	Epithelial_malignant	0.00226921091477076	0.463	1000	10	DONE	descriptive_only	True
SLC29A2	HGNC:11004	cancer	Epithelial_malignant	Epithelial_altered_benign	0.013351313610944673	0.943	1000	10	DONE	descriptive_only	adj_benign	Epithelial_normal	Epithelial_altered_benign	0.009379819807197362	0.741	1000	10	DONE	descriptive_only	True
SLC2A1	HGNC:11005	cancer	CAFs	Epithelial_altered_benign	0.02451073341071605	0.804	1000	10	DONE	descriptive_only	adj_benign	Epithelial_altered_benign	CAFs	0.01886255525243588	0.594	1000	10	DONE	descriptive_only	True
SLC2A3	HGNC:11007	cancer	Endothelial	CAFs	0.6581656336784363	1.0	1000	10	DONE	descriptive_only	adj_benign	Endothelial	Myeloid	0.6199447542428971	1.0	1000	10	DONE	descriptive_only	True
SLC2A9	HGNC:13446	cancer	Myeloid	Epithelial_normal	0.006271545874187726	0.726	1000	10	DONE	descriptive_only	adj_benign	Epithelial_normal	Myeloid	0.007723739370703697	0.889	1000	10	DONE	descriptive_only	True
