gene	stable_gene_id	top_celltype	runner_celltype	top_gap	bootstrap_top_frequency	bootstrap_valid	n_eligible_celltypes	status	reason	study
PMM1	ENSG00000100417	Tumor	vSMC	0.1141752964713062	0.935483870967742	992	8	DONE	descriptive_only	GSE159115
PMM2	ENSG00000140650	Tumor	Endo_ACKR1	0.0144625066088495	0.9737903225806452	992	8	DONE	descriptive_only	GSE159115
PNP	ENSG00000198805	Endo_PLVAP	Peri	0.1024281183647528	0.8185483870967742	992	8	DONE	descriptive_only	GSE159115
PRODH2	ENSG00000250799	Tumor	Endo_ACKR1	0.1054588269929252	1.0	992	8	DONE	descriptive_only	GSE159115
PTGS1	ENSG00000095303	Macro	Endo_PLVAP	0.0976496715278251	1.0	992	8	DONE	descriptive_only	GSE159115
PTGS2	ENSG00000073756	Macro	Endo_ACKR1	0.3688719174892415	1.0	992	8	DONE	descriptive_only	GSE159115
PUDP	ENSG00000130021	Peri	Endo_PLVAP	0.0050634641992932	0.219758064516129	992	8	DONE	descriptive_only	GSE159115
PYCR1	ENSG00000183010	vSMC	Tumor	0.0016365722382097	0.5745967741935484	992	8	DONE	descriptive_only	GSE159115
PYCR2	ENSG00000143811	Peri	Tcell_CD8	0.0100483049494141	0.0977822580645161	992	8	DONE	descriptive_only	GSE159115
PYCR3	ENSG00000104524	Tumor	Peri	0.014028237679714	0.8931451612903226	992	8	DONE	descriptive_only	GSE159115
RFK	ENSG00000135002	Endo_ACKR1	Endo_PLVAP	0.1218530094937634	0.5776209677419355	992	8	DONE	descriptive_only	GSE159115
SDHA	ENSG00000073578	Tumor	Peri	0.3559459166086073	1.0	992	8	DONE	descriptive_only	GSE159115
SDHB	ENSG00000117118	vSMC	Peri	0.0104352377160175	0.908266129032258	992	8	DONE	descriptive_only	GSE159115
SDHC	ENSG00000143252	Tumor	Peri	0.0316397455427732	0.6129032258064516	992	8	DONE	descriptive_only	GSE159115
SDHD	ENSG00000204370	vSMC	Peri	0.0157133774017103	0.9122983870967742	992	8	DONE	descriptive_only	GSE159115
SDS	HGNC:10691	Macro	Peri	0.7628359000012888	1.0	992	8	DONE	descriptive_only	GSE159115
SDSL	HGNC:30404	Macro	vSMC	0.1932587440855355	1.0	992	8	DONE	descriptive_only	GSE159115
SHMT1	ENSG00000176974	Tumor	Tcell_CD8	0.1806654432832	1.0	992	8	DONE	descriptive_only	GSE159115
SHMT2	ENSG00000182199	Tumor	vSMC	0.3075330643920256	1.0	992	8	DONE	descriptive_only	GSE159115
SLC13A3	ENSG00000158296	Tumor	Peri	0.0050439064930049	0.838501291989664	774	8	DONE	descriptive_only	GSE159115
SLC22A2	ENSG00000112499	Tumor	Peri	0.3615782879363316	1.0	992	8	DONE	descriptive_only	GSE159115
SLC22A4	ENSG00000197208	Tumor	Endo_PLVAP	0.0492859165653213	1.0	992	8	DONE	descriptive_only	GSE159115
SLC25A10	ENSG00000183048	Tumor	Tcell_CD8	0.0033374343886621	0.7540322580645161	992	8	DONE	descriptive_only	GSE159115
SLC25A20	ENSG00000178537	Tcell_CD8	Tcell	0.0206912404228386	0.4334677419354839	992	8	DONE	descriptive_only	GSE159115
SLC29A2	ENSG00000174669	Endo_ACKR1	Peri	0.0095274111626699	0.6686838124054463	661	8	DONE	descriptive_only	GSE159115
SLC2A1	HGNC:11005	Tumor	Endo_ACKR1	0.3519437255705063	1.0	992	8	DONE	descriptive_only	GSE159115
SLC2A3	HGNC:11007	Peri	Endo_ACKR1	0.1511164864795113	0.2389112903225806	992	8	DONE	descriptive_only	GSE159115
SLC47A1	ENSG00000142494	Tumor	Macro	0.1608876573999084	1.0	992	8	DONE	descriptive_only	GSE159115
SLC6A8	ENSG00000130821	Tumor	Endo_ACKR1	0.3497966424425789	1.0	992	8	DONE	descriptive_only	GSE159115
SLC7A11	ENSG00000151012	Macro	Tumor	0.0068404868520692	0.7590725806451613	992	8	DONE	descriptive_only	GSE159115
SOAT1	ENSG00000057252	Macro	Tumor	0.1776129744121474	1.0	992	8	DONE	descriptive_only	GSE159115
SORD	ENSG00000140263	Tcell_CD8	Tumor	0.0682808276782342	0.5554435483870968	992	8	DONE	descriptive_only	GSE159115
SPHK1	ENSG00000176170	Macro	vSMC	0.0891244434406056	0.9929435483870968	992	8	DONE	descriptive_only	GSE159115
SPHK2	ENSG00000063176	Tcell_CD8	Peri	0.0415210194884335	0.5514112903225806	992	8	DONE	descriptive_only	GSE159115
STS	HGNC:11425	Peri	vSMC	0.0411396786606705	0.2530241935483871	992	8	DONE	descriptive_only	GSE159115
SUCLA2	ENSG00000136143	vSMC	Tumor	0.0615022444364474	0.997983870967742	992	8	DONE	descriptive_only	GSE159115
SUCLG1	ENSG00000163541	Tumor	Peri	0.0639621726225698	0.96875	992	8	DONE	descriptive_only	GSE159115
SUCLG2	ENSG00000172340	Peri	vSMC	0.0548869418194946	0.2137096774193548	992	8	DONE	descriptive_only	GSE159115
UPB1	ENSG00000100024	Tumor	Peri	0.072353393408688	1.0	992	8	DONE	descriptive_only	GSE159115
UPP1	ENSG00000183696	Endo_PLVAP	Peri	0.2780277014523985	0.8205645161290323	992	8	DONE	descriptive_only	GSE159115
