cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	pathway_id	pathway	direction
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	1.5906214039125433	NA	NA	0.4697799311501027	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04260	Cardiac muscle contraction	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	1.5906214039125433	NA	NA	0.4697799311501027	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04664	Fc epsilon RI signaling pathway	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	1.1783887468030692	NA	NA	0.4702656978046299	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05017	Spinocerebellar ataxia	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	1.5552742616033757	NA	NA	0.4773861387838673	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05218	Melanoma	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	1.540969899665552	NA	NA	0.4820783798559621	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa00051	Fructose and mannose metabolism	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	1.540969899665552	NA	NA	0.4820783798559621	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa00640	Propanoate metabolism	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	1.540969899665552	NA	NA	0.4820783798559621	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04215	Apoptosis - multiple species	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	1.2387140136664052	NA	NA	0.4821843301279531	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05160	Hepatitis C	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	1.2387140136664052	NA	NA	0.4821843301279531	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05225	Hepatocellular carcinoma	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	1.1557274247491638	NA	NA	0.4830856352206411	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04062	Chemokine signaling pathway	lower_in_LYPLA1_high
