pathway_id	pathway	background	direction	background_genes	selected_genes	pathway_tested_genes	overlap	fold_enrichment	p_value	overlap_genes	status	reason	selected
hsa04390	Hippo signaling pathway	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	104	2	1.1466635773864688	0.5246491799603406	SAV1;WWTR1	DONE	NOMINAL_P_ONLY	False
hsa00010	Glycolysis / Gluconeogenesis	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	44	1	1.3551478641840087	0.526434334209553	HK2	DONE	NOMINAL_P_ONLY	False
hsa04260	Cardiac muscle contraction	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	44	1	1.3551478641840087	0.526434334209553	TNNC1	DONE	NOMINAL_P_ONLY	False
hsa04664	Fc epsilon RI signaling pathway	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	44	1	1.3551478641840087	0.526434334209553	PLCG2	DONE	NOMINAL_P_ONLY	False
hsa04923	Regulation of lipolysis in adipocytes	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	30	1	1.3411924119241192	0.5310580697218775	PRKG1	DONE	NOMINAL_P_ONLY	False
hsa05169	Epstein-Barr virus infection	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	153	4	1.0519156171953876	0.5316430282239568	ENTPD8;IKBKE;TAPBPL;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa05218	Melanoma	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	45	1	1.325033467202142	0.5344477797264963	E2F1	DONE	NOMINAL_P_ONLY	False
hsa05207	Chemical carcinogenesis - receptor activation	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	113	3	1.068206345780272	0.5371597023416611	CREB3L1;IKBKE;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa00510	N-Glycan biosynthesis	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	46	1	1.2962283918281823	0.5423272320679935	B4GALT2	DONE	NOMINAL_P_ONLY	False
hsa04750	Inflammatory mediator regulation of TRP channels	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	46	1	1.2962283918281823	0.5423272320679935	PLCG2	DONE	NOMINAL_P_ONLY	False
hsa05323	Rheumatoid arthritis	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	46	1	1.2962283918281823	0.5423272320679935	MMP1	DONE	NOMINAL_P_ONLY	False
hsa04216	Ferroptosis	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	31	1	1.2979281405717282	0.5427840012982569	MAP1LC3A	DONE	NOMINAL_P_ONLY	False
hsa04350	TGF-beta signaling pathway	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	73	2	1.102349927608865	0.5461944820142002	FMOD;THBS1	DONE	NOMINAL_P_ONLY	False
hsa03250	Viral life cycle - HIV-1	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	47	1	1.2686490643424764	0.5500749048679847	SAMHD1	DONE	NOMINAL_P_ONLY	False
hsa04330	Notch signaling pathway	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	47	1	1.2686490643424764	0.5500749048679847	HES5	DONE	NOMINAL_P_ONLY	False
hsa04920	Adipocytokine signaling pathway	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	47	1	1.2686490643424764	0.5500749048679847	SLC2A1	DONE	NOMINAL_P_ONLY	False
hsa05410	Hypertrophic cardiomyopathy	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	47	1	1.2686490643424764	0.5500749048679847	TNNC1	DONE	NOMINAL_P_ONLY	False
hsa00071	Fatty acid degradation	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	32	1	1.2573678861788617	0.5542190496594429	ACADS	DONE	NOMINAL_P_ONLY	False
hsa04726	Serotonergic synapse	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	48	1	1.242218875502008	0.5576929756341935	PTGS2	DONE	NOMINAL_P_ONLY	False
hsa05414	Dilated cardiomyopathy	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	48	1	1.242218875502008	0.5576929756341935	TNNC1	DONE	NOMINAL_P_ONLY	False
hsa03015	mRNA surveillance pathway	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	75	2	1.0729539295392954	0.5609570658242471	GSPT2;PABPC1L	DONE	NOMINAL_P_ONLY	False
hsa05222	Small cell lung cancer	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	75	2	1.0729539295392954	0.5609570658242471	FHIT;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa05221	Acute myeloid leukemia	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	49	1	1.216867469879518	0.5651835863304516	PIM1	DONE	NOMINAL_P_ONLY	False
hsa05160	Hepatitis C	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	113	2	1.0553363898070156	0.5699376055817016	CLDN2;E2F1	DONE	NOMINAL_P_ONLY	False
hsa05225	Hepatocellular carcinoma	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	113	2	1.0553363898070156	0.5699376055817016	E2F1;PLCG2	DONE	NOMINAL_P_ONLY	False
hsa04662	B cell receptor signaling pathway	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	50	1	1.1925301204819276	0.5725488439497526	PLCG2	DONE	NOMINAL_P_ONLY	False
hsa05215	Prostate cancer	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	77	2	1.0450849963045086	0.5753778064029035	CREB3L1;PDGFA	DONE	NOMINAL_P_ONLY	False
hsa04150	mTOR signaling pathway	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	115	2	1.0369827134625458	0.5795772120082769	RRAGC;SKP2	DONE	NOMINAL_P_ONLY	False
hsa04723	Retrograde endocannabinoid signaling	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	78	2	1.031686470710861	0.5824592359837633	ITPR2;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa05164	Influenza A	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	116	2	1.0280432073120067	0.5843385002048609	IL33;MYD88	DONE	NOMINAL_P_ONLY	False
hsa04727	GABAergic synapse	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	35	1	1.1495934959349594	0.5868496080201531	PRKCG	DONE	NOMINAL_P_ONLY	False
hsa05032	Morphine addiction	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	35	1	1.1495934959349594	0.5868496080201531	PRKCG	DONE	NOMINAL_P_ONLY	False
