pathway	pval	log2err	ES	NES	size	leadingEdge	pathway_id	selected	status	reason
Parkinson disease	0.0259067357512953	0.111555069436528	-0.284392454001738	-1.33348687983336	192	DUSP1;UBB;ITPR2;SLC25A6;TUBB4B;UBC;PSMC3;TUBA1C;NDUFB10;COX6B1;UBA52;NDUFB7;COX5B;NDUFS7;NDUFB8;DDIT3;NDUFV1;KLC1;NDUFA2;UQCRC1;NDUFA3;COX4I1;ATP5F1D;RPS27A;KLC4;TUBA1A;TUBA4A;SLC39A5;XBP1;NDUFB11;NDUFA4L2;UQCR11;NDUFB1;NDUFS6;ATF4;UBE2L3;NDUFA11;SLC39A7;NDUFC1;COX7C;NDUFA10	hsa05012	TRUE	DONE	NOMINAL_P_ONLY
Bacterial invasion of epithelial cells	0.0303886925795053	0.126448470699906	0.357944395702823	1.45096031026386	57	CLTC;ACTB;ACTR3;ITGB1;CDC42;CTTN;ARPC2;MET;RAC1;CAV2;CDH1;ELMO2;RHOA;WASF1;CTNNA1;ACTR2	hsa05100	TRUE	DONE	NOMINAL_P_ONLY
Basal transcription factors	0.0396932792061344	0.107942085094929	0.40778123597545	1.46039163335384	33	GTF2E2;TAF4B;GTF2H3;GTF2A2;GTF2E1;TAF13;GTF2A1;TAF9B;CDK7;TAF2;GTF2B;TAF3	hsa03022	TRUE	DONE	NOMINAL_P_ONLY
TNF signaling pathway	0.0406449445750756	0.0917080492176841	-0.328145589520278	-1.37706875063626	91	JUN;NFKBIA;JUNB;IRF1;EDN1;BCL3;FOS;TRAF2;CCL20;MAPK3;CREB3L1;CEBPB;SOCS3;MMP9;TNFRSF1A;AKT2;CFLAR;MAP2K3;ATF4;TRAF5	hsa04668	TRUE	DONE	NOMINAL_P_ONLY
Ubiquitin mediated proteolysis	0.0421377183967112	0.111901382188671	0.281122615115945	1.31006843149964	127	UBR5;UBE2B;UBE2J1;TRIP12;UBA2;CUL4A;UBE2E1;SKP2;DDB1;KLHL13;CUL2;BIRC2;CUL3;HERC1;FBXW11;CUL5;UBE2S;PML;TRAF6;UBE3C;SAE1;ERCC8;HERC4;FBXW8;UBA3;UBA6;UBE2N;UBE2Z;CDC20;CUL4B;ELOC;ANAPC7;FBXW7;WWP2;ANAPC13;UBE2G2;CDC16;RNF7;UBE2K	hsa04120	TRUE	DONE	NOMINAL_P_ONLY
Diabetic cardiomyopathy	0.0446514616125924	0.0853949304825912	-0.28978652517224	-1.31061564902383	148	CYBA;SLC25A6;PRKCG;NDUFB10;COX6B1;NDUFB7;COL1A2;COX5B;NDUFS7;NDUFB8;NDUFV1;NDUFA2;UQCRC1;MMP9;NDUFA3;COX4I1;ATP5F1D;AKT2;PLCB3;NDUFB11;NDUFA4L2;UQCR11;GAPDH;NDUFB1;INSR;NDUFS6;NDUFA11;NDUFC1;COX7C;NDUFA10;PDK4;UQCRQ;COX7A2L;PDK2;UQCRH;TBC1D4;G6PD;NDUFA1	hsa05415	TRUE	DONE	NOMINAL_P_ONLY
Tight junction	0.0450935178068153	0.107942085094929	0.282884309039087	1.30832119550096	120	AMOTL2;YBX3;CLDN2;RAB8B;ACTB;ACTR3;ITGB1;TJP1;CDC42;CTTN;MAP3K5;CDK4;ARPC2;RAC1;F11R;CLDN9;MYL12B;CLDN1;RHOA;MAP2K7;PRKCI;PARD6A;CCND1;ACTR2;RAP2C;CLDN18;MARVELD3;PPP2R2A;HSPA4;OCLN;MAGI1;PRKAB2	hsa04530	TRUE	DONE	NOMINAL_P_ONLY
Salivary secretion	0.0451807228915663	0.0892755851408452	-0.395724485352944	-1.4322094387226	42	BEST2;MUC5AC;ITPR2;PRKCG;KCNN4;PRKG1	hsa04970	TRUE	DONE	NOMINAL_P_ONLY
Neurotrophin signaling pathway	0.0454545454545455	0.105519930289441	0.302930916380895	1.33738133506932	91	CALM1;IRAK1;PLCG2;CDC42;SOS1;MAP3K5;BAX;ARHGDIA;MAPKAPK2;RAC1;IRS1;KRAS;FRS2;ARHGDIB;PSEN1;MAP2K1;IKBKB;PTPN11;RHOA;YWHAE;MAP2K7	hsa04722	TRUE	DONE	NOMINAL_P_ONLY
Retrograde endocannabinoid signaling	0.0463610022157832	0.0863599961425958	-0.336925885837548	-1.37767742569365	78	ITPR2;PRKCG;NDUFB10;NDUFB7;NDUFS7;MAPK3;NDUFB8;NDUFV1;NDUFA2;NDUFA3;FAAH;PLCB3;NDUFB11;NDUFA4L2;NDUFB1;NDUFS6;NDUFA11;NDUFC1;CACNA1D;NDUFA10	hsa04723	TRUE	DONE	NOMINAL_P_ONLY
