gene	kegg_gene	candidate_ids	status	in_any_pathway
MAPK9	hsa:5601	hsa:5601	PRIMARY_SYMBOL	True
BNIP1	hsa:662	hsa:662	PRIMARY_SYMBOL	True
KLHDC3	hsa:116138	hsa:116138	PRIMARY_SYMBOL	False
DCK	hsa:1633	hsa:1633	PRIMARY_SYMBOL	True
CCDC106	hsa:29903	hsa:29903	PRIMARY_SYMBOL	False
RAD18	hsa:56852	hsa:56852	PRIMARY_SYMBOL	False
ZNF782	hsa:158431	hsa:158431	PRIMARY_SYMBOL	False
KLK6	hsa:5653	hsa:5653	PRIMARY_SYMBOL	False
PPP2R3A	hsa:5523	hsa:5523	PRIMARY_SYMBOL	True
CCDC22	hsa:28952	hsa:28952	PRIMARY_SYMBOL	False
MXI1	hsa:4601	hsa:4601	PRIMARY_SYMBOL	False
SORBS1	hsa:10580	hsa:10580	PRIMARY_SYMBOL	True
PLA2G12A	hsa:81579	hsa:81579	PRIMARY_SYMBOL	True
ARF4	hsa:378	hsa:378	PRIMARY_SYMBOL	True
PRKAB1	hsa:5564	hsa:5564	PRIMARY_SYMBOL	True
TMEM134	hsa:80194	hsa:80194	PRIMARY_SYMBOL	False
SPACA9	hsa:11092	hsa:11092	PRIMARY_SYMBOL	False
RALGPS1	hsa:9649	hsa:9649	PRIMARY_SYMBOL	False
TAF10	hsa:6881	hsa:6881	PRIMARY_SYMBOL	True
ANAPC1	hsa:64682	hsa:64682	PRIMARY_SYMBOL	True
CDA	hsa:978	hsa:978	PRIMARY_SYMBOL	True
FAM83A	hsa:84985	hsa:84985	PRIMARY_SYMBOL	False
ATP5MD	hsa:84833	hsa:84833	UNIQUE_ALIAS	False
