cohort	contrast	direction	library	term	universe_n	selected_n	term_n	overlap_n	p_value	genes	q_contrast	q_joint4
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:0072332)	13204	1491	32	3	0.7169179153	BOK;DDIT4;HIPK2	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630)	13204	1491	46	4	0.7785865635	BOK;DDIT4;HIPK2;PRKDC	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:0042771)	13204	1491	18	2	0.6193789187	DDIT4;HIPK2	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress (GO:0070059)	13204	1491	24	2	0.7716571886	ATP2A3;ITPR1	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Iron Ion Transport (GO:0006826)	13204	1491	20	2	0.6773826594	CLTC;SLC40A1	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Iron-Sulfur Cluster Assembly (GO:0016226)	13204	1491	25	1	0.9501336044	HSPA9	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Keratinocyte Differentiation (GO:0030216)	13204	1491	30	9	0.004587484221	ADAM9;ASAH1;CASP3;CDSN;DSP;EREG;MED1;S100A7;TXNIP	0.1232760077	0.1300875751
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Kidney Development (GO:0001822)	13204	1491	46	12	0.004110231866	BMP7;CENPF;CTSH;GREB1L;LHX1;NIPBL;SIX1;SOX4;TFAP2A;TGFBR1;TRAF3IP1;ZNG1A	0.1177108656	0.1219271618
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lamellipodium Assembly (GO:0030032)	13204	1491	19	2	0.6493341096	GOLPH3;RHOD	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lamellipodium Organization (GO:0097581)	13204	1491	24	3	0.5193945977	GOLPH3;RHOD;SNX2	1	1
