cohort	contrast	gene	n_high	n_reference	mean_log_high	mean_log_reference	mean_log_difference	mean_CP10k_high	mean_CP10k_reference	descriptive_log2ratio	detection_high	detection_reference	welch_t	welch_df	p_value	q_contrast	q_joint4
Wu2021	high_vs_low_detected	MPZL1	7222	7222	0.3184753609	0.4238205289	-0.105345168	0.5790486037	0.665881466	-0.1736062855	0.39947383	0.6278039324	-14.44482129	14109.029	5.844065414e-47	9.06047969e-46	3.231609282e-46
Wu2021	high_vs_low_detected	MPC2	7222	7222	1.169797586	1.223119151	-0.05332156553	3.419074841	3.267255264	0.06362310392	0.8111326502	0.9267515924	-4.407057091	13980.2769	1.055650654e-05	2.138030359e-05	1.739286259e-05
Wu2021	high_vs_low_detected	DCAF6	7222	7222	0.3170113293	0.3361241333	-0.01911280409	0.5679663294	0.5108174407	0.1290341256	0.4210744946	0.5533093326	-2.744176411	13841.94177	0.0060741086	0.009201547659	0.008213804333
Wu2021	high_vs_low_detected	GPR161	7222	7222	0.009611579098	0.0249615662	-0.0153499871	0.01416335685	0.03257841342	-0.2157462318	0.02104680144	0.0656327887	-9.748722353	13287.08402	2.220149002e-22	1.237875495e-21	6.921479686e-22
Wu2021	high_vs_low_detected	TIPRL	7222	7222	0.3652404131	0.451614251	-0.08637383789	0.6639293826	0.7136994508	-0.09105673482	0.4638604265	0.658404874	-11.60305125	14014.35101	5.509255733e-31	4.572619439e-30	2.152983638e-30
Wu2021	high_vs_low_detected	SFT2D2	7222	7222	0.1457997865	0.2333155118	-0.08751572525	0.2492150431	0.3434658729	-0.3447073786	0.2232068679	0.4112434229	-15.92415404	14441.27762	1.30588542e-56	2.880466658e-55	8.689834857e-56
Wu2021	high_vs_low_detected	TBX19	7222	7222	0.01042746646	0.02455135398	-0.01412388752	0.01622707618	0.03164211015	-0.1796748602	0.02173913043	0.0660481861	-8.863507909	13937.15495	8.681894721e-19	4.110277182e-18	2.441395404e-18
Wu2021	high_vs_low_detected	ATP1B1	7222	7222	0.7904115444	0.933474009	-0.1430624646	2.035327244	2.410087847	-0.2332806727	0.6496815287	0.783024093	-11.55321775	14431.20963	9.707905911e-31	8.016318449e-30	3.772812822e-30
Wu2021	high_vs_low_detected	NME7	7222	7222	0.1469332265	0.1431811353	0.00375209119	0.2496755424	0.2029334605	0.2070159522	0.2324840764	0.289947383	0.7536034602	13769.35524	0.4511002516	0.4995896166	0.4869430638
Wu2021	high_vs_low_detected	BLZF1	7222	7222	0.1543409158	0.1556768429	-0.001335927103	0.2625380875	0.2168131768	0.1945002287	0.2488230407	0.3245638327	-0.2659084314	13679.29327	0.7903137389	0.8199392397	0.8121970097
Wu2021	high_vs_low_detected	CCDC181	7222	7222	0.02359745244	0.03117734406	-0.00757989162	0.03441986565	0.04268176263	-0.0860545765	0.04389365827	0.06812517308	-3.575872064	14414.02949	0.000350204614	0.0006129212276	0.000522189247
Wu2021	high_vs_low_detected	SLC19A2	7222	7222	0.2024575082	0.1567581374	0.04569937083	0.3968816883	0.2480008116	0.5138117042	0.2539462753	0.2708391027	7.321462474	13224.96063	2.594565416e-13	8.942159878e-13	6.041798782e-13
Wu2021	high_vs_low_detected	ENSG00000213062	7222	7222	0.007661004186	0.007338186033	0.0003228181531	0.01366701606	0.009953879389	0.04791516694	0.01038493492	0.01689282747	0.2560307947	13303.57712	0.7979310174	0.8261346811	0.8190852618
Wu2021	high_vs_low_detected	FIRRM	7222	7222	0.03315370379	0.03827935462	-0.00512565083	0.05493912096	0.04919562598	0.05449621958	0.06327887012	0.1048186098	-2.108053314	13674.42301	0.03504452522	0.04778739211	0.04398210299
Wu2021	high_vs_low_detected	METTL18	7222	7222	0.05921435796	0.07051210372	-0.01129774576	0.09476513252	0.09426811466	0.003686294645	0.1136804209	0.1680974799	-3.501406429	14186.66427	0.0004642318292	0.0008022657846	0.0006858969687
Wu2021	high_vs_low_detected	SCYL3	7222	7222	0.09131870025	0.0920501183	-0.000731418043	0.1581681438	0.1292085034	0.1716504254	0.1423428413	0.1919135973	-0.1768373544	13761.79316	0.8596387492	0.8793297436	0.8752765699
Wu2021	high_vs_low_detected	KIFAP3	7222	7222	0.141438828	0.1801526201	-0.03871379219	0.2374194589	0.2603744139	-0.09495340918	0.2227914705	0.3424259208	-7.52272003	14332.7604	5.683304548e-14	2.042398114e-13	1.357713629e-13
Wu2021	high_vs_low_detected	GORAB	7222	7222	0.06970369755	0.08538899286	-0.0156852953	0.1200072309	0.1159596815	0.02678894699	0.1157574079	0.1991138189	-4.266959698	14004.37495	1.994570891e-05	3.932416445e-05	3.229798307e-05
