cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	same_cohort_postselection	normal_source_confounding	degrees_freedom	p_method	ci_method	bootstrap_mean_lower	bootstrap_mean_upper	bootstrap_valid	seed	family_n_planned
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	GOT1	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	-2.669386920244582	-3.4820374860120262	-1.856736354477138	6.312278032147881e-09	3.133595165959127e-08	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	UniProt:P17174	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	GOT2	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	-1.19313252803909	-1.8777831551622688	-0.5084819009159113	0.0062308252656538355	0.013969108256869082	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	hsa:2806	True	True	5.202593252412873	Welch_t	analytic_Welch_t95	-1.60665951450118	-0.6405496710133586	4000.0	1864441575.0	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	GOT2	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	-1.1843592104108898	-1.7713113292525442	-0.5974070915692353	0.00013646748728801916	0.00037194079868695416	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	hsa:2806	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	LDHA	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	0.41116387083138584	-0.2985260163812342	1.1208537580440059	0.20804983933112764	0.2702703520282873	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	UniProt:P00338	True	True	6.255661721813779	Welch_t	analytic_Welch_t95	-0.06225636412724032	1.0017382901456828	4000.0	2503835088.0	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	LDHA	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	0.39616337741918634	-0.34375935170940725	1.1360861065477799	0.2896345440741758	0.356276120586818	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	UniProt:P00338	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	LDHB	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	-0.7169963722293482	-1.114902461068985	-0.3190902833897113	0.00481971254154917	0.011354915987717536	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	UniProt:P07195	True	True	5.700813556959214	Welch_t	analytic_Welch_t95	-0.9819063510650278	-0.4090207187386726	4000.0	1317175775.0	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	LDHB	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	-0.7033333016363785	-1.0401045363660726	-0.36656206690668447	8.305257820129026e-05	0.0002456235823399861	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	UniProt:P07195	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	AADAT	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	-0.41424681280011955	-0.6513743498214093	-0.17711927577882974	0.004245861469048931	0.010353942880663183	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	hsa:51166	True	True	7.226509788586652	Welch_t	analytic_Welch_t95	-0.5989975722480694	-0.23909186876327326	4000.0	942880406.0	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_AGE_SEX	NA	NA	AADAT	unpaired_unique_author_case	74.0	6.0	age_sex_adjusted_log2TPM1_difference	-0.40029002717109896	-0.5980745243110636	-0.2025055300311344	0.00013082698153624113	0.00036369900867075036	RNA_UNPAIRED_AGE_SEX	139.0	DONE	NA	CAMP_GBM_TPM	hsa:51166	True	True	76.0	OLS_HC3_t	HC3_t95	NA	NA	NA	NA	142.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_identity_RNA_v2	RNA_UNPAIRED_CURRENT	NA	NA	CDO1	unpaired_unique_author_case	74.0	6.0	mean_log2TPM1_difference	-0.3205947407107841	-0.724366259999222	0.08317677857765388	0.10514934742965872	0.15067793085280992	RNA_UNPAIRED_CURRENT	139.0	DONE	NA	CAMP_GBM_TPM	UniProt:Q16878	True	True	8.404177151057146	Welch_t	analytic_Welch_t95	-0.6226953875828801	0.020460134370568858	4000.0	1130634804.0	142.0
