module	GO	description	overlap	module_annotated_genes	term_universe_genes	universe_genes	p	genes	q_all_module_terms
pink	GO:0072524	pyridine-containing compound metabolic process	1	199	39	5553	0.760275275917249	QPRT	1
pink	GO:0072525	pyridine-containing compound biosynthetic process	1	199	13	5553	0.378083716675758	QPRT	1
pink	GO:0072527	pyrimidine-containing compound metabolic process	2	199	37	5553	0.384771934816286	NME1;SMUG1	1
pink	GO:0072528	pyrimidine-containing compound biosynthetic process	1	199	20	5553	0.518650822126328	NME1	1
pink	GO:0072529	pyrimidine-containing compound catabolic process	1	199	13	5553	0.378083716675758	SMUG1	1
pink	GO:0072538	T-helper 17 type immune response	0	199	10	5553	1		1
pink	GO:0072576	liver morphogenesis	1	199	11	5553	0.330889967554278	CEBPB	1
pink	GO:0072577	endothelial cell apoptotic process	0	199	19	5553	1		1
pink	GO:0072583	clathrin-dependent endocytosis	1	199	20	5553	0.518650822126328	UBQLN2	1
pink	GO:0072593	reactive oxygen species metabolic process	5	199	89	5553	0.213602718336437	NDUFA13;NDUFS4;COA8;RFK;RAB27A	1
pink	GO:0072594	establishment of protein localization to organelle	8	199	260	5553	0.722581858942179	NDUFA13;LAMP2;SNF8;CHMP4A;SRP19;TERF1;TARDBP;HYAL2	1
pink	GO:0072595	maintenance of protein localization in organelle	1	199	30	5553	0.666380278127079	ARL2	1
pink	GO:0072599	establishment of protein localization to endoplasmic reticulum	2	199	32	5553	0.319120940278901	CHMP4A;SRP19	1
pink	GO:0072655	establishment of protein localization to mitochondrion	1	199	87	5553	0.959250792917287	NDUFA13	1
pink	GO:0072657	protein localization to membrane	12	199	283	5553	0.314820550941673	ARL6IP1;LYPLA1;NDUFA13;ARF6;EMC7;CRIPT;VAMP2;CPE;CHMP4A;RAP1A;SRP19;NACA2	1
pink	GO:0072659	protein localization to plasma membrane	4	199	133	5553	0.708832232987616	LYPLA1;ARF6;VAMP2;RAP1A	1
pink	GO:0072662	protein localization to peroxisome	0	199	10	5553	1		1
pink	GO:0072663	establishment of protein localization to peroxisome	0	199	10	5553	1		1
pink	GO:0072665	protein localization to vacuole	2	199	49	5553	0.529113494376895	LAMP2;SNF8	1
pink	GO:0072666	establishment of protein localization to vacuole	2	199	34	5553	0.345648125482072	LAMP2;SNF8	1
pink	GO:0072676	lymphocyte migration	1	199	34	5553	0.711937923032192	CKLF	1
pink	GO:0072678	T cell migration	0	199	24	5553	1		1
pink	GO:0075522	IRES-dependent viral translational initiation	0	199	11	5553	1		1
pink	GO:0080009	mRNA methylation	0	199	11	5553	1		1
pink	GO:0080135	regulation of cellular response to stress	13	199	300	5553	0.277987275580352	MORF4L2;ACTR2;SVIP;BABAM1;SIRT7;TMEM33;EEF1E1;ZNF622;MAP2K1;MAPK3;RAD9A;UBQLN2;BABAM2	1
pink	GO:0080164	regulation of nitric oxide metabolic process	0	199	23	5553	1		1
pink	GO:0085029	extracellular matrix assembly	0	199	15	5553	1		1
pink	GO:0086001	cardiac muscle cell action potential	1	199	24	5553	0.58426937206015	ATP1A1	1
pink	GO:0086002	cardiac muscle cell action potential involved in contraction	1	199	13	5553	0.378083716675758	ATP1A1	1
pink	GO:0086003	cardiac muscle cell contraction	1	199	22	5553	0.552655617817712	ATP1A1	1
pink	GO:0086004	regulation of cardiac muscle cell contraction	0	199	16	5553	1		1
pink	GO:0086005	ventricular cardiac muscle cell action potential	0	199	10	5553	1		1
pink	GO:0086009	membrane repolarization	1	199	11	5553	0.330889967554278	ATP1A1	1
pink	GO:0086064	cell communication by electrical coupling involved in cardiac conduction	1	199	10	5553	0.305973632139476	ATP1A1	1
pink	GO:0086065	cell communication involved in cardiac conduction	1	199	18	5553	0.482075125187993	ATP1A1	1
pink	GO:0086091	regulation of heart rate by cardiac conduction	0	199	11	5553	1		1
pink	GO:0089718	amino acid import across plasma membrane	1	199	12	5553	0.354916112710665	ARL6IP1	1
pink	GO:0090025	regulation of monocyte chemotaxis	2	199	12	5553	0.0666023708340172	CXCL17;NBL1	1
pink	GO:0090026	positive regulation of monocyte chemotaxis	1	199	10	5553	0.305973632139476	CXCL17	1
pink	GO:0090042	tubulin deacetylation	0	199	12	5553	1		1
pink	GO:0090043	regulation of tubulin deacetylation	0	199	10	5553	1		1
pink	GO:0090049	regulation of cell migration involved in sprouting angiogenesis	0	199	10	5553	1		1
pink	GO:0090066	regulation of anatomical structure size	4	199	157	5553	0.821282245378364	ARF6;CTTN;BLOC1S1;CHMP3	1
pink	GO:0090068	positive regulation of cell cycle process	1	199	107	5553	0.98061698978082	CHMP3	1
pink	GO:0090083	regulation of inclusion body assembly	0	199	13	5553	1		1
pink	GO:0090087	regulation of peptide transport	3	199	49	5553	0.256055877704343	MPC2;AIMP1;TARDBP	1
pink	GO:0090090	negative regulation of canonical Wnt signaling pathway	1	199	43	5553	0.793061567804381	SDHAF2	1
pink	GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	5	199	77	5553	0.141183262483058	HES1;STUB1;CSNK2B;FOLR1;NBL1	1
pink	GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	2	199	31	5553	0.305759285988507	HES1;CSNK2B	1
pink	GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	2	199	42	5553	0.447574183153538	STUB1;NBL1	1
pink	GO:0090109	regulation of cell-substrate junction assembly	0	199	29	5553	1		1
pink	GO:0090110	COPII-coated vesicle cargo loading	1	199	11	5553	0.330889967554278	RAB1A	1
pink	GO:0090114	COPII-coated vesicle budding	1	199	31	5553	0.678400977865032	RAB1A	1
pink	GO:0090130	tissue migration	2	199	117	5553	0.927285924170692	ARF6;CSNK2B	1
pink	GO:0090132	epithelium migration	2	199	115	5553	0.922773718799815	ARF6;CSNK2B	1
pink	GO:0090140	regulation of mitochondrial fission	0	199	13	5553	1		1
pink	GO:0090150	establishment of protein localization to membrane	8	199	157	5553	0.200515062337517	ARL6IP1;LYPLA1;NDUFA13;EMC7;VAMP2;CHMP4A;SRP19;NACA2	1
pink	GO:0090151	establishment of protein localization to mitochondrial membrane	1	199	30	5553	0.666380278127079	NDUFA13	1
pink	GO:0090162	establishment of epithelial cell polarity	2	199	13	5553	0.0769048651295552	HES1;ARF6	1
pink	GO:0090181	regulation of cholesterol metabolic process	0	199	14	5553	1		1
pink	GO:0090183	regulation of kidney development	0	199	11	5553	1		1
pink	GO:0090199	regulation of release of cytochrome c from mitochondria	0	199	31	5553	1		1
pink	GO:0090200	positive regulation of release of cytochrome c from mitochondria	0	199	17	5553	1		1
pink	GO:0090201	negative regulation of release of cytochrome c from mitochondria	0	199	14	5553	1		1
pink	GO:0090207	regulation of triglyceride metabolic process	0	199	13	5553	1		1
pink	GO:0090231	regulation of spindle checkpoint	0	199	10	5553	1		1
pink	GO:0090257	regulation of muscle system process	2	199	65	5553	0.683107144982601	ATP1A1;CTTN	1
pink	GO:0090263	positive regulation of canonical Wnt signaling pathway	0	199	40	5553	1		1
pink	GO:0090266	regulation of mitotic cell cycle spindle assembly checkpoint	0	199	10	5553	1		1
pink	GO:0090276	regulation of peptide hormone secretion	3	199	46	5553	0.227086075421969	MPC2;AIMP1;TARDBP	1
pink	GO:0090278	negative regulation of peptide hormone secretion	0	199	15	5553	1		1
pink	GO:0090287	regulation of cellular response to growth factor stimulus	4	199	93	5553	0.428782690958117	HES1;STUB1;FOLR1;NBL1	1
pink	GO:0090288	negative regulation of cellular response to growth factor stimulus	1	199	25	5553	0.599232366265256	NBL1	1
pink	GO:0090303	positive regulation of wound healing	0	199	21	5553	1		1
pink	GO:0090311	regulation of protein deacetylation	0	199	14	5553	1		1
pink	GO:0090313	regulation of protein targeting to membrane	0	199	17	5553	1		1
pink	GO:0090314	positive regulation of protein targeting to membrane	0	199	15	5553	1		1
pink	GO:0090316	positive regulation of intracellular protein transport	4	199	88	5553	0.387957566559185	VAMP2;OAZ2;TARDBP;HYAL2	1
pink	GO:0090317	negative regulation of intracellular protein transport	1	199	25	5553	0.599232366265256	SVIP	1
pink	GO:0090322	regulation of superoxide metabolic process	0	199	10	5553	1		1
pink	GO:0090329	regulation of DNA-templated DNA replication	0	199	15	5553	1		1
pink	GO:0090382	phagosome maturation	0	199	13	5553	1		1
pink	GO:0090398	cellular senescence	2	199	47	5553	0.506650245113803	EEF1E1;MAP2K1	1
pink	GO:0090435	protein localization to nuclear envelope	0	199	11	5553	1		1
pink	GO:0090497	mesenchymal cell migration	1	199	14	5553	0.400423308802387	FOLR1	1
pink	GO:0090504	epiboly	1	199	15	5553	0.421964338148537	RHOC	1
pink	GO:0090505	epiboly involved in wound healing	1	199	15	5553	0.421964338148537	RHOC	1
pink	GO:0090559	regulation of membrane permeability	0	199	35	5553	1		1
pink	GO:0090596	sensory organ morphogenesis	1	199	55	5553	0.866972205802905	MAPK3	1
pink	GO:0090630	activation of GTPase activity	0	199	25	5553	1		1
pink	GO:0090659	walking behavior	1	199	10	5553	0.305973632139476	HEXA	1
pink	GO:0090670	RNA localization to Cajal body	0	199	16	5553	1		1
pink	GO:0090671	telomerase RNA localization to Cajal body	0	199	16	5553	1		1
pink	GO:0090672	telomerase RNA localization	0	199	16	5553	1		1
pink	GO:0090685	RNA localization to nucleus	0	199	16	5553	1		1
pink	GO:0097006	regulation of plasma lipoprotein particle levels	1	199	18	5553	0.482075125187993	CNPY2	1
pink	GO:0097009	energy homeostasis	0	199	19	5553	1		1
pink	GO:0097028	dendritic cell differentiation	1	199	13	5553	0.378083716675758	CEBPB	1
pink	GO:0097035	regulation of membrane lipid distribution	0	199	12	5553	1		1
pink	GO:0097061	dendritic spine organization	1	199	24	5553	0.58426937206015	CTTN	1
pink	GO:0097066	response to thyroid hormone	2	199	14	5553	0.0876690190295819	HES1;CRLS1	1
pink	GO:0097120	receptor localization to synapse	1	199	19	5553	0.50069609178015	RAP1A	1
pink	GO:0097178	ruffle assembly	2	199	25	5553	0.22515751113761	ARF6;SNX10	1
pink	GO:0097190	apoptotic signaling pathway	8	199	309	5553	0.87329915752712	CEBPB;NDUFA13;CTTN;COA8;EEF1E1;ZNF622;HYAL2;RAD9A	1
pink	GO:0097191	extrinsic apoptotic signaling pathway	3	199	109	5553	0.756019262790828	NDUFA13;CTTN;HYAL2	1
pink	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	0	199	25	5553	1		1
pink	GO:0097193	intrinsic apoptotic signaling pathway	5	199	173	5553	0.75011816225686	CEBPB;NDUFA13;COA8;ZNF622;RAD9A	1
pink	GO:0097194	execution phase of apoptosis	0	199	27	5553	1		1
pink	GO:0097237	cellular response to toxic substance	2	199	47	5553	0.506650245113803	PRXL2A;MGST2	1
pink	GO:0097242	amyloid-beta clearance	0	199	17	5553	1		1
pink	GO:0097284	hepatocyte apoptotic process	1	199	14	5553	0.400423308802387	ARF6	1
pink	GO:0097300	programmed necrotic cell death	0	199	25	5553	1		1
pink	GO:0097305	response to alcohol	0	199	79	5553	1		1
pink	GO:0097306	cellular response to alcohol	0	199	35	5553	1		1
pink	GO:0097345	mitochondrial outer membrane permeabilization	0	199	21	5553	1		1
