gene	module	kME	rank_in_module
AIG1	black	0.699539630724057	13
HYI	tan	0.449044239213534	82
SUGT1	grey	NA	NA
MAGEF1	turquoise	0.364402214790109	610
C12orf75	grey	NA	NA
C1orf122	grey	NA	NA
MZT1	greenyellow	0.405243774880989	143
UBE2K	red	0.390426341952652	198
COQ4	tan	0.474770991688876	77
KNOP1	black	0.466317351310227	140
HPCAL1	greenyellow	0.512459364532581	90
HEXB	black	0.52466568621014	91
FH	green	0.476756459421658	202
VAV3	turquoise	0.587533537621553	205
HIGD1A	pink	0.822415692738666	19
TUBB2A	grey	NA	NA
ATP6V1D	black	0.438548085661236	166
LEPROTL1	magenta	0.476423931319551	114
SERINC1	turquoise	0.659023956015415	102
RNF13	magenta	0.410728056830548	148
ATF5	tan	0.430356048044064	92
CXXC5	turquoise	0.763818204156054	24
RPS6KB2	grey	NA	NA
PABPN1	yellow	0.473798700839633	210
M6PR	grey	NA	NA
CSTA	lightcyan	0.222438133440443	29
SMARCC1	grey	NA	NA
MLST8	grey	NA	NA
KLHDC3	green	0.651651260620392	47
PQBP1	blue	0.351585945114712	541
SNHG15	yellow	0.445838795628194	231
MPHOSPH8	turquoise	0.505555971214935	300
MED10	blue	0.497075300964505	267
USP14	grey	NA	NA
ATG101	purple	0.299779234714954	169
IGSF8	turquoise	0.40592662889018	524
ANXA6	turquoise	0.425496244697771	478
PPP1R7	blue	0.569383137796047	153
PTGR1	grey	NA	NA
RALBP1	grey	NA	NA
IDH3G	blue	0.437546007962771	366
MPZL1	grey	NA	NA
ETF1	grey	NA	NA
DPM1	pink	0.461506950199227	146
NARF	blue	0.394292901441938	470
G3BP1	grey	NA	NA
SMG1	yellow	0.729057620064302	24
COMMD2	salmon	0.648160670098525	19
AP2A1	turquoise	0.534125215100165	265
FAM114A1	turquoise	0.377067147997247	586
YIF1B	blue	0.368825409610138	521
USP16	grey	NA	NA
MAFB	grey	NA	NA
ODC1	green	0.63959536826796	52
C15orf61	tan	0.295537429354658	140
LSM10	grey	NA	NA
CAV2	salmon	0.763507297311745	2
LYRM2	red	0.451681920727273	164
BBX	grey	NA	NA
DRAM2	grey	NA	NA
SPCS3	black	0.503879684829616	112
PDCD6IP	brown	0.465214173882562	243
TIAL1	grey	NA	NA
MOCS2	magenta	0.543546817191098	73
CHTOP	red	0.347617922552198	229
CLK1	yellow	0.557911666325732	128
YIPF4	grey	NA	NA
AK6	magenta	0.600515688025848	51
FDX1	grey	NA	NA
MVB12A	grey	NA	NA
GLRX	grey	NA	NA
WIPI1	turquoise	0.659513825253926	101
HMGCS1	cyan	0.593624895762897	19
GEM	yellow	0.479063608053731	203
B3GAT3	grey	NA	NA
TMOD3	grey	NA	NA
TERF2IP	grey	NA	NA
SRSF6	pink	0.506495051218894	121
THOC2	grey	NA	NA
MRPS5	blue	0.690857956974021	44
BIRC3	salmon	0.457385449408725	85
CRIPT	pink	0.513713622185262	113
CAVIN1	salmon	0.636273500913353	20
ZFR	grey	NA	NA
ABHD14B	brown	0.32421918515537	439
POLR2C	green	0.61218566804762	65
TIMM23	blue	0.510522149242173	243
