cohort	annotation_level	gene	celltype	n_units_total	n_units_ge20cells	n_units_detected	n_cells_total	mean_unit_log1p_cpm	median_unit_log1p_cpm	mean_unit_positive_fraction	status	source_rank
GSE278688	author	ACOT8	CD8T	13	13	13	22606	2.9876458245770974	3.0099596251384466	0.06402179745169764	EVALUABLE	5.0
GSE278688	author	ACOT8	Ductal	13	12	12	8370	3.2829747141390144	3.3884365251396775	0.11755766645268691	EVALUABLE	1.0
GSE278688	author	ACOT8	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	ACOT8	Endothelial	13	13	12	2011	2.6580896706098054	2.8806084695737324	0.099801350767557	EVALUABLE	9.0
GSE278688	author	ACOT8	Myeloid	13	13	13	5654	2.8490294374382676	2.8208961473706258	0.09986739043901047	EVALUABLE	7.0
GSE278688	author	ACOT8	NK	13	13	13	3291	3.19942817888232	3.1896349378613214	0.0957379277506812	EVALUABLE	2.0
GSE278688	author	ACOT8	Plasma	12	6	5	325	1.5308574835066608	1.8043839977349756	0.05027885027885028	EVALUABLE	10.0
GSE278688	author	ACOT8	Schwann	12	2	2	221	2.77142669517416	2.77142669517416	0.08924731182795699	INSUFFICIENT_UNITS	NA
GSE278688	author	ACOT8	Stellate	13	13	13	2525	2.9001478483962453	2.7670427991408255	0.11702498156639561	EVALUABLE	6.0
GSE278688	author	ACY3	Acinar	7	2	2	284	1.5100954862592235	1.5100954862592235	0.037092357480706994	INSUFFICIENT_UNITS	NA
GSE278688	author	ACY3	B	13	11	11	7396	2.3282195007264233	2.390649605451666	0.024431018080573397	EVALUABLE	2.0
GSE278688	author	ACY3	CAF	13	13	4	2423	0.15280441278700024	0.0	0.0015428270961470156	EVALUABLE	8.0
GSE278688	author	ACY3	CD4T	13	13	10	16271	0.33770532863248776	0.3890941564751407	0.0018395839587346545	EVALUABLE	6.0
GSE278688	author	ACY3	CD8T	13	13	8	22606	0.2640561662545464	0.3126082756394478	0.0012208552211365213	EVALUABLE	7.0
GSE278688	author	ACY3	Ductal	13	12	12	8370	2.8820664456096807	2.998928802343441	0.08310925478685503	EVALUABLE	1.0
GSE278688	author	ACY3	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	ACY3	Endothelial	13	13	1	2011	0.040236620925036985	0.0	0.0002859593937660852	LOW_DETECTION	NA
GSE278688	author	ACY3	Myeloid	13	13	10	5654	0.71949622514021	0.4662405338706891	0.0054191498136610654	EVALUABLE	4.0
GSE278688	author	ACY3	NK	13	13	5	3291	0.48010415221921743	0.0	0.003293887156137802	EVALUABLE	5.0
GSE278688	author	ACY3	Plasma	12	6	6	325	2.118500997601216	1.9850594749606703	0.05495170495170495	EVALUABLE	3.0
GSE278688	author	ACY3	Schwann	12	2	0	221	0.0	0.0	0.0	INSUFFICIENT_UNITS	NA
GSE278688	author	ACY3	Stellate	13	13	2	2525	0.06864146874586304	0.0	0.0006206696738549456	LOW_DETECTION	NA
GSE278688	author	ADA	Acinar	7	2	2	284	1.2433133220521868	1.2433133220521868	0.024956435150609906	INSUFFICIENT_UNITS	NA
GSE278688	author	ADA	B	13	11	11	7396	2.9345809669116476	2.90060282175335	0.05644877412666759	EVALUABLE	6.0
GSE278688	author	ADA	CAF	13	13	13	2423	1.870987756213385	1.8423905507694922	0.045003295284984764	EVALUABLE	9.0
GSE278688	author	ADA	CD4T	13	13	13	16271	3.6682197207744305	3.6006632723294487	0.1299745266151991	EVALUABLE	4.0
GSE278688	author	ADA	CD8T	13	13	13	22606	3.971204619720869	3.8838729005634036	0.15798483935793672	EVALUABLE	1.0
GSE278688	author	ADA	Ductal	13	12	11	8370	1.735671049225754	1.9637826720187799	0.02959935679192784	EVALUABLE	10.0
GSE278688	author	ADA	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	ADA	Endothelial	13	13	13	2011	3.7875056841538277	3.8809663062697783	0.21946417844756894	EVALUABLE	3.0
GSE278688	author	ADA	Myeloid	13	13	13	5654	2.7640822257751543	2.5499446833126553	0.08161103966689082	EVALUABLE	7.0
GSE278688	author	ADA	NK	13	13	13	3291	3.8198715316135172	3.733409224435935	0.1763028310119992	EVALUABLE	2.0
GSE278688	author	ADA	Plasma	12	6	6	325	3.09581580102023	2.983469200786664	0.20334750334750337	EVALUABLE	5.0
