gene	cohort	source_status	reason	display_top	mechanical_top	top_n	top_detection	bootstrap
RAB1B	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.36718146948122365	1.0
RAB20	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.4022003399733881	0.998
RAB21	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.3222080705382622	0.872
RAB22A	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.4914404575390931	1.0
RAB23	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.17769612414286104	1.0
RAB24	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.07022262156166394	0.889
RAB25	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.7581331600876084	1.0
RAB26	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.044898564632122745	1.0
RAB29	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.19333288992292427	1.0
RAB2A	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.7161628598439697	0.99
RAB2B	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.11630718127297117	0.995
RAB33B	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.07946101912305202	0.918
RAB34	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.5502920044084366	1.0
RAB35	Lee	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.09511975902281247	0.999
RAB36	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.04108302313710285	0.742
RAB37	Lee	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.024116247855767246	0.742
RAB38	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.032388495121309785	0.98
RAB39A	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.013434546069151943	1.0
RAB39B	Lee	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.02377869102961228	0.997
RAB3A	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.03467408661946499	0.702
RAB3B	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.043169729436817926	0.651
RAB3C	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.02883446721120283	1.0
RAB3D	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.20925164748172434	1.0
RAB4A	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.6451649145092683	1.0
RAB4B	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.16699496009563897	0.982
RAB5A	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.48570958031762024	0.521
RAB5B	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.2674634462399344	0.949
RAB5C	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.6592869426306757	0.997
