gene	human_gene_id	current_direct	current_conditional	current_unresolved	historical_retained	identity_status	RNA_effect	RNA_p_value	RNA_q_value	RNA_status	Lee_display_top	Uhlitz_display_top	Lee_shared_top	Uhlitz_shared_top	descriptive_stable_concordance	counterevidence_or_limit_cn	Lee__source_status	Lee__reason	Lee__display_top	Lee__mechanical_top	Lee__top_n	Lee__top_detection	Lee__bootstrap	Uhlitz__source_status	Uhlitz__reason	Uhlitz__display_top	Uhlitz__mechanical_top	Uhlitz__top_n	Uhlitz__top_detection	Uhlitz__bootstrap
SLC32A1	hsa:140679	True	False	False	True	DONE	-0.8326444629058612	0.00029524863743106227	0.0007039492975786901	DONE	Myeloids	暂不可定位	Myeloid	暂不可定位	False	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.010795312569771696	1.0	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Monocyte	12	0.0037474531794547063	0.997
SLC35A1	hsa:10559	True	False	False	False	DONE	-0.6601788660974778	1.5143286744731214e-05	4.614670221027559e-05	DONE	Stromal cells	Endothelial	Stromal	Epithelial	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.14089038214410687	0.825	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.2072813876402684	0.88
SLC35A2	hsa:7355	True	False	False	True	DONE	0.4695593053805547	0.000809925540502114	0.0017452370433413752	DONE	Epithelial cells	Endothelial	Epithelial	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3394816420374037	1.0	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.06704037225396801	0.917
SLC35A3	hsa:23443	True	False	False	True	DONE	-1.0471295944162322	2.7965262546903373e-07	1.3459916085659099e-06	DONE	Epithelial cells	暂不可定位	Epithelial	暂不可定位	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.46791431132673167	1.0	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial	12	0.009242093522191557	1.0
SLC35A5	hsa:55032	True	False	False	True	DONE	-0.4359686237065218	0.0001876182879305996	0.0004667797984746802	DONE	Stromal cells	Endothelial	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.12955110285557403	1.0	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.17029755368845204	0.965
SLC35B1	hsa:10237	True	False	False	True	DONE	0.20941022086219402	0.1092717984466362	0.13964013945413808	DONE	Epithelial cells	Endothelial	Epithelial	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.4911485036786562	1.0	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.29675245480831386	0.728
SLC35B4	hsa:84912	True	False	False	True	DONE	0.3902631817698558	0.004121364154394493	0.007473600491243535	DONE	Stromal cells	Endothelial	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.12114291468631701	1.0	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.191675593371138	0.972
SLC35D1	hsa:23169	True	False	False	True	DONE	-1.3955540768924388	3.277629626531197e-10	4.3281519427270935e-09	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.14932649638186188	0.57	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.19263640921413247	0.965
SLC35D2	hsa:11046	True	False	False	True	DONE	-0.7663631163861839	5.620704511081031e-06	1.8761808904108642e-05	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.35095994804534764	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.02683376625483695	0.976
SLC35D3	hsa:340146	True	False	False	False	DONE	2.4001797275830885	6.790129565763864e-08	3.7565742754043714e-07	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.03753278831576304	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.012120823591937011	1.0
