gene	source_symbol	mapping_status	source_feature_index_0based
SLC45A1	SLC45A1	EXACT_SOURCE_SYMBOL	28989.0
SLC45A2	SLC45A2	EXACT_SOURCE_SYMBOL	28990.0
SLC45A4	SLC45A4	EXACT_SOURCE_SYMBOL	28992.0
SLC47A1	SLC47A1	EXACT_SOURCE_SYMBOL	28996.0
SLC47A2	SLC47A2	EXACT_SOURCE_SYMBOL	28997.0
SLC5A1	SLC5A1	EXACT_SOURCE_SYMBOL	29016.0
SLC5A11	SLC5A11	EXACT_SOURCE_SYMBOL	29018.0
SLC5A2	SLC5A2	EXACT_SOURCE_SYMBOL	29020.0
SLC5A6	SLC5A6	EXACT_SOURCE_SYMBOL	29024.0
SLC5A8	SLC5A8	EXACT_SOURCE_SYMBOL	29026.0
SLC60A2	NA	SOURCE_GENE_NOT_FOUND	NA
SLC6A1	SLC6A1	EXACT_SOURCE_SYMBOL	29028.0
SLC6A11	SLC6A11	EXACT_SOURCE_SYMBOL	29030.0
SLC6A12	SLC6A12	EXACT_SOURCE_SYMBOL	29031.0
