gene	human_gene_id	current_direct	current_conditional	current_unresolved	historical_retained	identity_status	RNA_effect	RNA_p_value	RNA_q_value	RNA_status	Lee_display_top	Uhlitz_display_top	Lee_shared_top	Uhlitz_shared_top	descriptive_stable_concordance	counterevidence_or_limit_cn
KMT5A	hsa:387893	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Endothelial	Epithelial	Epithelial	False	不应合成一个统一的抑制建议；模型、底物和终点均需拆分
KMT5B	hsa:51111	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Endothelial	Epithelial	Stromal	False	NA
KMT5C	hsa:84787	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
KYAT1	hsa:883	True	True	False	True	DONE	1.217015979552963	6.835242741211819e-09	5.090186719719882e-08	DONE	暂不可定位	Pericytes	暂不可定位	Stromal	False	NA
KYAT3	hsa:56267	True	True	False	True	DONE	-0.091049074649172	0.14214628443700833	0.1772526307144293	DONE	暂不可定位	Pericytes	暂不可定位	Myeloid	False	NA
KYNU	hsa:8942	True	False	False	True	DONE	0.5048839656690094	0.13008802048333487	0.16340324524126212	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA
L2HGDH	hsa:79944	False	True	False	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
L3HYPDH	hsa:112849	True	False	False	True	DONE	0.5756930953785869	0.014278189759500322	0.022148396765489957	DONE	Stromal cells	Pericytes	Stromal	Stromal	True	NA
LACC1	hsa:144811	True	False	False	True	DONE	0.007244003212317524	0.9605781059735533	0.9624469349735018	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA
LALBA	hsa:3906	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
LANCL1	hsa:10314	True	False	False	True	DONE	0.4271951051713541	0.0015471138332326753	0.0031368646618694005	DONE	Stromal cells	Pericytes	Stromal	Stromal	True	NA
LAP3	hsa:51056	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Myeloids	Monocyte	Myeloid	Myeloid	True	NA
LARS1	hsa:51520	True	False	False	True	DONE	0.7848323259535576	4.154743837538771e-09	3.507693567758142e-08	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
LARS2	hsa:23395	True	False	False	True	DONE	0.6718442490961531	5.9504319667905277e-05	0.00016300385440942136	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
LCMT2	hsa:9836	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Fibroblast	Stromal	Stromal	False	NA
LCT	hsa:3938	True	False	False	True	DONE	-0.39217693283881816	0.11481886275998177	0.1456446165551493	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
LDHA	hsa:3939	False	False	True	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Endothelial	Epithelial	Stromal	False	NA
LDHAL6A	hsa:160287	False	False	True	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
LDHAL6B	hsa:92483	False	False	True	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
LDHB	hsa:3945	False	False	True	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Mast	Epithelial	Tcells	False	NA
LDHC	hsa:3948	False	False	True	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Endothelial	Epithelial	Stromal	False	NA
LDHD	hsa:197257	True	False	False	False	DONE	-3.0674978460527966	2.0724622698443608e-11	4.196154321978745e-10	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
LIAS	hsa:11019	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Endothelial	Epithelial	Stromal	False	NA
LRRC8A	hsa:56262	True	True	False	True	DONE	0.17097101133062434	0.04504237963317691	0.0628640257753011	DONE	Stromal cells	Endothelial	Stromal	Stromal	True	NA
LRRC8B	hsa:23507	True	False	False	True	DONE	0.49992269908689585	3.26387526083967e-07	1.5280870539385728e-06	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
LRRC8C	hsa:84230	True	False	False	True	DONE	-0.5067280818384878	0.009802463655851105	0.016128654258029774	DONE	Myeloids	暂不可定位	Myeloid	暂不可定位	False	NA
LRRC8D	hsa:55144	True	False	False	True	DONE	-0.25210272360008185	0.004213793796231475	0.007614399315997227	DONE	Epithelial cells	Monocyte	Epithelial	Myeloid	False	NA
LRRC8E	hsa:80131	True	False	False	True	DONE	2.2627271762995984	2.8893472452854193e-11	5.131082176972382e-10	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
LRTOMT	hsa:220074	True	False	False	True	DONE	-0.15060167008948755	0.22207601483094153	0.2659747619486858	DONE	Epithelial cells	Pericytes	Epithelial	暂不可定位	False	NA
LSG1	hsa:55341	False	True	False	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Endothelial	Epithelial	Epithelial	True	NA
LTC4S	hsa:4056	True	False	False	True	DONE	-0.792547684239641	0.0020863079678557716	0.004085355906637727	DONE	Myeloids	Mast	Myeloid	Stromal	False	NA
LYPLA1	hsa:10434	True	False	False	True	DONE	0.4141268805849243	0.00035772458889883423	0.0008336115985651567	DONE	Epithelial cells	Endothelial	Epithelial	Myeloid	False	NA
LYPLA2	hsa:11313	True	False	False	True	DONE	-0.1743234469825364	0.04477270372247608	0.06265745222031299	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
MAOA	hsa:4128	True	False	True	True	DONE	-1.9084686147821182	8.204110524601976e-12	2.3472871778722316e-10	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
MAOB	hsa:4129	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Mast	Stromal	Stromal	False	NA
MAT1A	hsa:4143	True	False	False	True	DONE	1.097573687640569	0.0017654753028067403	0.003524107678083222	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
MAT2A	hsa:4144	True	False	False	True	DONE	0.19488810882151839	0.06659668216806207	0.08885308631231079	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA
MAT2B	hsa:27430	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	T cells	Endothelial	Tcells	Tcells	True	NA
MDH1	hsa:4190	False	True	False	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Pericytes	Epithelial	Stromal	False	NA
MECOM	hsa:2122	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Endothelial	Epithelial	Epithelial	True	NA
METTL3	hsa:56339	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Endothelial	Stromal	Stromal	False	NA
METTL6	hsa:131965	False	True	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Pericytes	Stromal	Stromal	False	NA
MGAM	hsa:8972	True	False	False	True	DONE	-1.142152474640299	0.00025450368444182174	0.0006124738200352253	DONE	暂不可定位	Monocyte	暂不可定位	Myeloid	False	NA
MGAM2	hsa:93432	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	Epithelial	暂不可定位	Epithelial	False	NA
MGST1	hsa:4257	True	False	False	True	DONE	-0.32318324088151706	0.20310620026147344	0.24669738946853495	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
MGST2	hsa:4258	True	False	False	True	DONE	-0.13029880618542727	0.25691422335287195	0.30207950919344534	DONE	Epithelial cells	Endothelial	Epithelial	Epithelial	False	NA
MGST3	hsa:4259	True	False	False	True	DONE	-0.9063865007940672	3.636796299522273e-10	4.590998015339521e-09	DONE	Stromal cells	Fibroblast	Stromal	Stromal	True	NA
MINPP1	hsa:9562	True	False	False	True	DONE	-0.6418622175121502	0.0003095032335003877	0.0007345353237451596	DONE	Stromal cells	Pericytes	Stromal	Stromal	True	NA
MIOX	hsa:55586	True	False	False	False	DONE	0.20758793552875518	0.0917020043129453	0.11925891975042129	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
MOCS1	hsa:4337	True	False	False	True	DONE	-1.294347789192637	1.8017742280009889e-07	9.008871140004944e-07	DONE	Stromal cells	Pericytes	Stromal	暂不可定位	False	NA
MTAP	hsa:4507	True	False	False	True	DONE	0.8625195840806633	2.9776795460600225e-05	8.615196439443323e-05	DONE	Epithelial cells	Pericytes	Epithelial	Epithelial	False	NA
NADSYN1	hsa:55191	True	True	False	True	DONE	-0.4498522212914697	0.0001414507514162241	0.00036062939098690795	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
NAGK	hsa:55577	True	False	False	True	DONE	-0.14026021710657938	0.16983596828539418	0.20874826650830072	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA
NAGS	hsa:162417	True	True	False	True	DONE	-0.5181953518707493	0.005169835693883062	0.00899481548091141	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
NANP	hsa:140838	True	False	False	True	DONE	1.150376916073123	6.759890604365277e-05	0.0001822693016360271	DONE	Epithelial cells	Pericytes	Epithelial	Stromal	False	NA
NANS	hsa:54187	True	False	False	True	DONE	-0.6510822094541333	0.00019182263469367226	0.00047494546570789044	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
NARS1	hsa:4677	True	False	False	True	DONE	-0.34369971799790605	0.00012199203590213849	0.0003141294924480066	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
NARS2	hsa:79731	True	False	False	True	DONE	0.8884155376547059	7.751146306519821e-10	9.283349646180716e-09	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	False	NA
NAT8L	hsa:339983	True	False	False	True	DONE	-0.37167849566342914	0.00446193750233632	0.007951203507623546	DONE	暂不可定位	Monocyte	暂不可定位	Myeloid	False	NA
NEU1	hsa:4758	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Mast	Epithelial	Myeloid	False	NA
NEU2	hsa:4759	True	False	False	True	DONE	0.35593100485421664	0.04710479567934209	0.06556478317530047	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
NEU3	hsa:10825	True	False	False	True	DONE	-0.07894994554677147	0.7355022628226804	0.7746087226046634	DONE	Myeloids	暂不可定位	Myeloid	暂不可定位	False	NA
NEU4	hsa:129807	True	False	False	True	DONE	-2.364012175335457	8.342356167015631e-09	5.8058289540716894e-08	DONE	Myeloids	Epithelial	Myeloid	Epithelial	False	NA
NME1	hsa:4830	True	False	False	True	DONE	1.270308290875518	2.8588668378484188e-11	5.131082176972382e-10	DONE	Epithelial cells	Fibroblast	Epithelial	Stromal	False	NA
