key	field	review_value	pinned_value	status
KEGG:C00037|SHMT2|ER_PC12	gene	SHMT2	SHMT2	DONE
KEGG:C00037|SHMT2|ER_MonoEndoFib	rho	0.0962831268873325	0.0962831268873325	DONE
KEGG:C00037|SHMT2|ER_MonoEndoFib	ci_lower	-0.1433616670681664	-0.1433616670681664	DONE
KEGG:C00037|SHMT2|ER_MonoEndoFib	ci_upper	0.3354236774813011	0.3354236774813011	DONE
KEGG:C00037|SHMT2|ER_MonoEndoFib	p	0.484	0.484	DONE
KEGG:C00037|SHMT2|ER_MonoEndoFib	q	0.8233396039603961	0.8233396039603961	DONE
KEGG:C00037|SHMT2|ER_MonoEndoFib	n_specimens	61	61.0	DONE
KEGG:C00037|SHMT2|ER_MonoEndoFib	ER_same_subset_rho	0.1671904953888215	0.1671904953888215	DONE
KEGG:C00037|SHMT2|ER_MonoEndoFib	ER_same_subset_q	0.4804625	0.4804625	DONE
KEGG:C00037|SHMT2|ER_MonoEndoFib	gene	SHMT2	SHMT2	DONE
KEGG:C00319|SPHK1|ER_PC12	rho	0.1977650408742668	0.1977650408742668	DONE
KEGG:C00319|SPHK1|ER_PC12	ci_lower	-0.11660450812988	-0.11660450812988	DONE
KEGG:C00319|SPHK1|ER_PC12	ci_upper	0.492659474326492	0.492659474326492	DONE
KEGG:C00319|SPHK1|ER_PC12	p	0.2027	0.2027	DONE
KEGG:C00319|SPHK1|ER_PC12	q	0.6415448275862069	0.6415448275862069	DONE
KEGG:C00319|SPHK1|ER_PC12	n_specimens	45	45.0	DONE
KEGG:C00319|SPHK1|ER_PC12	ER_same_subset_rho	0.1205038662532934	0.1205038662532934	DONE
KEGG:C00319|SPHK1|ER_PC12	ER_same_subset_q	0.6776837837837838	0.6776837837837838	DONE
KEGG:C00319|SPHK1|ER_PC12	gene	SPHK1	SPHK1	DONE
KEGG:C00319|SPHK1|ER_MonoEndoFib	rho	0.3719257641770203	0.3719257641770203	DONE
KEGG:C00319|SPHK1|ER_MonoEndoFib	ci_lower	0.0609979424257051	0.0609979424257051	DONE
KEGG:C00319|SPHK1|ER_MonoEndoFib	ci_upper	0.576145397643863	0.576145397643863	DONE
KEGG:C00319|SPHK1|ER_MonoEndoFib	p	0.0148	0.0148	DONE
KEGG:C00319|SPHK1|ER_MonoEndoFib	q	0.31635	0.31635	DONE
KEGG:C00319|SPHK1|ER_MonoEndoFib	n_specimens	45	45.0	DONE
KEGG:C00319|SPHK1|ER_MonoEndoFib	ER_same_subset_rho	0.1205038662532934	0.1205038662532934	DONE
