gene	stable_gene_id	in_current_pool	history_only	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_background
AGXT2	UniProtKB:Q9BYV1	True	False	-0.2966561538394172	0.0377946350886805	0.1181680362899251	11	NOMINAL_EXPLORATORY
AHCY	UniProtKB:P23526	True	False	-0.43974812911883	0.0001337987322729	0.0221298125068847	11	FDR_SUPPORTED
AIFM1	UniProtKB:O95831	False	True	-0.0051895113769363	0.9639279631862409	0.979917289589804	11	NOT_SUPPORTED_THIS_TEST
AIFM2	UniProtKB:Q9BRQ8	False	True	-0.1660203294308108	0.0784889602714495	0.1756109461535955	11	NOT_SUPPORTED_THIS_TEST
AK4	UniProtKB:P27144	True	False	1.2593824063012362	0.0140951021455245	0.0644720412952697	11	NOMINAL_EXPLORATORY
AK9	UniProtKB:Q5TCS8	True	False	-0.0554630904818773	0.5722827054526547	0.6544158715129894	11	NOT_SUPPORTED_THIS_TEST
AKR1A1	UniProtKB:P14550	True	False	-0.0546135311903564	0.7191330604711537	0.7721143461425934	11	NOT_SUPPORTED_THIS_TEST
AKR1B1	UniProtKB:P15121	True	False	0.432053129117799	0.1340814749373712	0.2365580307823621	11	NOT_SUPPORTED_THIS_TEST
AKR1C1	UniProtKB:Q04828	False	True	0.3246617820127245	0.4613017838548632	0.5719608822940356	11	NOT_SUPPORTED_THIS_TEST
AKR1C2	UniProtKB:P52895	False	True	0.4847221276601545	0.3906679615836499	0.5188747848897394	11	NOT_SUPPORTED_THIS_TEST
AKR1C3	UniProtKB:P42330	False	True	0.4207937235997118	0.1979362030892499	0.3204325702841065	11	NOT_SUPPORTED_THIS_TEST
AKR1C4	UniProtKB:P17516	False	True	-0.0923903161047272	0.2246284896695651	0.3491508045950849	11	NOT_SUPPORTED_THIS_TEST
AKR7A2	UniProtKB:O43488	True	False	-0.2810851559582362	0.0270738164782667	0.0983416569137043	11	NOMINAL_EXPLORATORY
ALDH1A1	UniProtKB:P00352	False	True	-0.8280974886978556	0.0120563034628162	0.0702742022750811	11	NOMINAL_EXPLORATORY
ALDH1A2	UniProtKB:O94788	False	True	-0.1760618103370654	0.1542528771240393	0.274582922349431	11	NOT_SUPPORTED_THIS_TEST
ALDH1A3	UniProtKB:P47895	False	True	0.4948894936924372	0.0129049193038857	0.0702742022750811	11	NOMINAL_EXPLORATORY
ALDH1B1	UniProtKB:P30837	False	True	0.2483082930150283	0.1860802802744572	0.3058560928649125	11	NOT_SUPPORTED_THIS_TEST
ALDH2	UniProtKB:P05091	False	True	0.0677859224821791	0.7333420313279366	0.8150355736779399	11	NOT_SUPPORTED_THIS_TEST
