cohort	gene	matrix_label	method
GSE263733	LACC1	LACC1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	LARS1	LARS	UNIQUE_REVIEWED_ALIAS
GSE263733	LARS2	LARS2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	LCMT1	LCMT1	EXACT_CANONICAL
GSE263733	LCMT2	LCMT2	EXACT_CANONICAL
GSE263733	LDHA	LDHA	EXACT_CANONICAL
GSE263733	LDHAL6A	LDHAL6A	EXACT_CANONICAL
GSE263733	LDHAL6B	LDHAL6B	EXACT_CANONICAL
GSE263733	LDHB	LDHB	EXACT_CANONICAL
GSE263733	LDHC	LDHC	EXACT_CANONICAL
GSE263733	LDHD	LDHD	EXACT_CANONICAL
GSE263733	LIPA	LIPA	EXACT_CANONICAL
GSE263733	LIPC	LIPC	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	LIPE	LIPE	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	LRRC8A	LRRC8A	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	LRRC8B	LRRC8B	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	LRRC8C	LRRC8C	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	LRRC8D	LRRC8D	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	LRRC8E	LRRC8E	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	LYPLA1	LYPLA1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	LYPLA2	LYPLA2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	MBLAC2	MBLAC2	EXACT_CANONICAL
GSE263733	MDH1	MDH1	EXACT_CANONICAL
GSE263733	ME1	ME1	EXACT_CANONICAL
GSE263733	ME2	ME2	EXACT_CANONICAL
GSE263733	ME3	ME3	EXACT_CANONICAL
GSE263733	MECOM	MECOM	EXACT_CANONICAL
GSE263733	MEPCE	MEPCE	EXACT_CANONICAL
GSE263733	METTL1	METTL1	EXACT_CANONICAL
GSE263733	METTL13	METTL13	EXACT_CANONICAL
GSE263733	METTL15	METTL15	EXACT_CANONICAL
GSE263733	METTL16	METTL16	EXACT_CANONICAL
