cohort	gene	celltype	mean_expression	detection_fraction	donor_count	detected_donor_count	status	bootstrap_first_frequency
GSE263733	ACOT11	Fibroblast/CAF	1.3889253206410281	0.0660039724360453	11	10	EVALUABLE	0.0
GSE263733	ACOT11	Myeloid	1.974809002818488	0.08340858599381243	20	20	EVALUABLE	0.0
GSE263733	ACOT11	T/NK	0.8116807585134802	0.01093683268482397	20	19	EVALUABLE	0.0
GSE263733	ACOT13	Acinar	2.593719829101133	0.14914460907646032	4	4	EVALUABLE	0.043
GSE263733	ACOT13	B/Plasma	3.13639395449389	0.15343491544651003	17	17	EVALUABLE	0.0
GSE263733	ACOT13	Endothelial	3.4124748243016256	0.3154660895075932	4	4	EVALUABLE	0.017
GSE263733	ACOT13	Epithelial/Ductal	3.5414862612290974	0.5198150152846479	18	18	EVALUABLE	0.256
GSE263733	ACOT13	Fibroblast/CAF	3.4223085553989505	0.38573081777804374	11	11	EVALUABLE	0.061
GSE263733	ACOT13	Myeloid	3.6076707860956594	0.2750631536195305	20	20	EVALUABLE	0.623
GSE263733	ACOT13	T/NK	3.203784463875562	0.11516070088103984	20	20	EVALUABLE	0.0
GSE263733	ACOT2	Acinar	0.6793446218545987	0.02013090334042675	4	3	EVALUABLE	0.006
GSE263733	ACOT2	B/Plasma	0.595528042649364	0.011574444411849806	17	10	EVALUABLE	0.0
GSE263733	ACOT2	Endothelial	2.1017054859634126	0.10910116102929893	4	4	EVALUABLE	0.978
GSE263733	ACOT2	Epithelial/Ductal	0.8974463606566435	0.05605956936827832	18	18	EVALUABLE	0.0
GSE263733	ACOT2	Fibroblast/CAF	1.269461182433143	0.08314312104057807	11	8	EVALUABLE	0.005
GSE263733	ACOT2	Myeloid	1.1602563220066435	0.036286352475274855	20	20	EVALUABLE	0.002
GSE263733	ACOT2	T/NK	1.4048297534901555	0.018198396572029693	20	20	EVALUABLE	0.009
GSE263733	ACOT4	Acinar	0.4522981121707543	0.026655392518987374	4	3	EVALUABLE	0.0
GSE263733	ACOT4	B/Plasma	0.5202864219206965	0.009722373510981982	17	8	EVALUABLE	0.0
GSE263733	ACOT4	Endothelial	0.589346724627345	0.024898373983739827	4	2	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACOT4	Epithelial/Ductal	1.9192197875706742	0.17537967574995852	18	18	EVALUABLE	0.737
GSE263733	ACOT4	Fibroblast/CAF	1.5081818669944864	0.09310538634653819	11	10	EVALUABLE	0.017
GSE263733	ACOT4	Myeloid	1.5529971176792088	0.06901065088532801	20	20	EVALUABLE	0.034
GSE263733	ACOT4	T/NK	1.821073309765937	0.028316654549887667	20	20	EVALUABLE	0.212
GSE263733	ACOT7	Acinar	1.529069496033461	0.0652699256206449	4	4	EVALUABLE	0.055
GSE263733	ACOT7	B/Plasma	1.1038604886286567	0.026001525207422622	17	11	EVALUABLE	0.0
GSE263733	ACOT7	Endothelial	2.0224187891797887	0.1318453750575241	4	3	EVALUABLE	0.11
GSE263733	ACOT7	Epithelial/Ductal	2.79941880482825	0.3102811036161672	18	18	EVALUABLE	0.718
GSE263733	ACOT7	Fibroblast/CAF	1.9832515539297644	0.1421596263665015	11	9	EVALUABLE	0.003
