cohort	gene	top_celltype	second_celltype	mean_expression	detection_fraction	donor_count	bootstrap_top_frequency	bootstrap_valid_draws	eligible_categories	seed
GSE263733	AWAT2	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	NA	0		1027977293
GSE263733	BAAT	Epithelial/Ductal	Acinar	1.5655006586156548	0.12187980520676	18	1.0	1000	Acinar;Epithelial/Ductal;Myeloid;T/NK	1027977293
GSE263733	BBOX1	Epithelial/Ductal	Fibroblast/CAF	1.0055887538065673	0.0476460731099552	18	1.0	1000	Epithelial/Ductal;Fibroblast/CAF	1027977293
GSE263733	BCAT1	Myeloid	Acinar	3.762334699642029	0.3261336903229001	20	0.497	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	BCAT2	Endothelial	Epithelial/Ductal	2.9578581480479986	0.19337225801503294	4	0.755	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	BCDIN3D	Epithelial/Ductal	Endothelial	1.9929611158881637	0.19715988386926278	18	0.37	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	BEST1	Myeloid	Fibroblast/CAF	2.923413834860604	0.20479622494832853	20	1.0	1000	Acinar;B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	BUD23	Epithelial/Ductal	B/Plasma	4.5469218630217325	0.7550866142022427	18	0.998	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CAMKMT	T/NK	Epithelial/Ductal	2.165211628323456	0.045601064124138335	20	0.928	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CARM1	Endothelial	Fibroblast/CAF	3.172031206504754	0.26543205437950607	4	0.734	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CARNMT1	T/NK	Fibroblast/CAF	2.7397780384280495	0.07673434701255036	20	0.784	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CARNS1	T/NK	Fibroblast/CAF	1.7082363136599583	0.027452726282464264	20	0.753	1000	B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CDA	Endothelial	Myeloid	3.8196313030589986	0.3366978974919466	4	0.596	1000	B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CDK5RAP1	T/NK	B/Plasma	3.2252921743532754	0.12579214894799395	20	0.998	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CDKAL1	T/NK	Endothelial	2.513618197138628	0.059285725183321224	20	0.457	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CEL	Acinar	Epithelial/Ductal	8.882694312563295	0.6573171065798995	4	0.992	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CES1	Myeloid	T/NK	3.6575061596067933	0.18844127609385342	20	0.999	1000	B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CES2	Epithelial/Ductal	Fibroblast/CAF	3.656590085400762	0.5005110217449508	18	0.983	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CISD1	Fibroblast/CAF	Endothelial	4.381904796078815	0.6005495176429473	11	0.623	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CLYBL	Endothelial	T/NK	2.1338632003395634	0.08725156753336398	4	0.649	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CMPK1	Epithelial/Ductal	T/NK	5.250895624645818	0.8633317968174162	18	1.0	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CMPK2	Myeloid	Epithelial/Ductal	2.9769604887798566	0.1750152929525209	20	0.996	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CMTR1	T/NK	Endothelial	2.444071926283266	0.056724064430012044	20	0.596	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CMTR2	T/NK	Epithelial/Ductal	3.177078826365176	0.1079318629360144	20	0.908	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CNDP1	B/Plasma	Epithelial/Ductal	0.22521994468197548	0.004233367448443189	17	0.519	1000	B/Plasma;Epithelial/Ductal;Myeloid;T/NK	1027977293
GSE263733	CNDP2	Myeloid	Epithelial/Ductal	4.649633520411845	0.5482211150647032	20	1.0	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	COMT	Myeloid	Epithelial/Ductal	5.114563269900961	0.6907910133998922	20	0.761	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	COQ3	Epithelial/Ductal	Fibroblast/CAF	1.8023023892559995	0.16146816687981197	18	0.66	1000	Acinar;B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	COQ5	Fibroblast/CAF	Epithelial/Ductal	2.9951649332637627	0.31340412345425783	11	0.84	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	CRAT	Acinar	Fibroblast/CAF	3.4327379030459113	0.3355802905940167	4	0.99	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
