pathway	direction	p_value_Wu	q_contrast_Wu	overlap_n_Wu	genes_Wu	p_value_Pal	q_contrast_Pal	overlap_n_Pal	genes_Pal
HIF-1 signaling pathway	down	0.02139453432	0.1837412947	15	CAMK2G;EDN1;EGFR;EGLN3;ENO1;GAPDH;HMOX1;LDHB;LTBR;PFKP;PIK3R1;RPS6;RPS6KB2;SERPINE1;VEGFA	0.005849253068	0.1020960536	12	EDN1;EGFR;ENO1;ERBB2;GAPDH;HMOX1;LDHB;PDK1;PFKP;PIK3R1;RPS6;TF
Hedgehog signaling pathway	down	0.8499920716	1	3	BOC;IQCE;PRKACB	0.7847722809	0.978211236	2	BOC;GPR161
Hematopoietic cell lineage	down	0.0005144336554	0.01155497134	14	CD24;CSF1;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;ITGA2;ITGA5;MME	0.06084427013	0.3435911725	6	HLA-DQA1;HLA-DRB1;IL1R2;ITGA6;KIT;MME
Hepatitis B	down	0.9402275508	1	9	BID;BIRC5;CREB5;FAS;HSPG2;IRAK1;PIK3R1;TGFB1;TGFBR2	0.5061186257	0.8270326387	9	BIRC5;CCNA2;CREB3L2;CREB5;E2F3;EGR2;MYC;PCNA;PIK3R1
Hepatitis C	down	0.7181023059	0.9777120583	11	BID;CDK4;CDK6;CFLAR;CLDN1;CXCL10;EGFR;EIF2AK4;FAS;IFNAR2;PIK3R1	0.1792491605	0.5611278068	11	CDK4;CDK6;CLDN8;CXCL10;E2F3;EGFR;IFNAR2;MX1;MX2;MYC;PIK3R1
Hepatocellular carcinoma	down	0.07903764141	0.3999165205	20	CDK4;CDK6;EGFR;FZD1;FZD7;GADD45A;HGF;HMOX1;LRP5;LRP6;MET;NQO1;PIK3R1;RPS6KB2;SMARCA4;TCF7L1;TCF7L2;TGFB1;TGFBR2;TXNRD1	0.01129672205	0.1578569347	16	ACTL6A;CDK4;CDK6;CDKN2A;E2F3;EGFR;FZD7;GADD45A;GSTP1;HMOX1;LRP6;MYC;PIK3R1;SHC4;TCF7L1;TGFA
Herpes simplex virus 1 infection	down	0.848093383	1	38	B2M;BID;BIRC3;BST2;C3;CALR;CCL2;CD74;EIF2AK4;FAS;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;HLA-E;HLA-F;IFNAR2;IRAK1;ITGA5;PDIA3;PIK3R1;PML;POU2F2;SRPK1;SRSF4;TAP1;TAP2;ZNF595;ZNF677;ZNF726	0.99995867	1	9	BIRC3;C3;HLA-DQA1;HLA-DRB1;IFNAR2;NECTIN1;PIK3R1;SRPK1;ZNF90
Hippo signaling pathway	down	0.045224231	0.3071040803	20	BIRC3;BIRC5;BMP4;FZD1;FZD7;PARD3;RASSF6;SAV1;SERPINE1;SMAD1;SNAI2;TCF7L1;TCF7L2;TEAD1;TEAD2;TEAD4;TGFB1;TGFBR2;WWTR1;YAP1	0.3829668844	0.763283479	9	BIRC3;BIRC5;CCN2;FZD7;ID1;MYC;SAV1;TCF7L1;WWTR1
Homologous recombination	down	0.5706661914	0.9225043149	4	ATM;BARD1;POLD2;POLD3	0.9197401357	1	1	BABAM1
Human T-cell leukemia virus 1 infection	down	0.0003611242734	0.009169416335	36	ATM;B2M;CALR;CCNB2;CDC20;CDK4;CDKN2C;CHEK1;CREB5;FDPS;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;HLA-E;HLA-F;IL15RA;LTBR;MMP7;NRP1;PIK3R1;PPP3CA;PRKACB;TGFB1;TGFBR2;TLN1;TLN2;TSPO	0.0002750132636	0.01320063665	26	CCNA2;CCNB2;CDC20;CDK4;CDKN2A;CDKN2B;CDKN2C;CHEK1;CHEK2;CREB3L2;CREB5;E2F3;EGR2;FDPS;HLA-DQA1;HLA-DRB1;ICAM1;IL1R2;MAD2L1;MMP7;MYC;PIK3R1;PTTG1;RANBP1;SLC25A5;VDAC2
Human cytomegalovirus infection	down	0.003671516203	0.05795041791	31	AKAP13;B2M;BID;CALM1;CALR;CCL2;CDK4;CDK6;CREB5;CX3CL1;EGFR;FAS;GNAS;GNB2;GNG11;GNG12;GNG4;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;PDIA3;PIK3R1;PPP3CA;PRKACB;ROCK1;RPS6KB2;TAP1;TAP2;VEGFA	0.5007942804	0.8270326387	12	CALML3;CALML5;CDK4;CDK6;CDKN2A;CREB3L2;CREB5;CXCR4;E2F3;EGFR;MYC;PIK3R1
Human immunodeficiency virus 1 infection	down	0.01600226058	0.1507309706	27	AP1M1;ATM;B2M;BID;BST2;CALM1;CALR;CCNB2;CFL2;CHEK1;FAS;GNB2;GNG11;GNG12;GNG4;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;IRAK1;PDIA3;PIK3R1;PPP3CA;RPS6KB2;TAP1;TAP2	0.8534633715	0.9931210142	8	CALML3;CALML5;CCNB1;CCNB2;CDK1;CHEK1;CXCR4;PIK3R1
Human papillomavirus infection	down	3.876376785e-05	0.001191475812	48	ATM;CDK4;CDK6;COL1A1;COL1A2;COL4A1;COL6A1;COL6A2;COL6A3;COL9A3;CREB5;EGFR;FAS;FN1;FZD1;FZD7;GNAS;HDAC2;HES4;HES6;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;IFNAR2;ITGA2;ITGA5;ITGB1;ITGB8;LAMA4;LAMB1;LAMB3;LAMC1;MAML2;NOTCH3;OASL;PARD3;PDGFRB;PIK3R1;PKM;PRKACB;RPS6KB2;SPP1;TCF7L1;TCF7L2;TNC;VEGFA	0.003415015868	0.07495626726	28	CCNA2;CDK4;CDK6;COL2A1;COL4A1;COL4A2;COL6A1;COL6A2;CREB3L2;CREB5;EGFR;FZD7;HDAC2;HEY1;HEY2;IFNAR2;ITGA6;ITGB8;JAG1;LAMB1;LAMB3;MAML2;MX1;MX2;NOTCH3;PIK3R1;PPP2R3A;TCF7L1
Huntington disease	down	0.3959649176	0.7838763114	28	AP2M1;ATP5F1A;ATP5F1C;CLTB;COX4I1;COX5A;CREB5;GPX7;GPX8;HDAC2;MAP3K5;NDUFA4L2;NDUFS5;NRBF2;POLR2C;POLR2J3;PSMA7;PSMB2;PSMD7;SDHD;SLC1A3;SOD2;TFAM;TUBA4A;TUBB;TUBB6;UQCRH;WIPI2	0.001430819023	0.04634266316	29	AP2M1;ATP5F1B;ATP5F1C;ATP5MC3;ATP5PO;CLTA;CREB3L2;CREB5;GPX3;GPX7;HDAC2;NDUFA4L2;NDUFB5;POLR2F;POLR2H;PSMB1;PSMB2;PSMB3;SDHD;SLC25A5;SOD2;TUBA1B;TUBA1C;TUBA4A;TUBB;TUBB6;UQCRH;UQCRHL;VDAC2
Hypertrophic cardiomyopathy	down	0.03464937804	0.2491272944	10	CACNA2D1;CACNB4;DMD;EDN1;ITGA2;ITGA5;ITGB1;ITGB8;TGFB1;TPM2	0.02366494761	0.2158826678	7	DMD;EDN1;ITGA6;ITGB8;SGCB;TPM2;TPM4
IL-17 signaling pathway	down	0.3677028595	0.7622754898	9	CCL2;CCL20;CXCL1;CXCL10;CXCL2;CXCL3;HSP90B1;LCN2;MMP3	0.6511715081	0.9103757006	4	CXCL10;CXCL2;CXCL3;LCN2
Inflammatory bowel disease	down	0.002545826958	0.0431440919	11	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;IL18;TGFB1	0.7099185716	0.9409426699	2	HLA-DQA1;HLA-DRB1
Inflammatory mediator regulation of TRP channels	down	0.8248780907	1	5	CALM1;CAMK2G;GNAS;PIK3R1;PRKACB	0.7930983459	0.978211236	3	CALML3;CALML5;PIK3R1
Influenza A	down	0.007066144734	0.08970931576	23	BID;CASP1;CCL2;CDK4;CDK6;CXCL10;DNAJC3;FAS;FDPS;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;IFNAR2;IL18;PABPN1;PIK3R1;PML	0.06419102565	0.3448731246	13	CDK4;CDK6;CXCL10;FDPS;HLA-DQA1;HLA-DRB1;ICAM1;IFNAR2;KPNA2;MX1;MX2;PIK3R1;SLC25A5
Inositol phosphate metabolism	down	0.9253326809	1	4	IMPA2;MTMR2;PIK3C2G;TPI1	0.8018577485	0.9804422687	3	IMPA2;PIP4K2B;SYNJ2
Insulin resistance	down	0.9662703126	1	5	CREB5;IRS2;PIK3R1;RPS6KB2;TBC1D4	0.9318253468	1	3	CREB3L2;CREB5;PIK3R1
Insulin secretion	down	0.2914638827	0.7111929172	7	ATP1B3;CAMK2G;CHRM3;CREB5;GNAS;KCNN4;PRKACB	0.434866463	0.8054118415	4	ATP1B3;CHRM3;CREB3L2;CREB5
Insulin signaling pathway	down	0.960190973	1	7	CALM1;IRS2;PIK3R1;PRKACB;PRKAR1B;RPS6;RPS6KB2	0.8730050294	0.9948362619	5	CALML3;CALML5;PIK3R1;RPS6;SHC4
Intestinal immune network for IgA production	down	1.025476344e-06	5.409898978e-05	13	CCL28;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;IL15RA;LTBR;TGFB1	0.01256043472	0.1578569347	5	CCL28;CXCR4;HLA-DQA1;HLA-DRB1;PIGR
JAK-STAT signaling pathway	down	0.6267812829	0.9532298678	9	EGFR;FHL1;IFNAR2;IL15RA;IL20RB;IL27RA;PDGFA;PDGFRB;PIK3R1	0.3262738448	0.7299643635	7	EGFR;IFNAR2;IL27RA;LIF;MYC;PIK3R1;SOCS7
Kaposi sarcoma-associated herpesvirus infection	down	0.002041443241	0.03845815654	28	BID;C3;CALM1;CDK4;CDK6;CXCL1;CXCL2;CXCL3;FAS;GNB2;GNG11;GNG12;GNG4;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;IFNAR2;LYN;PIK3R1;PPP3CA;RCAN1;RPS27A;TCF7L1;TCF7L2;UBA52;VEGFA	0.03800392648	0.2880297586	16	C3;CALML3;CALML5;CDK4;CDK6;CXCL2;CXCL3;E2F3;ICAM1;IFNAR2;MYC;PIK3R1;RCAN1;RPS27A;TCF7L1;UBA52
Legionellosis	down	0.4374723816	0.8250901558	6	C3;CASP1;CXCL1;CXCL2;CXCL3;IL18	0.3742949049	0.7591333282	4	C3;CXCL2;CXCL3;EEF1A1
Leishmaniasis	down	0.0006396302313	0.013834965	15	C3;CYBA;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;IRAK1;ITGB1;MARCKSL1;TGFB1	0.4645641861	0.820825065	4	C3;EEF1A1;HLA-DQA1;HLA-DRB1
Leukocyte transendothelial migration	down	0.2440643916	0.6662720582	11	ACTN4;CLDN1;CYBA;ITGB1;MMP2;MSN;MYL9;PIK3R1;ROCK1;THY1;VASP	0.3962489769	0.7660394114	6	ACTN1;CLDN8;CXCR4;ICAM1;MSN;PIK3R1
Lipid and atherosclerosis	down	0.09542686095	0.4422959269	23	ABCA1;BID;CALM1;CAMK2G;CASP1;CCL2;CXCL1;CXCL2;CXCL3;CYBA;ERO1A;FAS;HSP90B1;IL18;IRAK1;LBP;LYN;MAP3K5;MMP3;PIK3R1;POU2F2;PPP3CA;SOD2	0.6056271144	0.8809121664	10	CALML3;CALML5;CXCL2;CXCL3;ERO1A;ICAM1;PIK3R1;SOD2;TANK;VLDLR
Long-term depression	down	0.8273022957	1	3	GNAS;GUCY1A1;LYN	0.5120501964	0.8270326387	3	CACNA1A;GUCY1A1;GUCY1A2
Long-term potentiation	down	0.8013407016	1	4	CALM1;CAMK2G;PPP3CA;PRKACB	0.6343496372	0.9021861507	3	CALML3;CALML5;PPP1R1A
Longevity regulating pathway	down	0.4199601706	0.8094281837	10	ATG5;CREB5;CRYAB;HDAC2;IRS2;PIK3R1;PRKACB;RPS6KB2;SESN3;SOD2	0.3371015984	0.7299643635	7	CREB3L2;CREB5;CRYAB;HDAC2;PIK3R1;SESN3;SOD2
Lysine degradation	down	0.34219146	0.7345182348	7	ACAT1;ACAT2;COLGALT1;EZH2;PLOD1;PLOD2;PLOD3	0.4936881388	0.8270326387	4	ACAT2;BBOX1;PLOD1;SUV39H2
Lysosome	down	0.7730937461	1	10	AP1M1;AP3D1;CLTB;CTSC;CTSK;CTSZ;GALNS;HEXA;LAPTM4B;LGMN	0.9449837596	1	4	CLTA;CTSC;CTSV;LAPTM4B
MAPK signaling pathway	down	0.06946230406	0.3756109775	31	CACNA2D1;CACNB4;CDC25B;CSF1;EGFR;FAS;FGF5;FGFR4;FLNA;FLNC;GADD45A;GNG12;HGF;IRAK1;MAP3K5;MAP4K4;MAPK8IP1;MET;MRAS;NTRK2;PDGFA;PDGFRB;PPP3CA;PRKACB;RASGRF1;RRAS;RRAS2;STMN1;TGFB1;TGFBR2;VEGFA	0.5347570325	0.8303053169	14	CACNA1A;DUSP6;EFNA3;EFNA5;EGFR;ERBB2;FGFR2;GADD45A;KIT;MRAS;MYC;NTRK2;STMN1;TGFA
Malaria	down	0.002249126225	0.0410465536	9	CCL2;GYPC;HGF;IL18;LRP1;MET;SDC1;SDC2;TGFB1	0.7913652041	0.978211236	1	ICAM1
Mannose type O-glycan biosynthesis	down	0.6451944743	0.9585670356	2	B3GALNT2;LARGE2	1	1	0	NA
Measles	down	0.6471423201	0.9585670356	10	BID;CDK4;CDK6;CSNK2A2;EIF2AK4;FAS;IFNAR2;IRAK1;MSN;PIK3R1	0.478944222	0.8210472376	7	CDK4;CDK6;IFNAR2;MSN;MX1;MX2;PIK3R1
Melanogenesis	down	0.3527924383	0.7492028507	9	CALM1;CAMK2G;EDN1;FZD1;FZD7;GNAS;PRKACB;TCF7L1;TCF7L2	0.1759462561	0.553798052	7	CALML3;CALML5;CREB3L2;EDN1;FZD7;KIT;TCF7L1
Melanoma	down	0.05985616293	0.3603189971	10	CDK4;CDK6;EGFR;FGF5;GADD45A;HGF;MET;PDGFA;PDGFRB;PIK3R1	0.04826760319	0.3067401843	7	CDK4;CDK6;CDKN2A;E2F3;EGFR;GADD45A;PIK3R1
Metabolism of xenobiotics by cytochrome P450	down	0.3407431175	0.7345182348	4	AKR1C1;CBR3;CYP1B1;EPHX1	0.06919942611	0.3558827628	4	CBR1;CBR3;CYP1B1;GSTP1
MicroRNAs in cancer	down	1.183514358e-05	0.0004065719911	32	ATM;CDC25B;CDK6;CYP1B1;DNMT1;EGFR;EZH2;FSCN1;GLS;HDAC2;HMGA2;HMOX1;IRS2;ITGA5;KIF23;MARCKS;MET;NOTCH3;PDGFA;PDGFRB;PIK3R1;PLAU;RDX;ROCK1;SERPINB5;SOX4;SPRY2;STMN1;TIMP3;TNC;VEGFA;VIM	5.976830446e-05	0.004303317921	22	CDK6;CDKN2A;CYP1B1;E2F3;EFNA3;EFNA5;EGFR;ERBB2;FSCN1;GLS;HDAC2;HMOX1;KIF23;MYC;NOTCH3;PIK3R1;RDX;SERPINB5;SHC4;ST14;STMN1;VIM
Mineral absorption	down	0.03457225451	0.2491272944	8	ATP1B3;FTL;HMOX1;MT1E;MT1G;MT1X;SLC34A2;SLC5A1	0.04514003266	0.3067401843	6	ATP1B3;HMOX1;MT1H;MT1X;SLC34A2;TF
Mismatch repair	down	0.390779741	0.7822281322	3	POLD2;POLD3;RFC2	0.1732272118	0.5498186882	3	MSH6;PCNA;RFC4
Mitophagy	down	0.5130592725	0.8917458784	7	ATG5;CSNK2A2;MRAS;RPS27A;RRAS;RRAS2;UBA52	0.7930983459	0.978211236	3	MRAS;RPS27A;UBA52
Morphine addiction	down	0.03068147087	0.2357628814	10	GABRE;GABRP;GNAS;GNB2;GNG11;GNG12;GNG4;PDE4D;PDE7A;PRKACB	0.544653831	0.8321295544	3	CACNA1A;GABRP;PDE4B
Mucin type O-glycan biosynthesis	down	0.1794623725	0.6011224379	4	B3GNT3;C1GALT1;GALNT2;GALNT5	0.3340408329	0.7299643635	2	C1GALT1;GALNT3
N-Glycan biosynthesis	down	0.3060988133	0.7316759429	6	ALG3;DDOST;MAN1A2;MGAT1;MGAT4B;TUSC3	0.9565946405	1	1	TUSC3
NF-kappa B signaling pathway	down	0.04723477822	0.3134671646	14	ATM;BIRC3;CFLAR;CSNK2A2;CXCL1;CXCL2;CXCL3;GADD45A;IRAK1;LBP;LTBR;LYN;PARP1;PLAU	0.3962489769	0.7660394114	6	BCL2A1;BIRC3;CXCL2;CXCL3;GADD45A;ICAM1
NOD-like receptor signaling pathway	down	0.2371327066	0.659454765	17	ATG5;BIRC3;CASP1;CASP4;CCL2;CXCL1;CXCL2;CXCL3;CYBA;GBP1;GBP2;IFI16;IFNAR2;IL18;NLRP1;SUGT1;TRIP6	0.3697466015	0.7591333282	10	BIRC3;CXCL2;CXCL3;GBP1;GBP5;IFI16;IFNAR2;RIPK2;TANK;VDAC2
Natural killer cell mediated cytotoxicity	down	0.4127052843	0.8007305183	9	BID;FAS;HLA-A;HLA-B;HLA-C;HLA-E;IFNAR2;PIK3R1;PPP3CA	0.6627150756	0.914643676	4	ICAM1;IFNAR2;PIK3R1;SHC4
Necroptosis	down	0.5577452782	0.9225043149	12	BID;BIRC3;CAMK2G;CASP1;CFLAR;FAS;FTL;H2AZ2;IFNAR2;MACROH2A2;PARP1;VPS4A	0.9178633442	1	4	BIRC3;IFNAR2;SLC25A5;VDAC2
Neuroactive ligand-receptor interaction	down	0.2121951299	0.6290454612	12	ADM;C3;CHRM3;CHRNA5;EDN1;GABRE;GABRP;GAL;NMB;P2RY6;PARD3;TSPO	0.1501593506	0.5148320593	7	C3;CHRM3;EDN1;GABRP;GAL;NMB;NMU
Neurotrophin signaling pathway	down	0.928178503	1	7	BEX3;CALM1;CAMK2G;IRAK1;MAP3K5;NTRK2;PIK3R1	0.6607554411	0.914643676	6	CALML3;CALML5;NTRK2;PIK3R1;RIPK2;SHC4
Neutrophil extracellular trap formation	down	0.4613191073	0.8472023857	13	C3;CASP1;CASP4;CLEC7A;CYBA;FGA;FGB;FGG;H2AZ2;H4C3;HDAC2;MACROH2A2;PIK3R1	0.5108602155	0.8270326387	7	C3;CLEC7A;H4C3;HDAC2;PIK3R1;SLC25A5;VDAC2
Nicotinate and nicotinamide metabolism	down	0.552925625	0.9225043149	3	NNMT;NT5E;PNP	0.8051201269	0.9804422687	1	NNMT
Non-alcoholic fatty liver disease	down	0.7580978399	0.9971376994	12	BID;COX4I1;COX5A;FAS;IRS2;MAP3K5;NDUFA4L2;NDUFS5;PIK3R1;SDHD;TGFB1;UQCRH	0.8692801026	0.9948362619	6	NDUFA4L2;NDUFB5;PIK3R1;SDHD;UQCRH;UQCRHL
Non-small cell lung cancer	down	0.3402955131	0.7345182348	8	CDK4;CDK6;EGFR;EML4;GADD45A;HGF;MET;PIK3R1	0.01945524711	0.2155042757	9	CDK4;CDK6;CDKN2A;E2F3;EGFR;ERBB2;GADD45A;PIK3R1;TGFA
Notch signaling pathway	down	0.6030445584	0.948595532	5	DTX2;HDAC2;MAML2;NOTCH3;TLE1	0.003643707436	0.07495626726	9	DLL3;HDAC2;HEY1;HEY2;JAG1;MAML2;NOTCH3;TLE1;TLE4
Nucleotide excision repair	down	0.6675374099	0.9640846464	4	POLD2;POLD3;RAD23A;RFC2	0.5285090745	0.8303053169	3	PCNA;RAD23A;RFC4
Olfactory transduction	down	0.1794623725	0.6011224379	4	CALM1;CAMK2G;PRKACB;RGS2	0.4065350879	0.7709336068	2	CALML3;CALML5
One carbon pool by folate	down	0.5596051865	0.9225043149	2	MTHFD1L;TYMS	0.02225374418	0.2158826678	4	DHFR;GART;MTHFD1L;TYMS
Oocyte meiosis	down	0.4798970708	0.8544508821	11	CALM1;CAMK2G;CCNB2;CDC20;MAD2L2;PKMYT1;PLK1;PPP3CA;PRKACB;SGO1;SMC3	0.07168699502	0.3594307001	11	CALML3;CALML5;CCNB1;CCNB2;CDC20;CDK1;FBXO5;MAD2L1;PLK1;PTTG1;SMC1B
Osteoclast differentiation	down	0.5180619563	0.8977690875	10	CSF1;CTSK;CYBA;IFNAR2;PIK3R1;PPP3CA;SIRPA;TGFB1;TGFBR2;TNFRSF11B	0.9842185604	1	2	IFNAR2;PIK3R1
Other glycan degradation	down	0.8001329814	1	1	HEXA	1	1	0	NA
Other types of O-glycan biosynthesis	down	0.1257122368	0.5025622839	6	C1GALT1;COLGALT1;GALNT2;GALNT5;PLOD3;XXYLT1	0.3529015468	0.7446339612	3	C1GALT1;GALNT3;XXYLT1
Ovarian steroidogenesis	down	0.3407431175	0.7345182348	4	CYP1B1;GNAS;HSD17B2;PRKACB	0.5384548166	0.8303053169	2	AKR1C3;CYP1B1
Oxidative phosphorylation	down	0.8886261408	1	8	ATP5F1A;ATP5F1C;COX4I1;COX5A;NDUFA4L2;NDUFS5;SDHD;UQCRH	0.09812964141	0.4095845902	11	ATP5F1B;ATP5F1C;ATP5MC3;ATP5MG;ATP5PO;NDUFA4L2;NDUFB5;PPA1;SDHD;UQCRH;UQCRHL
Oxytocin signaling pathway	down	0.1874713174	0.6048798307	14	CACNA2D1;CACNB4;CALM1;CAMK2G;EGFR;GNAS;GUCY1A1;MYL9;MYLK;PPP3CA;PRKACB;RCAN1;RGS2;ROCK1	0.4896508475	0.8270326387	7	CALML3;CALML5;EGFR;GUCY1A1;GUCY1A2;MYLK;RCAN1
PD-L1 expression and PD-1 checkpoint pathway in cancer	down	0.7878381273	1	6	CSNK2A2;EGFR;EML4;PIK3R1;PPP3CA;RPS6KB2	0.9469808677	1	2	EGFR;PIK3R1
PI3K-Akt signaling pathway	down	0.0004220215528	0.009858423473	42	CDC37;CDK4;CDK6;COL1A1;COL1A2;COL4A1;COL6A1;COL6A2;COL6A3;COL9A3;CREB5;CSF1;EGFR;FGF5;FGFR4;FN1;GNB2;GNG11;GNG12;GNG4;HGF;HSP90B1;IFNAR2;ITGA2;ITGA5;ITGB1;ITGB8;LAMA4;LAMB1;LAMB3;LAMC1;MET;NTRK2;PDGFA;PDGFRB;PIK3R1;RPS6;RPS6KB2;SGK1;SPP1;TNC;VEGFA	0.0016731473	0.04818664224	27	CDK4;CDK6;COL2A1;COL4A1;COL4A2;COL6A1;COL6A2;CREB3L2;CREB5;EFNA3;EFNA5;EGFR;ERBB2;FGFR2;IFNAR2;ITGA6;ITGB8;KIT;LAMB1;LAMB3;MYC;NTRK2;PIK3R1;PPP2R3A;RPS6;SGK1;TGFA
PPAR signaling pathway	down	0.09321443706	0.4354978499	9	ACSL1;ACSL5;ANGPTL4;FABP3;FABP7;HMGCS2;ME1;PLIN2;PLTP	0.04005028974	0.2957559858	7	DBI;FABP5;FABP7;FADS2;ME1;PLIN2;PLTP
Pancreatic cancer	down	0.3527924383	0.7492028507	9	CDK4;CDK6;EGFR;GADD45A;PIK3R1;RPS6KB2;TGFB1;TGFBR2;VEGFA	0.02072035158	0.2158826678	10	CDK4;CDK6;CDKN2A;E2F3;EGFR;ERBB2;GADD45A;PIK3R1;PLD1;TGFA
Pancreatic secretion	down	0.7482792771	0.9971376994	4	ATP1B3;CHRM3;CLCA2;GNAS	0.3742949049	0.7591333282	4	ATP1B3;CHRM3;CLCA2;PLA2G2A
Pantothenate and CoA biosynthesis	down	1	1	0	NA	1	1	0	NA
Parathyroid hormone synthesis, secretion and action	down	0.2090529096	0.6260866627	11	AKAP13;CREB5;EGFR;GNAS;LRP5;LRP6;MAFB;MMP14;PDE4D;PRKACB;SLC34A2	0.147354005	0.5113006439	8	CREB3L2;CREB5;EGFR;LRP6;NACA;PDE4B;PLD1;SLC34A2
Parkinson disease	down	0.4569084211	0.8444130314	22	ATP5F1A;ATP5F1C;CALM1;CAMK2G;COX4I1;COX5A;GNAS;MAP3K5;NDUFA4L2;NDUFS5;PRKACB;PSMA7;PSMB2;PSMD7;RPS27A;SDHD;TUBA4A;TUBB;TUBB6;UBA52;UCHL1;UQCRH	0.004031333154	0.07955326109	24	ATP5F1B;ATP5F1C;ATP5MC3;ATP5PO;CALML3;CALML5;NDUFA4L2;NDUFB5;PSMB1;PSMB2;PSMB3;RPS27A;SDHD;SLC25A5;TUBA1B;TUBA1C;TUBA4A;TUBB;TUBB6;UBA52;UCHL1;UQCRH;UQCRHL;VDAC2
Pathogenic Escherichia coli infection	down	0.07792766953	0.3992084123	23	ACTR3B;ARPC1B;ARPC2;CASP1;CASP4;CLDN1;FAS;GAPDH;IL18;IRAK1;ITGB1;MYH9;MYO10;MYO1B;MYO1E;NCL;ROCK1;RPS3;TJP1;TUBA4A;TUBB;TUBB6;WASF2	0.6215539278	0.8905847324	10	ACTR3B;CLDN8;GAPDH;MYO10;RPS3;TUBA1B;TUBA1C;TUBA4A;TUBB;TUBB6
Pathways in cancer	down	0.009090411832	0.1063979632	57	BID;BIRC3;BIRC5;BMP4;CALM1;CAMK2G;CDK4;CDK6;CKS1B;COL4A1;EDN1;EGFR;EGLN3;EML4;FAS;FGF5;FGFR4;FN1;FZD1;FZD7;GADD45A;GNAS;GNB2;GNG11;GNG12;GNG4;HDAC2;HGF;HMOX1;HSP90B1;IFNAR2;IL15RA;ITGA2;ITGB1;LAMA4;LAMB1;LAMB3;LAMC1;LRP5;LRP6;MET;MMP2;NOTCH3;NQO1;PDGFA;PDGFRB;PIK3R1;PML;PRKACB;ROCK1;RPS6KB2;TCF7L1;TCF7L2;TGFB1;TGFBR2;TXNRD1;VEGFA	0.0009287584035	0.03566432269	41	BIRC3;BIRC5;CALML3;CALML5;CCNA2;CDK4;CDK6;CDKN2A;CDKN2B;CKS1B;COL4A1;COL4A2;CXCR4;DAPK1;DLL3;E2F3;EDN1;EGFR;ERBB2;FGFR2;FZD7;GADD45A;GSTP1;HDAC2;HEY1;HEY2;HMOX1;IFNAR2;ITGA6;JAG1;KIT;LAMB1;LAMB3;LRP6;MSH6;MYC;NOTCH3;PIK3R1;PLD1;TCF7L1;TGFA
Pathways of neurodegeneration	down	0.488176753	0.8639249205	39	ATP5F1A;ATP5F1C;BID;CALM1;CAMK2G;CHRM3;COX4I1;COX5A;CSF1;CSNK2A2;DKK1;FAS;FZD1;FZD7;GPX7;GPX8;LRP5;LRP6;MAP3K5;NDUFA4L2;NDUFS5;NEFL;NRBF2;PPP3CA;PRNP;PSMA7;PSMB2;PSMD7;RPS27A;SDHD;SIGMAR1;TOMM40;TUBA4A;TUBB;TUBB6;UBA52;UCHL1;UQCRH;WIPI2	0.04482269668	0.3067401843	32	ATP5F1B;ATP5F1C;ATP5MC3;ATP5PO;CALML3;CALML5;CHRM3;DKK1;FZD7;GPX3;GPX7;LRP6;NDUFA4L2;NDUFB5;NEFH;PSMB1;PSMB2;PSMB3;RPS27A;SDHD;SLC25A5;TANK;TUBA1B;TUBA1C;TUBA4A;TUBB;TUBB6;UBA52;UCHL1;UQCRH;UQCRHL;VDAC2
Pentose phosphate pathway	down	0.01031526764	0.1115577093	7	DERA;G6PD;GPI;PFKP;PGD;PGM1;TKT	0.4750019792	0.8210472376	2	PFKP;PGM1
Peroxisome	down	0.4361920201	0.8250901558	8	ACSL1;ACSL5;AMACR;IDH2;MPV17L2;PRDX5;SOD2;XDH	0.8410992011	0.9857714168	3	PEX13;PRDX1;SOD2
