pathway	direction	p_value_Wu	q_contrast_Wu	overlap_n_Wu	genes_Wu	p_value_Pal	q_contrast_Pal	overlap_n_Pal	genes_Pal
Neutrophil extracellular trap formation	up	0.5818831889	0.9281239336	11	GSDMD;H2AC15;H2AC20;H2AC6;H2AJ;H2BC18;H2BC21;H2BC5;H3-3B;H3-5;VDAC1	0.07381215807	0.3642282733	14	CAMP;CYBA;GSDMD;H2AC19;H2AJ;H2BC12;H2BC18;H2BC5;H3C10;H4C11;HDAC11;MAPK3;PLCB1;RAC2
Nicotinate and nicotinamide metabolism	up	0.1141191876	0.4794647882	5	ENPP1;NADK2;NT5C;NUDT12;SIRT3	0.05939374617	0.3408041354	5	NADSYN1;NAPRT;NT5C;NUDT12;SIRT3
Non-alcoholic fatty liver disease	up	0.2150577028	0.6311241126	16	COX6A1;COX6C;COX7C;IKBKB;INSR;IRS1;NDUFA2;NDUFA5;NDUFB2;NDUFB8;NDUFV2;SOCS3;SREBF1;UQCR11;UQCRQ;XBP1	0.08054994588	0.3784094779	17	CDC42;COX6A1;COX6C;COX7A1;FOS;IKBKB;IRS1;JUN;NDUFA13;NDUFA2;NDUFB10;RXRA;SREBF1;TGFB1;UQCR11;UQCRQ;XBP1
Non-small cell lung cancer	up	0.4042405976	0.7922030503	7	BRAF;EGF;FHIT;GADD45B;GADD45G;GRB2;POLK	0.3250946599	0.7299643635	7	GADD45B;GADD45G;HRAS;MAPK3;RB1;RET;RXRA
Notch signaling pathway	up	0.7129738458	0.9777120583	4	CIR1;LFNG;NCSTN;PSENEN	0.6397985517	0.9054642893	4	LFNG;PSEN2;RBPJ;TLE3
Nucleotide excision repair	up	0.392425669	0.7822281322	5	CCNH;CDK7;CETN2;GTF2H5;POLD4	0.9812536576	1	1	POLD4
Olfactory transduction	up	1	1	0	NA	0.2930744601	0.7207172061	3	ARRB1;CAMK2B;GRK2
One carbon pool by folate	up	0.5107675372	0.8904126619	2	AMT;MTHFD2L	1	1	0	NA
Oocyte meiosis	up	0.4962661072	0.8729500199	10	ADCY1;ANAPC11;ANAPC13;CDC23;CPEB3;CPEB4;IGF1R;PGR;PPP2CA;SKP1	0.5783745052	0.8564105784	9	ADCY1;ADCY9;CAMK2B;CPEB2;CPEB4;MAPK3;PGR;SKP1;YWHAZ
Osteoclast differentiation	up	0.8940294706	1	6	ACP5;FHL2;GRB2;IKBKB;JUND;SOCS3	0.7135706356	0.9409426699	7	CYBA;FOS;FOSB;IKBKB;JUN;MAPK3;TGFB1
Other glycan degradation	up	0.4146469602	0.8018338569	2	AGA;NEU1	0.3976489306	0.7660394114	2	MAN2B2;NEU1
Other types of O-glycan biosynthesis	up	0.3929222989	0.7822281322	4	B4GALT1;GALNT7;LFNG;OGT	0.5608789521	0.8435150821	3	B4GALT1;GALNT6;LFNG
Ovarian steroidogenesis	up	0.04795535708	0.3146733543	6	ACOT4;ADCY1;CGA;IGF1R;INSR;PLA2G4C	0.09046392642	0.3947516789	5	ACOT2;ACOT4;ADCY1;ADCY9;CGA
Oxidative phosphorylation	up	0.01416644151	0.1426414111	18	ATP5MC2;ATP5ME;ATP6AP1;ATP6V1C1;ATP6V1G1;ATP6V1H;COX11;COX17;COX6A1;COX6C;COX7C;NDUFA2;NDUFA5;NDUFB2;NDUFB8;NDUFV2;UQCR11;UQCRQ	0.1061256455	0.433534552	14	ATP5F1E;ATP5ME;ATP6AP1;ATP6V1C1;ATP6V1H;COX6A1;COX6C;COX7A1;NDUFA13;NDUFA2;NDUFB10;TCIRG1;UQCR11;UQCRQ
Oxytocin signaling pathway	up	0.8758407779	1	7	ADCY1;CACNG4;GUCY1A2;KCNJ3;NFATC4;PLA2G4C;RHOA	0.06466371086	0.3448731246	14	ADCY1;ADCY9;CACNA1D;CACNG4;CAMK2B;FOS;GNAI1;HRAS;JUN;KCNJ3;MAPK3;NFATC3;NFATC4;PLCB1
PD-L1 expression and PD-1 checkpoint pathway in cancer	up	0.9756426112	1	3	EGF;IKBKB;RPS6KB1	0.2815721728	0.7107531368	8	BATF;CD3D;FOS;HRAS;IKBKB;JUN;MAPK3;NFATC3
PI3K-Akt signaling pathway	up	0.02904406715	0.2323525372	32	BCL2;CDKN1B;CHAD;COL9A2;CREB3L4;CSF3R;EFNA1;EGF;EIF4E;ERBB3;ERBB4;FGF10;FGF2;FGFR3;G6PC3;GRB2;IGF1R;IKBKB;INSR;IRS1;KITLG;LAMB2;MAGI1;MDM2;MYB;PPP2CA;PRLR;PTK2;RBL2;RPS6KB1;SGK3;THBS1	0.03010877789	0.258525293	29	AREG;BCL2L1;CHAD;COL1A1;CREB3L1;CREB3L4;CSF3R;EIF4E;EIF4EBP1;ERBB4;EREG;FGFR1;FGFR3;G6PC3;HRAS;IKBKB;IL7R;IRS1;ITGA3;KITLG;LAMA5;MAPK3;MYB;PPP2R2C;RXRA;SGK3;THBS1;TSC2;YWHAZ
PPAR signaling pathway	up	0.2357477218	0.6587400455	7	ACOX1;ACOX2;ACOX3;PLIN5;SLC27A2;UBC;UCP1	0.1488732371	0.5134789496	7	ACOX2;APOA1;FABP3;PLIN5;RXRA;SLC27A4;UBC
Pancreatic cancer	up	0.4005254997	0.7875652923	8	BRAF;EGF;GADD45B;GADD45G;IKBKB;POLK;RAC3;RPS6KB1	0.2097012508	0.601513566	9	BCL2L1;CDC42;GADD45B;GADD45G;IKBKB;MAPK3;RAC2;RB1;TGFB1
Pancreatic secretion	up	0.0819446994	0.4021487769	8	ADCY1;ATP1A4;ATP2A3;CA2;PLA2G10;PLA2G12A;RAB27B;RHOA	0.02281428739	0.2158826678	9	ADCY1;ADCY9;ATP2A3;CA2;CPB1;PLA2G10;PLCB1;RAB27B;SLC12A2
Pantothenate and CoA biosynthesis	up	0.1586878435	0.5680292627	3	ALDH3A2;ENPP1;PANK3	0.3976489306	0.7660394114	2	ALDH2;COASY
Parathyroid hormone synthesis, secretion and action	up	0.2323586665	0.6523916404	10	ADCY1;BCL2;BRAF;CREB3L4;EGR1;GATA3;GNA13;JUND;MEF2D;RHOA	0.04999320491	0.3067401843	12	ADCY1;ADCY9;ARRB1;CREB3L1;CREB3L4;FGFR1;FOS;GATA3;GNAI1;MAPK3;PLCB1;RXRA
Parkinson disease	up	0.1619937253	0.5733596095	24	ATF6;ATP5MC2;COX6A1;COX6C;COX7C;DUSP1;MAOB;MAPT;NDUFA2;NDUFA5;NDUFB2;NDUFB8;NDUFV2;PSMA1;PSMC5;TUBA3D;TUBA3E;UBB;UBC;UBE2G1;UQCR11;UQCRQ;VDAC1;XBP1	0.3817684338	0.763283479	20	ADRM1;ATP5F1E;BCL2L1;CAMK2B;COX6A1;COX6C;COX7A1;DUSP1;GNAI1;MAOB;MAPT;NDUFA13;NDUFA2;NDUFB10;PINK1;TH;UBC;UQCR11;UQCRQ;XBP1
Pathogenic Escherichia coli infection	up	0.5911573607	0.9355986413	15	ARPC4;BRK1;CLDN15;EZR;GNA13;IKBKB;MYO6;OCLN;PYCARD;RHOA;SEC24B;TMBIM6;TUBA3D;TUBA3E;WASL	0.7032044983	0.9409426699	13	ARPC1B;CDC42;CLDN3;CLDN7;CLDN9;CTTN;EZR;FOS;IKBKB;JUN;MAPK3;NAIP;PYCARD
