cohort	contrast	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	library	p_resolution_note
Pal2021_reprocessed	high_vs_low_detected	prerank	Endometrial cancer	-0.3566888384185159	-0.9840336788648749	0.5612449799196787	0.8691084795212799	1.0	24/53	36.27%	MYC;PIK3R1;TCF7L2;GADD45A;CCND1;TCF7L1;EGFR;BAX;FOXO3;RAF1;CDKN1A;KRAS;ELK1;MAP2K1;ERBB2;PIK3CA;MAP2K2;PTEN;GSK3B;DDB2;AKT2;MAPK1;CTNNB1;MLH1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Allograft rejection	-0.40046724139964673	-0.9809591864092698	0.5368421052631579	0.8706017617765003	1.0	12/18	47.21%	HLA-DQA1;HLA-F;HLA-DQB1;HLA-DRB1;HLA-DMA;HLA-DOB;FAS;HLA-DPA1;HLA-E;HLA-DRA;TNF;HLA-DPB1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Graft-versus-host disease	-0.40046724139964673	-0.9809591864092698	0.5368421052631579	0.8706017617765003	1.0	12/18	47.21%	HLA-DQA1;HLA-F;HLA-DQB1;HLA-DRB1;HLA-DMA;HLA-DOB;FAS;HLA-DPA1;HLA-E;HLA-DRA;TNF;HLA-DPB1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	AMPK signaling pathway	-0.3388520338973273	-0.9799017720038526	0.559	0.8699849151156893	1.0	35/95	34.16%	RHEB;CREB3L2;EEF2;RAB10;PIK3R1;PFKP;CCND1;RAB8A;PPP2CB;PPP2R3A;CCNA2;PPP2R1A;CREB5;ADIPOR1;PFKL;FOXO3;PRKAA1;IRS2;PPP2R2A;TBC1D1;ELAVL1;PPP2R1B;PFKM;CREB3;PPP2R3B;MAP3K7;RAB14;PIK3CA;PPP2R5E;PRKAA2;PRKAB2;AKT1S1;PCK2;PRKAG2;AKT2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Legionellosis	-0.3565583368628675	-0.9795460556268414	0.5498489425981873	0.8665402904399591	1.0	21/47	35.79%	EEF1A1;ARF1;HSPD1;CYCS;RAB1A;SAR1A;C3;CXCL2;VCP;HBS1L;IL18;CASP1;HSPA8;CXCL3;NFKBIA;TLR2;NFKB1;SEC22B;HSF1;TLR5;RELA	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Yersinia infection	-0.33112994024325687	-0.9764268197977065	0.568	0.8731410003876312	1.0	47/117	37.94%	ACTR3B;ITGB1;ARPC2;ARPC5;ARPC1A;WASF2;PIK3R1;ARPC5L;IRAK1;ACTR3;RHOA;NFATC1;PKN2;ARF6;RAC3;ARPC3;SKAP2;IL18;CASP1;ACTR2;MAP2K3;MAP2K1;NFKBIA;MAPK12;MAP3K7;ACTG1;RPS6KA1;PIK3CA;ARHGEF28;MAPK13;PIP5K1A;MAP2K2;ARPC4;GSK3B;NFKB1;WIPF3;ARHGEF1;GNAQ;AKT2;CRK;MAPK1;RELA;MAP2K7;ARHGEF12;MAPK14;IKBKG;TAB2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Phospholipase D signaling pathway	-0.3355324083299995	-0.9760098423284466	0.584	0.87003478199902	1.0	44/104	38.70%	RHEB;ARF1;SPHK1;KIT;MRAS;RALA;PLPP2;PIK3R1;RHOA;SHC4;EGFR;PLD1;ARF6;RAF1;GNAS;PDGFRA;KRAS;AGT;PLPP3;PDGFC;LPAR2;RALGDS;MAP2K1;PIK3CA;AGPAT1;PRKCA;LPAR3;ADCY4;PIP5K1A;MAP2K2;PTPN11;SHC1;CYTH3;DNM1;AKT2;PLCG2;GAB2;GAB1;MAPK1;AGPAT3;CYTH1;AGPAT5;SOS2;RRAS	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Vascular smooth muscle contraction	-0.34146007693759073	-0.9745031634457842	0.5815815815815816	0.870689203164357	1.0	38/86	37.72%	CALD1;CALML3;GUCY1A1;CALM2;CALML5;MYL6B;PPP1CC;RHOA;GUCY1A2;EDN1;ITPR2;RAF1;MYLK;ACTG2;GNAS;RAMP2;MYH9;GUCY1B1;PPP1CA;PPP1CB;ITPR3;PRKACA;AGT;MAP2K1;PRKCA;ADCY4;KCNMA1;MAP2K2;MYL9;ARHGEF1;GNAQ;CALM1;MAPK1;ADORA2B;PPP1R12A;ARHGEF12;EDN2;ACTA2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Hepatitis B	-0.3318313228363179	-0.9707903085176958	0.613	0.8788946430311457	1.0	75/132	48.12%	CREB3L2;YWHAQ;ATF4;MYC;PCNA;CYCS;PIK3R1;STAT3;E2F3;BIRC5;IRAK1;NFATC1;CCNA2;CREB5;BAX;STAT1;EGR2;RAF1;IFNAR1;BID;CDKN1A;HSPG2;CREB3;KRAS;SMAD4;E2F2;MAP2K3;ELK1;MAP2K1;IFIH1;CDK2;NFKBIA;MAPK12;MAP3K7;VDAC3;FAS;PIK3CA;TLR2;CCNE2;TGFBR2;PRKCA;MAPK13;MAP2K2;TGFBR1;NFKB1;DDB2;AKT2;MAPK1;RELA;MAP2K7;MAPK14;CCNE1;IKBKG;TGFB2;TAB2;SOS2;EP300;TICAM1;APAF1;CREB1;MYD88;E2F1;ATF2;PIK3R3;TBK1;YWHAB;CASP8;STAT5A;BAD;TNF;BRAF;NRAS;TYK2;TRAF3;MAP2K6	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Circadian entrainment	-0.3452966279892887	-0.9657976644375688	0.583	0.8916703949191909	1.0	24/57	35.69%	CALML3;GUCY1A1;CALM2;CALML5;GNG5;GNB2;GNG12;GUCY1A2;GNAI3;GNAS;GUCY1B1;RYR1;GNAI2;ITPR3;CAMK2D;PRKACA;GNB4;GNB5;PRKCA;ADCY4;GNAQ;CALM1;MAPK1;CAMK2G	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Toxoplasmosis	-0.33013902608234	-0.9597383285636166	0.601	0.9072601334304469	1.0	42/88	37.94%	ITGB1;ITGA6;IFNGR2;CYCS;STAT3;BIRC3;IRAK1;IFNGR1;LAMB3;TNFRSF1A;GNAI3;STAT1;LAMB1;HLA-DQA1;LAMC1;LAMC2;GNAI2;BIRC2;HLA-DQB1;HLA-DRB1;HSPA8;PPIF;MAP2K3;NFKBIA;MAPK12;MAP3K7;HLA-DMA;HLA-DOB;TLR2;MAPK13;NFKB1;AKT2;HLA-DPA1;LAMA4;MAPK1;RELA;LDLR;NFKBIB;MAPK14;IKBKG;TGFB2;TAB2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Chemical carcinogenesis	-0.3265521639249954	-0.9583357610987069	0.642	0.9073205548289245	1.0	69/138	43.23%	GSTP1;MGST1;CBR1;CREB3L2;ATF4;KLF5;CACNA1A;MYC;KPNA2;MGST3;PIK3R1;HSP90B1;CCND1;STAT3;BIRC5;CYP1B1;JAG1;EGFR;PTGES3;DLL3;CREB5;GNAI3;KPNA6;EPHX3;EPHX2;RAF1;CDC6;GNAS;BCL6;EPHX1;KPNA4;VEGFA;CREB3;NOTCH2;KRAS;GNAI2;PRKACA;PPARA;GSTO2;MAP2K1;KPNB1;CDC25A;RPS6KA1;FGF2;PIK3CA;PRKCA;ADCY4;MAP2K2;NFKB1;KPNA5;AKT2;HSP90AB1;MAPK1;RELA;GSTA4;RPS6KB2;GSTO1;VDR;GSTK1;SOS2;EPHX4;XIAP;AIP;CREB1;MGST2;E2F1;HSD11B1L;ATF2;PIK3R3	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Intestinal immune network for IgA production	-0.37732193869889863	-0.9583210546780694	0.5742268041237113	0.9025817343484915	1.0	14/22	47.21%	CXCR4;LTBR;HLA-DQA1;CCL28;HLA-DQB1;HLA-DRB1;HLA-DMA;HLA-DOB;TNFSF13B;HLA-DPA1;HLA-DRA;PIGR;IL15;HLA-DPB1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
