gene	exact_symbol_in_CAMP	status	reason
PNP	True	DONE	exact_symbol_only_no_alias_expansion
PPA1	True	DONE	exact_symbol_only_no_alias_expansion
PPA2	True	DONE	exact_symbol_only_no_alias_expansion
PRODH	True	DONE	exact_symbol_only_no_alias_expansion
PRODH2	True	DONE	exact_symbol_only_no_alias_expansion
PTGS1	True	DONE	exact_symbol_only_no_alias_expansion
PTGS2	True	DONE	exact_symbol_only_no_alias_expansion
PUDP	True	DONE	exact_symbol_only_no_alias_expansion
PYCR1	True	DONE	exact_symbol_only_no_alias_expansion
PYCR2	True	DONE	exact_symbol_only_no_alias_expansion
PYCR3	True	DONE	exact_symbol_only_no_alias_expansion
RBKS	True	DONE	exact_symbol_only_no_alias_expansion
RFK	True	DONE	exact_symbol_only_no_alias_expansion
SDHA	True	DONE	exact_symbol_only_no_alias_expansion
SDHB	True	DONE	exact_symbol_only_no_alias_expansion
SDHC	True	DONE	exact_symbol_only_no_alias_expansion
SDHD	True	DONE	exact_symbol_only_no_alias_expansion
SHMT1	True	DONE	exact_symbol_only_no_alias_expansion
SHMT2	True	DONE	exact_symbol_only_no_alias_expansion
SLC13A3	True	DONE	exact_symbol_only_no_alias_expansion
SLC22A2	True	DONE	exact_symbol_only_no_alias_expansion
SLC22A4	True	DONE	exact_symbol_only_no_alias_expansion
SLC25A10	True	DONE	exact_symbol_only_no_alias_expansion
SLC25A20	True	DONE	exact_symbol_only_no_alias_expansion
SLC29A2	True	DONE	exact_symbol_only_no_alias_expansion
SLC47A1	True	DONE	exact_symbol_only_no_alias_expansion
SLC47A2	True	DONE	exact_symbol_only_no_alias_expansion
SLC5A10	True	DONE	exact_symbol_only_no_alias_expansion
SLC6A6	True	DONE	exact_symbol_only_no_alias_expansion
SLC6A8	True	DONE	exact_symbol_only_no_alias_expansion
SLC7A11	True	DONE	exact_symbol_only_no_alias_expansion
SOAT1	True	DONE	exact_symbol_only_no_alias_expansion
SOAT2	True	DONE	exact_symbol_only_no_alias_expansion
SORD	True	DONE	exact_symbol_only_no_alias_expansion
SPHK1	True	DONE	exact_symbol_only_no_alias_expansion
SPHK2	True	DONE	exact_symbol_only_no_alias_expansion
SQLE	True	DONE	exact_symbol_only_no_alias_expansion
SUCLA2	True	DONE	exact_symbol_only_no_alias_expansion
SUCLG1	True	DONE	exact_symbol_only_no_alias_expansion
SUCLG2	True	DONE	exact_symbol_only_no_alias_expansion
TAT	True	DONE	exact_symbol_only_no_alias_expansion
UPB1	True	DONE	exact_symbol_only_no_alias_expansion
UPP1	True	DONE	exact_symbol_only_no_alias_expansion
UPP2	True	DONE	exact_symbol_only_no_alias_expansion
