cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	study	partition	celltype	human_gene_id	n_donors	n_cells	mean_expression	mean_detection_fraction	expression_scale	row_scaled
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	NT5C3B	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.1904912684765023	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:115024	22	17456	0.1904912684765023	0.37780179641363953	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.6586919592424052
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	NT5DC4	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.008148933964558767	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:284958	22	17456	0.008148933964558767	0.021676947077176698	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	1.0
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	NT5E	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.08813186241850648	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:4907	22	17456	0.08813186241850648	0.17880734790717218	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.5446782701552865
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	NT5M	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.005072361541822456	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:56953	22	17456	0.005072361541822456	0.014801821167675826	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.7507523682058723
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	NUDT16	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.1558047393138916	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:131870	22	17456	0.1558047393138916	0.32428438526544034	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	1.0
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	NUDT2	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.21577493670385792	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:318	22	17456	0.21577493670385792	0.41220770320134625	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	1.0
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	OAT	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.2994642155143674	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:4942	22	17456	0.2994642155143674	0.48304168687178384	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.710290190996149
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	OGT	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.18049077471805972	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:8473	22	17456	0.18049077471805972	0.34337723859655217	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	1.0
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	OPLAH	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.05768807922541814	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:26873	22	17456	0.05768807922541814	0.13010785343134143	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	1.0
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	OXCT1	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.045549046921325324	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:5019	22	17456	0.045549046921325324	0.1083011197981592	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.47809406821198963
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	OXCT2	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.0035703983272984577	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:64064	22	17456	0.0035703983272984577	0.008993389683736887	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.173604858901439
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	P4HA1	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.19499732336335676	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:5033	22	17456	0.19499732336335676	0.33981252738911477	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.6612462442901599
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	P4HA2	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.16289607172413967	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:8974	22	17456	0.16289607172413967	0.29817450587479366	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.5676632959746023
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	P4HA3	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.002061808517332294	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:283208	22	17456	0.002061808517332294	0.0049374530763048015	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.02794583176212169
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	PAH	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.015939132686636718	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:5053	22	17456	0.015939132686636718	0.0337125242488912	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	1.0
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	PANK1	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.051467598191820334	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	Epithelial cells	hsa:53354	22	17456	0.051467598191820334	0.13056548490189182	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	1.0
