cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	partition	celltype	median	q25	q75	resampling_lower	resampling_upper	n_bootstrap_evaluable	mean_detection
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AFMID	source_donor_label	23	NA	mean_log1p_counts_per10k	0.0640396976103903	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Fibroblasts	0.0651723573395916	0.0426171980067583	0.0793869765403838	0.0518470241480017	0.0758927761210913	1000	0.0693761554040537
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AFMID	source_donor_label	20	NA	mean_log1p_counts_per10k	0.2256651973147116	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Malignant_epithelial	0.1683012068256625	0.1415027925159649	0.3242272214383288	0.1677026297241387	0.2912958965154438	1000	0.2899685076505992
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AFMID	source_donor_label	26	NA	mean_log1p_counts_per10k	0.0872900282321672	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Myeloid	0.0911163952829167	0.05397829622394	0.104292131509152	0.073095143949381	0.1017894137550108	1000	0.0971505311077232
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AFMID	source_donor_label	10	NA	mean_log1p_counts_per10k	0.189724674507202	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Nonmalignant_epithelial	0.1938376223146314	0.172914404622865	0.2107471137235227	0.1616870804691662	0.2137206977800422	999	0.2466539397649329
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AFMID	source_donor_label	24	NA	mean_log1p_counts_per10k	0.0874892065401298	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Perivascular	0.0837951076097722	0.0624025106207596	0.1100597517150119	0.0702057910007309	0.1049822711718039	1000	0.0794190817350708
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AFMID	source_donor_label	14	NA	mean_log1p_counts_per10k	0.0401845896403099	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Plasma_cells	0.0377344880147339	0.0214860471487969	0.0632413414532565	0.0273186744709114	0.0522537954454076	1000	0.0477402581452982
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AFMID	source_donor_label	26	NA	mean_log1p_counts_per10k	0.0110364059994946	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	T_NK_cells	0.0077789215135563	0.0043376378233357	0.016301063256998	0.007467459802861	0.0149677692092707	1000	0.007361606350298
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AHCY	source_donor_label	20	NA	mean_log1p_counts_per10k	0.0993495170509553	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	B_cells	0.0881260127188745	0.0464277768270882	0.1095458549635485	0.065266214229537	0.1412773535546121	1000	0.0669256481871205
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AHCY	source_donor_label	24	NA	mean_log1p_counts_per10k	0.1248236606593507	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Endothelial	0.1085879067490694	0.0699750980616876	0.161516615254454	0.095219546262511	0.1572196152995958	1000	0.1379756335298643
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	AHCY	source_donor_label	23	NA	mean_log1p_counts_per10k	0.1931684558556901	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Fibroblasts	0.1938187872250876	0.1540326567557178	0.246254815375151	0.1601255936783502	0.2286841900848629	1000	0.212660012477376
