cancer	stable_gene_id	gene	in_current_pool	in_history_pool	history_only	mapping_version	relation_ids	source_id	status	reason	in_prior_42_pool	in_paired51_any_relation	in_conditional_pool	n_direct_relations	n_conditional_relations
PDAC	UniProtKB:Q9H825	METTL8	False	True	True	PDAC_paired51_mapping_v2	14a7713762c7eeee	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q9H1A3	METTL9	False	True	True	PDAC_paired51_mapping_v2	936e7222efe11a2d	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q99685	MGLL	True	True	False	PDAC_paired51_mapping_v2	0f02afc713398cba;2d4b3c3bad14008a;737e3a9ae152f232;8b8f38222a06fbe9;9577093318fda0f2;a6cd72b1d77f865d;ae6379db33af4341;bbb6a041780553c8;cd1df0f8564eb6dc;d47762fd25c589b8;e524515780687985;e88deea72c9d91b2	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	True	True	True	8	4
PDAC	UniProtKB:P50281	MMP14	False	True	True	PDAC_paired51_mapping_v2		reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	False	False	0	0
PDAC	UniProtKB:Q96PD6	MOGAT1	False	True	True	PDAC_paired51_mapping_v2	018f9fc3c65d44f7;4a7d9056e280cca8;9983f74e1c412b03;9ee6bcb23c921e8e;c9fbcffd0c54b40f;cbcebc80105d142c;cebd35bc9a84423f	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	7
PDAC	UniProtKB:Q3SYC2	MOGAT2	True	True	False	PDAC_paired51_mapping_v2	022e84692877a57f;326bd69bab427073;755eaf5f6543be5e;a158ef4b9e01ef89;b7a4359c12bf4aaa;c99598847b1de142	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	True	True	True	2	4
PDAC	UniProtKB:Q86VF5	MOGAT3	True	True	False	PDAC_paired51_mapping_v2	a733c79073beacbe	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	True	True	False	1	0
PDAC	UniProtKB:Q9Y5U8	MPC1	True	True	False	PDAC_paired51_mapping_v2	38f9051e620cd358	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	False	1	0
PDAC	UniProtKB:P0DKB6	MPC1L	True	True	False	PDAC_paired51_mapping_v2	307c54e12873744f	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	False	1	0
PDAC	UniProtKB:O95563	MPC2	True	True	False	PDAC_paired51_mapping_v2	837455a5ab3057ef	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	False	1	0
PDAC	UniProtKB:P25325	MPST	False	True	True	PDAC_paired51_mapping_v2	4edcf7a5193583fc	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q6IN84	MRM1	False	True	True	PDAC_paired51_mapping_v2	ef712b538ed33a51	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q9UI43	MRM2	False	True	True	PDAC_paired51_mapping_v2	608a4eca533c2dce	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q9HC36	MRM3	False	True	True	PDAC_paired51_mapping_v2	b04fb0bd9867965a	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:P13995	MTHFD2	False	True	True	PDAC_paired51_mapping_v2		reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	True	False	False	0	0
PDAC	UniProtKB:Q9Y2Z2	MTO1	True	True	False	PDAC_paired51_mapping_v2	8e04c036adeaf85e	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	True	True	False	1	0
PDAC	UniProtKB:Q9UBK8	MTRR	False	True	True	PDAC_paired51_mapping_v2	2a5227cf37b9dcad	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q02083	NAAA	True	True	False	PDAC_paired51_mapping_v2	7fb9074e84a9dd3d	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	False	1	0
PDAC	UniProtKB:O95544	NADK	False	True	True	PDAC_paired51_mapping_v2		reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	True	False	False	0	0
PDAC	UniProtKB:Q4G0N4	NADK2	False	True	True	PDAC_paired51_mapping_v2		reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	True	False	False	0	0
PDAC	UniProtKB:Q6IA69	NADSYN1	False	True	True	PDAC_paired51_mapping_v2		reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	True	False	False	0	0
PDAC	UniProtKB:Q7L592	NDUFAF7	False	True	True	PDAC_paired51_mapping_v2	f233b0df2cc1947f	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q86X76	NIT1	False	True	True	PDAC_paired51_mapping_v2	56e348072d5a3e06	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q9NQR4	NIT2	True	True	False	PDAC_paired51_mapping_v2	9ccf3b6722bfc9a1	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	False	1	0
PDAC	UniProtKB:Q9HAN9	NMNAT1	False	True	True	PDAC_paired51_mapping_v2		reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	True	False	False	0	0
PDAC	UniProtKB:Q9BZQ4	NMNAT2	False	True	True	PDAC_paired51_mapping_v2		reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	True	False	False	0	0
PDAC	UniProtKB:Q96T66	NMNAT3	False	True	True	PDAC_paired51_mapping_v2		reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	True	False	False	0	0
PDAC	UniProtKB:P40261	NNMT	True	True	False	PDAC_paired51_mapping_v2	c639e8979d28e210	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	False	1	0
PDAC	UniProtKB:Q9UK39	NOCT	False	True	True	PDAC_paired51_mapping_v2		reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	True	False	False	0	0
PDAC	UniProtKB:P46087	NOP2	False	True	True	PDAC_paired51_mapping_v2	e3795cc02db832f1	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q9BXD5	NPL	True	True	False	PDAC_paired51_mapping_v2	945f5cf22351a967	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	False	1	0
PDAC	UniProtKB:P15559	NQO1	False	True	True	PDAC_paired51_mapping_v2		reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	True	False	False	0	0
PDAC	UniProtKB:Q96L73	NSD1	False	True	True	PDAC_paired51_mapping_v2	6acef5fd25a24f80	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:O96028	NSD2	False	True	True	PDAC_paired51_mapping_v2	86ae55b8696a7244	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q9BZ95	NSD3	False	True	True	PDAC_paired51_mapping_v2	b75467fc4e12c5eb	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q08J23	NSUN2	False	True	True	PDAC_paired51_mapping_v2	0c9b5a2a4cc98ac8	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q9H649	NSUN3	False	True	True	PDAC_paired51_mapping_v2	55b0662bb22e5da2	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q96CB9	NSUN4	False	True	True	PDAC_paired51_mapping_v2	b15b7a1583ebf13f	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q96P11	NSUN5	False	True	True	PDAC_paired51_mapping_v2	7b3ebb0922499c3d	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
PDAC	UniProtKB:Q8TEA1	NSUN6	False	True	True	PDAC_paired51_mapping_v2	e22f78f1e095b362	reviewed_human_UniProt_and_versioned_PDAC_mapping	DONE	Current pool is DIRECT genes only;prior v2 conditional and original42/external genes retained in union	False	True	True	0	1
