gene	subtype	scope	status	reason	top	second	effect	gap	n	detection
ASS1	ER+	shared_celltypes	DONE		Endothelial	Malignant_epithelial	0.4253412805006586	0.12169258986035919	11	0.2983011695148664
ASS1	HER2+	all_evaluable_celltypes	DONE		Endothelial	Malignant_epithelial	0.3768908744417281	0.05035336089224651	4	0.2607037546126182
ASS1	HER2+	shared_celltypes	DONE		Endothelial	Malignant_epithelial	0.3768908744417281	0.05035336089224651	4	0.2607037546126182
ASS1	TNBC	all_evaluable_celltypes	DONE		Malignant_epithelial	Endothelial	0.4547966043550441	0.10222383484007269	8	0.4498230274733863
ASS1	TNBC	shared_celltypes	DONE		Malignant_epithelial	Endothelial	0.4547966043550441	0.10222383484007269	8	0.4498230274733863
BBOX1	ER+	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	Plasma_cells	0.261036326223417	0.2482349333591691	4	0.2814932202504601
BBOX1	ER+	shared_celltypes	NOT_EVALUABLE	low_detection	NA	NA	0.0005392414075635	9.37261355029998e-06	11	0.0003567061806744
BBOX1	HER2+	all_evaluable_celltypes	DONE		Malignant_epithelial	T_NK_cells	0.0185469629917903	0.018057280727023898	3	0.0441972235409089
BBOX1	HER2+	shared_celltypes	DONE		Malignant_epithelial	T_NK_cells	0.0185469629917903	0.018057280727023898	3	0.0441972235409089
BBOX1	TNBC	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.1773951088687367	0.09496980122099578	4	0.1780479907194666
BBOX1	TNBC	shared_celltypes	DONE		Malignant_epithelial	B_cells	0.0824253076477409	0.07091654783508611	8	0.0811164735824894
BCAT1	ER+	all_evaluable_celltypes	DONE		Myeloid	Fibroblasts	0.1757197768005304	0.10819057404080999	11	0.1649467173394736
BCAT1	ER+	shared_celltypes	DONE		Myeloid	Fibroblasts	0.1757197768005304	0.10819057404080999	11	0.1649467173394736
BCAT1	HER2+	all_evaluable_celltypes	DONE		Myeloid	Fibroblasts	0.2198497128690496	0.0635453925088992	5	0.2900990270251556
