代谢物	来源英文名	配对数	升高对数	降低对数	相等对数	升高百分比	降低百分比	本轮配对P	本轮配对q	原CAMPq	中位配对差	差值尺度	填补前双侧完整对数	子集升高	子集降低	子集相等	子集P	子集q	子集状态
葡萄糖酸	gluconate	33	10	22	1	30.303030303030305	66.66666666666666	0.009345420962008471	0.018809138391890468	0.168968959284748	-0.49760775370573995	median_paired_T_minus_N_author_normalized_log_scale	29	7	22	0	0.000714299422212305	0.0023178287373827855	DONE
鸟嘌呤	guanine	33	10	22	1	30.303030303030305	66.66666666666666	0.014303043516311568	0.02773395023284804	0.00340110367227365	-0.4904645244165602	median_paired_T_minus_N_author_normalized_log_scale	28	8	20	0	0.004421273662225049	0.010337978121967394	DONE
眼酸	ophthalmate	33	5	28	0	15.151515151515152	84.84848484848484	8.782118560905848e-05	0.00035804021825231537	0.000312736900370037	-1.01379983383841	median_paired_T_minus_N_author_normalized_log_scale	32	4	28	0	1.0197165050967025e-05	9.369280779589364e-05	DONE
尿酸	urate	33	2	31	0	6.0606060606060606	93.93939393939394	7.110442835794288e-07	1.806440826697348e-05	3.03664852373543e-06	-1.2237790244279996	median_paired_T_minus_N_author_normalized_log_scale	33	2	31	0	7.110442835794288e-07	2.1075142978135727e-05	DONE
异柠檬酸	isocitrate	33	3	19	11	9.090909090909092	57.57575757575758	0.0002598153012516883	0.000918014064422632	0.000701295206824154	-1.1824105630958441	median_paired_T_minus_N_author_normalized_log_scale	9	1	8	0	0.015155973880974605	0.028945500133269086	DONE
4-甲基-2-氧代戊酸	4-methyl-2-oxopentanoate	33	1	28	4	3.0303030303030303	84.84848484848484	3.5149630812742274e-06	3.725860866150681e-05	2.22833094147422e-06	-1.32934532993354	median_paired_T_minus_N_author_normalized_log_scale	15	0	15	0	0.0006549583433856954	0.002169549512465116	DONE
组胺	histamine	33	5	28	0	15.151515151515152	84.84848484848484	2.5778479828681036e-05	0.0001782077518591428	4.5885636815329e-06	-1.7993310284154207	median_paired_T_minus_N_author_normalized_log_scale	33	5	28	0	2.5778479828681036e-05	0.00017078242886501185	DONE
腺苷	adenosine	33	6	27	0	18.181818181818183	81.81818181818183	9.766128730249252e-06	8.626747045053505e-05	3.68444811809424e-06	-1.5832302784551704	median_paired_T_minus_N_author_normalized_log_scale	33	6	27	0	9.766128730249252e-06	9.369280779589364e-05	DONE
黏液酸	Mucate	33	5	27	1	15.151515151515152	81.81818181818183	3.307877015483619e-05	0.00020228940210072902	0.000171933865206755	-1.8510746036155246	median_paired_T_minus_N_author_normalized_log_scale	31	5	26	0	5.4164846643916004e-05	0.0002969727798752636	DONE
双硫仑（来源名称注释）	Disulfiram	33	1	32	0	3.0303030303030303	96.96969696969697	5.91235537322886e-07	1.806440826697348e-05	1.46718920051068e-08	-2.405442566343231	median_paired_T_minus_N_author_normalized_log_scale	33	1	32	0	5.91235537322886e-07	2.1075142978135727e-05	DONE
乙酰胆碱	acetylcholine	33	4	27	2	12.121212121212121	81.81818181818183	0.00019660170178038939	0.0007269690833274863	3.03664852373543e-06	-2.020605552776564	median_paired_T_minus_N_author_normalized_log_scale	23	2	21	0	8.726126784231121e-05	0.00042313843975273633	DONE
2-磷酸甘油酸（2-PG）	2-phosphoglycerate	33	2	25	6	6.0606060606060606	75.75757575757575	1.2280378206640874e-05	9.762900674279494e-05	2.1849625495186e-06	-2.20295837517882	median_paired_T_minus_N_author_normalized_log_scale	11	2	9	0	0.02079521585359911	0.037151003603620884	DONE
葡萄糖	glucose	33	0	33	0	0.0	100.0	5.388790737562247e-07	1.806440826697348e-05	7.02371971133023e-10	-4.99419753847941	median_paired_T_minus_N_author_normalized_log_scale	29	0	29	0	2.5630832507250074e-06	3.704820335138874e-05	DONE
5-羟色胺（5-HT）	serotonin (5HT)	33	0	31	2	0.0	93.93939393939394	1.1741945398998534e-06	1.866969318440767e-05	5.92017690328805e-10	-4.264552185381937	median_paired_T_minus_N_author_normalized_log_scale	16	0	16	0	0.00043777719457466354	0.0015771975384987007	DONE
