logFC	logCPM	F	PValue	gene	site	construct	author_n_treated	author_n_control	gene_identity	q_within_contrast	ci_lower	ci_upper	ci_reason	q_global4
-0.0014114308352333	7.33489402178019	0.000146162907824293	0.990516852919162	Morf4l1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.999672107592913	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.996241916117417
0.103548338862582	9.12732895118755	0.851650494754032	0.370969230966059	Morf4l2	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.632629452108398
-0.0564367837106104	2.10703913188773	0.049369508053261	0.827227448698257	Morn2	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.92640756854197
0.228683240590861	5.93904157239685	1.44075107732959	0.249041407057768	Mospd1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.511588409608328
0.328041087928811	3.69585590870065	5.65036516917128	0.0315242930783269	Mospd2	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.858169026773221	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.14012223793915
0.0307037120512638	1.40353549775915	0.0149070173487229	0.904481037107935	Mospd3	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.961056231329264
-0.277924506273396	1.98456111486895	1.5125926107262	0.238102188579928	Mov10	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.499918157271675
-0.223301531044774	2.12894851053998	0.879098432501239	0.36362847275442	Moxd1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.625602563207943
0.199264550721203	6.29101623902041	1.66188733710177	0.217304494526795	Mpc1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.473855425850284
0.025400432035624	6.25973531583014	0.0350093909898147	0.854138945350468	Mpc2	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.939281628466383
0.0742568515514643	3.77754182961583	0.142684154787583	0.711035858751689	Mpdu1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.869372886526572
