feature_id	metabolite_key	metabolite_name	n_direct_relations	status	reason
GBM_FEATURE:eb7a26814bdf8a1d	NAME:PC(16:1/16:1)_A	PC(16:1/16:1)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:7eaf45b893ef0f72	KEGG:C00157	PC(16:1/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:931feb674aa414ee	NAME:PC(16:1/20:4)_A	PC(16:1/20:4)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:cda5d2d3d9ea16aa	NAME:PC(16:1/22:6)_A	PC(16:1/22:6)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:484d6389537b5357	NAME:PC(16:1/22:6)_B	PC(16:1/22:6)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:16e85cd3bc22366e	NAME:PC(16:2/16:0)	PC(16:2/16:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:87d9550b08ed7977	NAME:PC(17:0/0:0)_B	PC(17:0/0:0)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:8c53fd6c3586aa62	NAME:PC(17:0/18:1)	PC(17:0/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:004efedea725a1b9	NAME:PC(17:0/20:4)	PC(17:0/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:c6ea73b17ddbccea	NAME:PC(17:0/22:6)	PC(17:0/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:1f038b2e25619ba9	NAME:PC(17:1/0:0)	PC(17:1/0:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:883a96be4d03b842	KEGG:C00157	PC(17:1/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:e92bb7d771634468	NAME:PC(17:1/20:4)	PC(17:1/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:2831ee10805ee62d	KEGG:C00157	PC(18:0/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:bdd7a0b92e5693db	HMDB:HMDB08039	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:022c7673faf00f53	NAME:PC(18:0/20:3)_A	PC(18:0/20:3)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:9c36353cb703e0bd	NAME:PC(18:0/20:3)_B	PC(18:0/20:3)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:60743f9a5e158809	HMDB:HMDB08048	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:926ec86efa24031d	KEGG:C00157	PC(18:0/22:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
