cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	partition	celltype	n_source_labels_total	n_cells_total	n_cells_eligible	median_donor_mean	donor_mean_q25	donor_mean_q75	mean_detection_fraction	median_detection_fraction	annotation_origin
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	CS	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.08901741981465157	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.07598633686101516	0.04257035208730663	0.10321772407465818	0.06141310415599384	0.04797979797979798	Wu2021_author_celltype_major_via_CELLxGENE
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	CTNS	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.016390268146270016	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.012066118424177	0.0	0.019229492889931497	0.013150853135960178	0.009723402246766733	Wu2021_author_celltype_major_via_CELLxGENE
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	DPYD	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.04206529889787802	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.03358038799853964	0.015414141310869042	0.051831380342766	0.026501313257972735	0.018200220831799778	Wu2021_author_celltype_major_via_CELLxGENE
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	DPYS	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.0004507042966793855	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.0	0.0	0.0	0.0002840909090909091	0.0	Wu2021_author_celltype_major_via_CELLxGENE
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	ETNK1	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.23011941729218344	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.18909871528802313	0.15401948571366225	0.2935815333830933	0.13680935601326505	0.13639098649177173	Wu2021_author_celltype_major_via_CELLxGENE
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	ETNK2	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.00537667009367907	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.0	0.0	0.0	0.0019372294372294375	0.0	Wu2021_author_celltype_major_via_CELLxGENE
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	FDFT1	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.19232881062985713	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.19662977093211648	0.11465515779626158	0.23917079377010725	0.12319944921867147	0.1244047619047619	Wu2021_author_celltype_major_via_CELLxGENE
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	FH	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.05162143714908497	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.05632875630172139	0.0253955545610755	0.0771855171045604	0.0371997129224801	0.03333333333333333	Wu2021_author_celltype_major_via_CELLxGENE
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	FOLH1	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.00017913697903957577	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.0	0.0	0.0	0.00013550135501355014	0.0	Wu2021_author_celltype_major_via_CELLxGENE
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	GAMT	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.028824698993150506	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.020849019253816846	0.0	0.04459359219275103	0.019859464602100484	0.01801948051948052	Wu2021_author_celltype_major_via_CELLxGENE
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	GCLC	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.04780155005633462	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.028227951544941236	0.012588006319014125	0.06779459471476461	0.03294977751095446	0.018543274005041632	Wu2021_author_celltype_major_via_CELLxGENE
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	GDA	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.0005176261427872766	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.0	0.0	0.0	0.00047619047619047624	0.0	Wu2021_author_celltype_major_via_CELLxGENE
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	GDPD5	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.02182971348384537	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.021719380232251333	0.0	0.03343262072681934	0.0159314184740465	0.012766838424733161	Wu2021_author_celltype_major_via_CELLxGENE
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	GLS	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.23104202900417978	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.17168898017512635	0.11954984064700784	0.23674530609988637	0.13934937387887983	0.09514790764790765	Wu2021_author_celltype_major_via_CELLxGENE
