module_id	module	gene	cohort	source_status	reason	display_top	mechanical_top	top_n	top_detection	bootstrap
M06	烟酰胺与甲基化产物	NAMPT	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.47312717268238796	1.0
M06	烟酰胺与甲基化产物	NNMT	Wu2021	DONE	NA	Fibroblasts	Fibroblasts	23	0.7261004994697219	1.0
M06	烟酰胺与甲基化产物	NNMT	Pal2021_reprocessed	DONE	NA	Fibroblasts	Fibroblasts	30	0.6088995647616221	1.0
M06	烟酰胺与甲基化产物	SLC29A2	Wu2021	DONE		Malignant_epithelial	Malignant_epithelial	20	0.10825403506589722	0.998
M06	烟酰胺与甲基化产物	SLC29A2	Pal2021_reprocessed	DONE		Malignant_epithelial	Malignant_epithelial	33	0.05232978542222368	0.961
M06	烟酰胺与甲基化产物	AOX1	Wu2021	DONE	NA	Fibroblasts	Fibroblasts	23	0.06678326723940269	0.998
M06	烟酰胺与甲基化产物	AOX1	Pal2021_reprocessed	DONE	NA	Fibroblasts	Fibroblasts	30	0.04196328355586136	1.0
M06	烟酰胺与甲基化产物	SLC22A2	Wu2021	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	Perivascular	24	0.0006621103708613322	NA
M06	烟酰胺与甲基化产物	SLC22A2	Pal2021_reprocessed	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	Perivascular	15	0.0009389939622497761	NA
M06	烟酰胺与甲基化产物	AHCY	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.5379956558543251	0.714
M06	烟酰胺与甲基化产物	AHCY	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.24862902674218015	1.0
M07	糖酵解节点与磷酸戊糖背景	GPI	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.49471968795163723	0.999
M07	糖酵解节点与磷酸戊糖背景	GPI	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.2944649998594604	0.989
M07	糖酵解节点与磷酸戊糖背景	MPI	Wu2021	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.14011610215759843	0.816
M07	糖酵解节点与磷酸戊糖背景	MPI	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.0628302042481667	0.704
M07	糖酵解节点与磷酸戊糖背景	PFKL	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.40686565317605855	0.608
M07	糖酵解节点与磷酸戊糖背景	PFKL	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.1885598549054193	0.538
M07	糖酵解节点与磷酸戊糖背景	PFKM	Wu2021	DONE	NA	Perivascular	Perivascular	24	0.10589211980019042	0.702
M07	糖酵解节点与磷酸戊糖背景	PFKM	Pal2021_reprocessed	DONE	NA	Perivascular	Perivascular	15	0.046640541568278605	0.867
M07	糖酵解节点与磷酸戊糖背景	PFKP	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.18368946883836457	0.573
M07	糖酵解节点与磷酸戊糖背景	PFKP	Pal2021_reprocessed	DONE	NA	T_NK_cells	T_NK_cells	24	0.047517784037688894	0.244
M07	糖酵解节点与磷酸戊糖背景	LDHA	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.7979982962875549	0.729
M07	糖酵解节点与磷酸戊糖背景	LDHA	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.6070217666533342	0.536
M07	糖酵解节点与磷酸戊糖背景	LDHB	Wu2021	DONE	NA	Perivascular	Perivascular	24	0.5981636946211756	0.678
M07	糖酵解节点与磷酸戊糖背景	LDHB	Pal2021_reprocessed	DONE	NA	Perivascular	Perivascular	15	0.4655397347851074	0.767
M07	糖酵解节点与磷酸戊糖背景	IDNK	Wu2021	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.0974167674036849	0.955
M07	糖酵解节点与磷酸戊糖背景	IDNK	Pal2021_reprocessed	DONE	NA	Mast_cells	Mast_cells	12	0.028137158850465843	0.966
M07	糖酵解节点与磷酸戊糖背景	PGD	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.39951490685339636	0.471
M07	糖酵解节点与磷酸戊糖背景	PGD	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.17221112335056893	1.0
M07	糖酵解节点与磷酸戊糖背景	RBKS	Wu2021	DONE	NA	Myeloid	Myeloid	26	0.22486672489557286	0.798
M07	糖酵解节点与磷酸戊糖背景	RBKS	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.02297531422569608	0.737
M08	多元醇与果糖	SORD	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.29118123329405676	0.963
M08	多元醇与果糖	SORD	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.14367586699097232	0.97
M08	多元醇与果糖	KHK	Wu2021	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.08705638933666895	0.824
M08	多元醇与果糖	KHK	Pal2021_reprocessed	DONE	NA	Plasma_cells	Plasma_cells	17	0.03297714165488448	0.692
M09	氨基糖与糖基化前体背景	NAGK	Wu2021	DONE	NA	Myeloid	Myeloid	26	0.4228477909776761	1.0
M09	氨基糖与糖基化前体背景	NAGK	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.293328883937938	1.0
M09	氨基糖与糖基化前体背景	AMDHD2	Wu2021	DONE	NA	Myeloid	Myeloid	26	0.1403290292433203	0.793
M09	氨基糖与糖基化前体背景	AMDHD2	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.09362242896526002	0.994
M09	氨基糖与糖基化前体背景	GNPNAT1	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.2843038208848643	1.0
M09	氨基糖与糖基化前体背景	GNPNAT1	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.17094065830642546	1.0
M09	氨基糖与糖基化前体背景	PGM3	Wu2021	DONE	NA	Fibroblasts	Fibroblasts	23	0.20149013012593106	0.822
M09	氨基糖与糖基化前体背景	PGM3	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.12961584547551078	0.541
M09	氨基糖与糖基化前体背景	MPI	Wu2021	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.14011610215759843	0.816
M09	氨基糖与糖基化前体背景	MPI	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.0628302042481667	0.704
M09	氨基糖与糖基化前体背景	PMM1	Wu2021	DONE	NA	Fibroblasts	Fibroblasts	23	0.20795305887697374	0.777
M09	氨基糖与糖基化前体背景	PMM1	Pal2021_reprocessed	DONE	NA	Perivascular	Perivascular	15	0.13008723101028835	1.0
M09	氨基糖与糖基化前体背景	PMM2	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.27886965433393973	0.998
M09	氨基糖与糖基化前体背景	PMM2	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.0903482211741804	0.72
M10	半胱氨酸与抗氧化背景	CDO1	Wu2021	DONE	NA	Fibroblasts	Fibroblasts	23	0.1230266340995476	1.0
M10	半胱氨酸与抗氧化背景	CDO1	Pal2021_reprocessed	DONE	NA	Fibroblasts	Fibroblasts	30	0.04271730448338715	1.0
M10	半胱氨酸与抗氧化背景	GCLC	Wu2021	DONE	NA	Myeloid	Myeloid	26	0.09126192923015838	0.931
M10	半胱氨酸与抗氧化背景	GCLC	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.08358571607698674	0.996
M10	半胱氨酸与抗氧化背景	CTNS	Wu2021	DONE	NA	Myeloid	Myeloid	26	0.08178399792434804	0.794
M10	半胱氨酸与抗氧化背景	CTNS	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.03397584331281907	0.93
M10	半胱氨酸与抗氧化背景	SLC7A11	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.045730349791350725	0.555
M10	半胱氨酸与抗氧化背景	SLC7A11	Pal2021_reprocessed	DONE	NA	Endothelial	Endothelial	23	0.026823172580960983	0.938
M10	半胱氨酸与抗氧化背景	ASNS	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.1508810884292284	0.972
M10	半胱氨酸与抗氧化背景	ASNS	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.09018248858357214	0.926
M10	半胱氨酸与抗氧化背景	BCAT1	Wu2021	DONE	NA	Myeloid	Myeloid	26	0.21238581844159743	1.0
M10	半胱氨酸与抗氧化背景	BCAT1	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.16811247698933432	1.0
M10	半胱氨酸与抗氧化背景	BCAT2	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.2772445937009146	0.967
M10	半胱氨酸与抗氧化背景	BCAT2	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.11940134747308176	0.95
