cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	external_feature_id
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	FOLH1	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00025|FOLH1	Glutamate
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	GCLC	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00025|GCLC	Glutamate
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	GLS	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00025|GLS	Glutamate
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	GLS2	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00025|GLS2	Glutamate
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	GLUL	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00025|GLUL	Glutamate
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	GOT1	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00025|GOT1	Glutamate
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	GOT2	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00025|GOT2	Glutamate
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	OAT	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00025|OAT	Glutamate
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	SLC7A11	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00025|SLC7A11	Glutamate
BRCA	Oslo2	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	TAT	author_case_identifier	NA	NA	Spearman_rho	NA	NA	NA	NA	NA	Oslo2_original174	0	NEEDS_REVIEW	metabolite_present_but_MCOS_to_OSL2_crosswalk_missing	Oslo2	KEGG:C00025|TAT	Glutamate
